
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
alpha_ntar_0_0[0]     -0.40      0.74     -0.37     -1.58      0.66    165.05      1.00
alpha_ntar_0_0[1]      1.52      0.68      1.46      0.43      2.46     89.54      1.01
alpha_ntar_0_0[2]      0.17      0.39      0.17     -0.51      0.74    243.44      1.00
alpha_ntar_0_0[3]     -1.60      0.40     -1.56     -2.15     -1.03     60.45      1.04
alpha_ntar_0_0[4]      1.35      0.35      1.31      0.80      1.86     60.75      1.03
alpha_ntar_0_0[5]      0.18      0.23      0.15     -0.27      0.45    183.24      1.00
alpha_ntar_0_0[6]     -1.02      0.24     -1.01     -1.41     -0.63     72.60      1.02
alpha_ntar_0_0[7]     -0.59      0.20     -0.59     -0.92     -0.32     89.47      1.03
alpha_ntar_0_1[0]     -0.07      0.85     -0.06     -1.55      1.26    142.96      1.01
alpha_ntar_0_1[1]     -0.73      0.73     -0.79     -1.79      0.51    246.59      1.00
alpha_ntar_0_1[2]     -1.52      0.61     -1.49     -2.43     -0.47    200.62      1.01
alpha_ntar_0_1[3]     -0.44      0.38     -0.44     -1.05      0.14    144.86      1.04
alpha_ntar_0_1[4]      0.71      0.36      0.70      0.05      1.23    171.76      1.00
alpha_ntar_0_1[5]     -0.65      0.27     -0.63     -1.02     -0.20    129.57      1.02
alpha_ntar_0_1[6]      0.12      0.23      0.10     -0.17      0.51    184.77      1.00
alpha_ntar_0_1[7]      0.35      0.21      0.34      0.03      0.68    288.98      1.00
 alpha_tar_0_0[0]      0.77      0.46      0.78      0.20      1.71    200.53      1.00
 alpha_tar_0_0[1]      2.35      0.48      2.32      1.50      3.01     70.02      1.00
 alpha_tar_0_0[2]     -0.18      0.27     -0.20     -0.59      0.24    292.47      1.00
 alpha_tar_0_0[3]     -2.32      0.38     -2.31     -3.00     -1.76     39.98      1.00
 alpha_tar_0_0[4]     -2.24      0.35     -2.26     -2.76     -1.63     29.45      1.00
 alpha_tar_0_0[5]     -0.34      0.14     -0.33     -0.61     -0.15    173.71      1.01
 alpha_tar_0_0[6]      1.57      0.24      1.55      1.19      1.96     38.57      1.00
 alpha_tar_0_0[7]      1.09      0.17      1.09      0.84      1.39     50.00      1.00
 alpha_tar_0_0[8]      0.08      0.11      0.08     -0.08      0.27    147.93      1.01
 alpha_tar_0_0[9]      0.10      0.09      0.09     -0.04      0.23    174.68      1.00
alpha_tar_0_0[10]      0.11      0.08      0.10     -0.03      0.23    161.78      1.00
 alpha_tar_0_1[0]     -0.05      0.66     -0.05     -1.11      0.92    228.01      1.00
 alpha_tar_0_1[1]     -1.32      0.55     -1.29     -2.17     -0.39     70.25      1.02
 alpha_tar_0_1[2]      2.55      0.53      2.52      1.81      3.50     56.99      1.00
 alpha_tar_0_1[3]     -0.77      0.33     -0.74     -1.30     -0.33    132.63      1.00
 alpha_tar_0_1[4]     -1.05      0.27     -1.05     -1.54     -0.67     63.42      1.00
 alpha_tar_0_1[5]      1.08      0.22      1.07      0.75      1.46     76.31      1.00
 alpha_tar_0_1[6]     -0.11      0.15     -0.11     -0.34      0.13    225.94      1.00
 alpha_tar_0_1[7]     -0.71      0.18     -0.69     -0.98     -0.38     63.46      1.00
 alpha_tar_0_1[8]      0.15      0.13      0.14     -0.02      0.36    153.85      1.02
 alpha_tar_0_1[9]     -0.29      0.11     -0.29     -0.45     -0.10    205.65      1.01
alpha_tar_0_1[10]      0.13      0.10      0.12     -0.03      0.30    169.66      1.00
            eta_0      0.10      0.00      0.10      0.10      0.10    170.22      1.01
       psi_ntar_0      0.17      0.03      0.16      0.12      0.23     38.20      1.03
        psi_tar_0      0.55      0.08      0.54      0.43      0.67     25.41      0.99
            rho_0      0.85      0.00      0.85      0.85      0.85     78.28      1.00
        sigma_0_0      0.89      0.01      0.89      0.87      0.90     90.81      1.00
        sigma_0_1      1.25      0.01      1.25      1.23      1.27    107.90      1.00

Number of divergences: 0
