
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
alpha_ntar_0_0[0]     -0.06      1.04     -0.07     -1.70      1.67    487.75      1.00
alpha_ntar_0_0[1]      1.18      1.01      1.12     -0.45      2.84    436.30      1.00
alpha_ntar_0_0[2]      0.16      0.63      0.21     -0.89      1.11    519.20      1.00
alpha_ntar_0_0[3]     -1.48      0.51     -1.44     -2.22     -0.68    331.64      1.00
alpha_ntar_0_0[4]      1.44      0.45      1.39      0.72      2.11    162.26      1.00
alpha_ntar_0_0[5]      0.34      0.33      0.35     -0.22      0.89    215.95      1.01
alpha_ntar_0_0[6]     -0.77      0.28     -0.79     -1.25     -0.34    334.99      1.00
alpha_ntar_0_0[7]     -0.68      0.26     -0.66     -1.07     -0.24    176.25      1.01
alpha_ntar_0_1[0]      0.57      1.23      0.51     -1.57      2.27    269.12      1.00
alpha_ntar_0_1[1]      0.56      0.99      0.54     -1.30      1.98    718.51      1.00
alpha_ntar_0_1[2]     -1.80      0.70     -1.72     -2.91     -0.65    310.09      1.00
alpha_ntar_0_1[3]     -0.05      0.51     -0.01     -0.75      0.96    337.23      1.01
alpha_ntar_0_1[4]      0.01      0.42     -0.01     -0.69      0.64    627.08      1.00
alpha_ntar_0_1[5]      0.11      0.27      0.13     -0.31      0.54    308.88      1.00
alpha_ntar_0_1[6]      0.61      0.27      0.61      0.16      1.02    229.55      1.00
alpha_ntar_0_1[7]      0.40      0.25      0.40     -0.04      0.75    504.87      1.01
 alpha_tar_0_0[0]      0.84      0.81      0.83     -0.23      2.05    530.97      1.00
 alpha_tar_0_0[1]      1.85      0.69      1.87      0.87      3.04    257.98      1.00
 alpha_tar_0_0[2]     -0.30      0.43     -0.28     -0.94      0.41    290.20      1.00
 alpha_tar_0_0[3]     -2.17      0.46     -2.10     -2.89     -1.51    101.32      1.00
 alpha_tar_0_0[4]     -2.38      0.41     -2.39     -2.88     -1.59     58.87      1.01
 alpha_tar_0_0[5]     -0.60      0.24     -0.58     -1.02     -0.27    233.84      1.00
 alpha_tar_0_0[6]      1.46      0.27      1.44      1.07      1.87     70.23      1.01
 alpha_tar_0_0[7]      1.20      0.23      1.19      0.86      1.59    116.55      1.01
 alpha_tar_0_0[8]      0.16      0.15      0.15     -0.09      0.39    212.59      1.00
 alpha_tar_0_0[9]      0.09      0.12      0.08     -0.12      0.25    450.12      1.00
alpha_tar_0_0[10]      0.22      0.13      0.21      0.03      0.42    230.10      1.00
 alpha_tar_0_1[0]     -0.86      0.85     -0.84     -2.30      0.51    600.55      1.00
 alpha_tar_0_1[1]      0.89      0.62      0.85     -0.03      1.91    321.10      1.00
 alpha_tar_0_1[2]      2.57      0.57      2.59      1.78      3.57    123.97      1.00
 alpha_tar_0_1[3]      0.01      0.40      0.03     -0.64      0.60    552.68      0.99
 alpha_tar_0_1[4]      0.20      0.27      0.19     -0.31      0.58    532.96      1.01
 alpha_tar_0_1[5]     -0.21      0.22     -0.22     -0.55      0.16    240.86      1.00
 alpha_tar_0_1[6]     -0.94      0.23     -0.94     -1.31     -0.57    121.37      1.01
 alpha_tar_0_1[7]     -0.75      0.22     -0.73     -1.10     -0.42    158.37      1.00
 alpha_tar_0_1[8]     -0.07      0.14     -0.07     -0.29      0.16    652.25      0.99
 alpha_tar_0_1[9]     -0.30      0.13     -0.29     -0.51     -0.10    266.34      1.00
alpha_tar_0_1[10]      0.16      0.11      0.16      0.01      0.36    272.33      1.00
            eta_0      0.10      0.00      0.10      0.10      0.10    306.82      1.00
       psi_ntar_0      0.15      0.03      0.15      0.11      0.21     57.92      1.01
        psi_tar_0      0.53      0.08      0.51      0.42      0.69     58.32      1.00
            rho_0      0.86      0.00      0.86      0.86      0.87    173.29      1.00
        sigma_0_0      0.95      0.01      0.95      0.92      0.96    169.01      1.00
        sigma_0_1      1.03      0.01      1.03      1.01      1.05    171.48      1.00

Number of divergences: 0
