
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
alpha_ntar_0_0[0]     -0.43      0.93     -0.57     -1.71      1.39    203.77      1.00
alpha_ntar_0_0[1]     -1.74      0.85     -1.72     -3.03     -0.39    220.32      1.00
alpha_ntar_0_0[2]     -0.21      0.53     -0.18     -1.03      0.77    187.24      1.02
alpha_ntar_0_0[3]      1.83      0.44      1.77      1.05      2.42     51.39      1.00
alpha_ntar_0_0[4]     -1.52      0.42     -1.49     -2.17     -0.90     72.52      1.00
alpha_ntar_0_0[5]      0.21      0.23      0.21     -0.14      0.61    133.01      1.00
alpha_ntar_0_0[6]      1.12      0.29      1.10      0.62      1.51     49.75      1.00
alpha_ntar_0_0[7]     -0.66      0.20     -0.64     -0.95     -0.32     65.55      1.00
alpha_ntar_0_0[8]     -0.05      0.19     -0.06     -0.28      0.30    202.70      1.00
alpha_ntar_0_1[0]      0.04      1.24      0.23     -1.61      2.27    154.93      1.00
alpha_ntar_0_1[1]      0.86      0.92      0.82     -0.35      2.65    166.23      1.00
alpha_ntar_0_1[2]      1.73      0.70      1.69      0.45      2.80     92.62      1.00
alpha_ntar_0_1[3]      0.47      0.45      0.49     -0.19      1.15    220.30      1.00
alpha_ntar_0_1[4]     -0.74      0.39     -0.72     -1.24     -0.11    246.87      1.00
alpha_ntar_0_1[5]     -0.73      0.30     -0.75     -1.27     -0.31    175.62      1.00
alpha_ntar_0_1[6]     -0.14      0.27     -0.15     -0.53      0.31    216.61      1.00
alpha_ntar_0_1[7]      0.40      0.24      0.37     -0.05      0.75    171.42      1.00
alpha_ntar_0_1[8]     -0.06      0.21     -0.04     -0.38      0.29    144.17      1.01
 alpha_tar_0_0[0]     -0.79      0.55     -0.76     -1.56      0.14    227.41      1.00
 alpha_tar_0_0[1]      2.50      0.54      2.44      1.62      3.28     77.24      1.01
 alpha_tar_0_0[2]     -0.23      0.33     -0.20     -0.77      0.35    166.93      1.00
 alpha_tar_0_0[3]     -2.52      0.45     -2.50     -3.26     -1.83     49.71      1.03
 alpha_tar_0_0[4]      2.41      0.39      2.36      1.78      3.01     54.85      1.04
 alpha_tar_0_0[5]     -0.40      0.15     -0.40     -0.59     -0.11    123.11      1.00
 alpha_tar_0_0[6]      1.67      0.29      1.62      1.25      2.20     48.81      1.03
 alpha_tar_0_0[7]     -1.18      0.20     -1.16     -1.46     -0.82     42.83      1.04
 alpha_tar_0_0[8]     -0.05      0.11     -0.05     -0.22      0.12    177.14      1.02
 alpha_tar_0_0[9]     -0.10      0.10     -0.10     -0.26      0.08    231.56      1.00
alpha_tar_0_0[10]     -0.12      0.09     -0.12     -0.25      0.04    158.49      1.02
alpha_tar_0_0[11]      0.02      0.09      0.02     -0.12      0.16    249.42      1.00
alpha_tar_0_0[12]      0.02      0.07      0.02     -0.11      0.11    207.21      1.00
 alpha_tar_0_1[0]      0.12      0.77      0.13     -0.92      1.50    256.92      1.00
 alpha_tar_0_1[1]     -1.42      0.65     -1.37     -2.49     -0.50    151.39      1.01
 alpha_tar_0_1[2]      2.68      0.53      2.61      1.89      3.53     74.48      1.01
 alpha_tar_0_1[3]     -0.81      0.32     -0.77     -1.30     -0.33    102.29      1.01
 alpha_tar_0_1[4]      1.12      0.31      1.09      0.64      1.54    164.23      1.03
 alpha_tar_0_1[5]      1.16      0.27      1.11      0.72      1.56     92.35      1.01
 alpha_tar_0_1[6]     -0.14      0.19     -0.15     -0.45      0.17    282.48      1.00
 alpha_tar_0_1[7]      0.75      0.21      0.71      0.44      1.10     99.55      1.01
 alpha_tar_0_1[8]     -0.15      0.16     -0.16     -0.40      0.10    304.38      1.00
 alpha_tar_0_1[9]      0.30      0.12      0.28      0.12      0.50     79.41      1.00
alpha_tar_0_1[10]     -0.14      0.12     -0.13     -0.31      0.08    273.81      1.01
alpha_tar_0_1[11]      0.03      0.11      0.02     -0.13      0.22    236.01      1.00
alpha_tar_0_1[12]      0.07      0.11      0.07     -0.06      0.30    416.62      1.00
            eta_0      0.10      0.00      0.10      0.10      0.10    235.49      1.00
       psi_ntar_0      0.15      0.03      0.14      0.09      0.19     24.73      1.01
        psi_tar_0      0.51      0.08      0.51      0.39      0.65     40.82      1.03
            rho_0      0.85      0.00      0.85      0.85      0.86     95.32      1.00
        sigma_0_0      0.89      0.01      0.89      0.88      0.91    115.71      1.00
        sigma_0_1      1.25      0.01      1.25      1.23      1.27    111.65      1.00

Number of divergences: 0
