
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
alpha_ntar_0_0[0]     -0.21      1.37     -0.25     -2.13      2.28    368.99      1.00
alpha_ntar_0_0[1]     -1.28      1.03     -1.28     -2.66      0.52    161.92      1.00
alpha_ntar_0_0[2]     -0.15      0.72     -0.13     -1.64      0.79    518.77      1.01
alpha_ntar_0_0[3]      1.63      0.54      1.59      0.82      2.50    261.93      1.00
alpha_ntar_0_0[4]     -1.60      0.51     -1.57     -2.41     -0.80    266.79      1.00
alpha_ntar_0_0[5]      0.34      0.32      0.35     -0.16      0.84    303.34      1.00
alpha_ntar_0_0[6]      0.82      0.33      0.78      0.28      1.34    391.59      0.99
alpha_ntar_0_0[7]     -0.74      0.24     -0.71     -1.18     -0.42    208.41      1.00
alpha_ntar_0_0[8]     -0.08      0.23     -0.09     -0.43      0.27    448.50      1.00
alpha_ntar_0_1[0]      0.68      1.50      0.70     -1.48      3.27    378.58      1.00
alpha_ntar_0_1[1]     -0.61      1.06     -0.61     -1.90      1.38    320.01      1.00
alpha_ntar_0_1[2]      1.95      0.80      1.90      0.81      3.46    255.91      0.99
alpha_ntar_0_1[3]      0.03      0.53      0.07     -0.80      0.88    372.85      1.00
alpha_ntar_0_1[4]     -0.02      0.42     -0.00     -0.70      0.59    336.00      1.00
alpha_ntar_0_1[5]      0.11      0.30      0.10     -0.35      0.55    408.58      1.00
alpha_ntar_0_1[6]     -0.67      0.27     -0.67     -1.14     -0.27    244.74      0.99
alpha_ntar_0_1[7]      0.45      0.26      0.43      0.01      0.80    244.50      1.00
alpha_ntar_0_1[8]      0.12      0.23      0.12     -0.24      0.49    133.89      0.99
 alpha_tar_0_0[0]     -0.82      0.88     -0.79     -2.16      0.53    176.74      0.99
 alpha_tar_0_0[1]      1.95      0.66      1.91      0.66      2.90    208.00      1.00
 alpha_tar_0_0[2]     -0.34      0.54     -0.32     -1.24      0.56    173.40      1.00
 alpha_tar_0_0[3]     -2.40      0.49     -2.38     -3.07     -1.53     95.51      1.00
 alpha_tar_0_0[4]      2.60      0.43      2.57      1.92      3.30    106.09      1.00
 alpha_tar_0_0[5]     -0.68      0.26     -0.71     -1.05     -0.17    245.28      1.00
 alpha_tar_0_0[6]      1.58      0.28      1.56      1.16      2.03     87.72      1.00
 alpha_tar_0_0[7]     -1.32      0.24     -1.30     -1.72     -0.95    104.22      1.01
 alpha_tar_0_0[8]     -0.14      0.16     -0.13     -0.43      0.10    352.53      1.00
 alpha_tar_0_0[9]     -0.09      0.15     -0.09     -0.37      0.13    401.21      1.00
alpha_tar_0_0[10]     -0.24      0.14     -0.24     -0.47     -0.02    320.45      1.00
alpha_tar_0_0[11]      0.05      0.13      0.05     -0.12      0.30    421.77      1.00
alpha_tar_0_0[12]      0.07      0.11      0.08     -0.08      0.24    334.85      1.00
 alpha_tar_0_1[0]      0.97      1.07      0.94     -0.79      2.49    296.28      1.00
 alpha_tar_0_1[1]      0.90      0.78      0.93     -0.17      2.26    258.99      1.00
 alpha_tar_0_1[2]      2.73      0.60      2.67      1.80      3.70    135.79      1.00
 alpha_tar_0_1[3]      0.00      0.34     -0.00     -0.51      0.55    369.34      1.00
 alpha_tar_0_1[4]     -0.26      0.30     -0.28     -0.69      0.28    407.04      1.00
 alpha_tar_0_1[5]     -0.26      0.27     -0.26     -0.63      0.27    349.18      1.00
 alpha_tar_0_1[6]     -1.03      0.24     -1.03     -1.50     -0.69    164.32      1.00
 alpha_tar_0_1[7]      0.84      0.22      0.82      0.48      1.18    120.07      1.00
 alpha_tar_0_1[8]      0.06      0.18      0.06     -0.22      0.36    345.45      1.00
 alpha_tar_0_1[9]      0.30      0.15      0.30      0.04      0.51    171.35      1.00
alpha_tar_0_1[10]     -0.18      0.13     -0.18     -0.40      0.01    375.74      1.00
alpha_tar_0_1[11]      0.10      0.13      0.09     -0.09      0.32    349.16      1.00
alpha_tar_0_1[12]      0.07      0.13      0.06     -0.13      0.29    538.56      1.00
            eta_0      0.10      0.00      0.10      0.10      0.10    500.59      1.00
       psi_ntar_0      0.14      0.03      0.14      0.09      0.18     87.15      1.00
        psi_tar_0      0.48      0.07      0.48      0.37      0.60     70.93      1.00
            rho_0      0.86      0.00      0.86      0.85      0.87    131.99      1.00
        sigma_0_0      0.95      0.02      0.95      0.92      0.97    156.12      1.00
        sigma_0_1      1.03      0.02      1.03      1.01      1.06    137.15      1.00

Number of divergences: 0
