
                        mean       std    median      5.0%     95.0%     n_eff     r_hat
 alpha_ntar_0_0[0]     -0.64      1.03     -0.54     -2.32      0.91    360.90      1.00
 alpha_ntar_0_0[1]      2.11      0.86      2.06      0.97      3.84    169.35      1.00
 alpha_ntar_0_0[2]      0.16      0.58      0.11     -0.71      1.09    321.51      1.00
 alpha_ntar_0_0[3]      2.11      0.53      2.08      1.31      2.98    138.77      1.00
 alpha_ntar_0_0[4]      1.84      0.41      1.84      1.22      2.56    121.40      1.00
 alpha_ntar_0_0[5]     -0.27      0.29     -0.26     -0.70      0.16    321.35      1.00
 alpha_ntar_0_0[6]      1.32      0.28      1.31      0.92      1.79    230.03      1.00
 alpha_ntar_0_0[7]     -0.81      0.26     -0.78     -1.25     -0.42    155.61      1.00
 alpha_ntar_0_0[8]     -0.06      0.20     -0.06     -0.35      0.29    200.97      1.00
 alpha_ntar_0_0[9]      0.05      0.16      0.05     -0.23      0.29    332.85      1.00
alpha_ntar_0_0[10]     -0.11      0.16     -0.09     -0.34      0.16    379.04      1.00
 alpha_ntar_0_1[0]      0.01      1.22     -0.03     -2.04      1.94    166.73      1.00
 alpha_ntar_0_1[1]     -0.93      1.12     -0.98     -2.53      1.02    156.01      1.00
 alpha_ntar_0_1[2]     -2.02      0.82     -1.99     -3.27     -0.59    199.78      0.99
 alpha_ntar_0_1[3]      0.67      0.57      0.65     -0.10      1.59    187.66      1.00
 alpha_ntar_0_1[4]      0.80      0.46      0.73      0.13      1.46    262.12      1.00
 alpha_ntar_0_1[5]      0.87      0.38      0.86      0.27      1.51    165.00      1.00
 alpha_ntar_0_1[6]     -0.15      0.33     -0.13     -0.71      0.30    221.13      1.00
 alpha_ntar_0_1[7]      0.48      0.30      0.47     -0.05      0.88    180.06      1.00
 alpha_ntar_0_1[8]     -0.07      0.22     -0.08     -0.35      0.37    196.94      1.00
 alpha_ntar_0_1[9]     -0.15      0.19     -0.15     -0.45      0.12    317.86      1.00
alpha_ntar_0_1[10]     -0.13      0.19     -0.14     -0.52      0.14    167.29      1.03
  alpha_tar_0_0[0]      0.93      0.60      0.91     -0.06      1.73    246.40      1.00
  alpha_tar_0_0[1]      3.13      0.57      3.09      2.17      3.99     52.43      1.01
  alpha_tar_0_0[2]      0.11      0.36      0.10     -0.53      0.64    224.42      1.00
  alpha_tar_0_0[3]     -2.93      0.46     -2.85     -3.73     -2.25     56.32      1.00
  alpha_tar_0_0[4]      2.98      0.48      2.93      2.19      3.68     44.85      1.01
  alpha_tar_0_0[5]     -0.60      0.23     -0.58     -1.02     -0.29    125.31      1.00
  alpha_tar_0_0[6]      1.95      0.32      1.90      1.44      2.46     70.00      1.00
  alpha_tar_0_0[7]     -1.39      0.23     -1.37     -1.74     -1.03     47.59      1.00
  alpha_tar_0_0[8]      0.04      0.13      0.04     -0.17      0.26    287.48      1.00
  alpha_tar_0_0[9]      0.10      0.12      0.11     -0.10      0.27    371.23      1.01
 alpha_tar_0_0[10]      0.14      0.11      0.14     -0.03      0.28    184.00      1.00
 alpha_tar_0_0[11]      0.03      0.08      0.03     -0.09      0.18    285.76      1.00
 alpha_tar_0_0[12]      0.04      0.08      0.04     -0.11      0.15    341.12      1.00
 alpha_tar_0_0[13]      0.02      0.07      0.02     -0.11      0.14    205.07      1.00
 alpha_tar_0_0[14]     -0.02      0.08     -0.02     -0.13      0.11    136.56      1.00
  alpha_tar_0_1[0]     -0.17      0.80     -0.21     -1.38      1.23    206.81      0.99
  alpha_tar_0_1[1]     -1.67      0.76     -1.73     -2.55     -0.23    261.64      1.00
  alpha_tar_0_1[2]     -3.34      0.72     -3.28     -4.62     -2.24    115.34      1.00
  alpha_tar_0_1[3]     -1.06      0.43     -1.07     -1.65     -0.36    192.79      1.00
  alpha_tar_0_1[4]      1.21      0.35      1.22      0.69      1.76     76.23      1.01
  alpha_tar_0_1[5]      1.38      0.31      1.38      0.91      1.96     72.26      1.01
  alpha_tar_0_1[6]     -0.14      0.21     -0.13     -0.49      0.18    149.14      1.00
  alpha_tar_0_1[7]      0.92      0.21      0.90      0.60      1.26     97.64      1.00
  alpha_tar_0_1[8]      0.18      0.16      0.19     -0.13      0.42    140.33      1.00
  alpha_tar_0_1[9]     -0.35      0.15     -0.35     -0.57     -0.06    159.97      1.00
 alpha_tar_0_1[10]      0.16      0.15      0.15     -0.04      0.41    175.52      1.00
 alpha_tar_0_1[11]      0.05      0.13      0.04     -0.15      0.29    264.24      1.00
 alpha_tar_0_1[12]      0.09      0.11      0.08     -0.10      0.26    294.54      1.00
 alpha_tar_0_1[13]      0.00      0.11      0.01     -0.20      0.19    248.76      1.00
 alpha_tar_0_1[14]     -0.05      0.12     -0.05     -0.24      0.14    365.20      1.00
             eta_0      0.10      0.00      0.10      0.10      0.10    289.40      1.00
        psi_ntar_0      0.12      0.02      0.12      0.09      0.15     74.72      1.00
         psi_tar_0      0.42      0.06      0.41      0.33      0.51     43.05      1.01
             rho_0      0.85      0.00      0.85      0.85      0.85    145.53      1.01
         sigma_0_0      0.89      0.01      0.89      0.88      0.91    113.78      1.00
         sigma_0_1      1.25      0.01      1.25      1.23      1.27    156.03      1.00

Number of divergences: 0
