
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
alpha_ntar_0_0[0]     -0.17      1.49     -0.17     -2.19      2.36    300.06      1.00
alpha_ntar_0_0[1]      1.33      0.98      1.37     -0.57      2.63    201.74      1.02
alpha_ntar_0_0[2]     -0.16      0.82     -0.18     -1.47      1.16    208.33      1.02
alpha_ntar_0_0[3]     -1.69      0.59     -1.70     -2.50     -0.72    171.32      1.00
alpha_ntar_0_0[4]     -1.66      0.49     -1.65     -2.46     -0.97    188.66      1.00
alpha_ntar_0_0[5]      0.41      0.39      0.40     -0.21      1.03    267.23      1.01
alpha_ntar_0_0[6]     -0.88      0.28     -0.89     -1.31     -0.45    195.55      1.00
alpha_ntar_0_0[7]     -0.78      0.31     -0.76     -1.26     -0.28    275.88      1.00
alpha_ntar_0_0[8]     -0.06      0.23     -0.05     -0.52      0.23    333.76      1.00
alpha_ntar_0_1[0]      0.58      1.37      0.62     -1.50      2.66    236.89      1.00
alpha_ntar_0_1[1]      0.38      1.28      0.35     -1.90      2.13    124.36      1.00
alpha_ntar_0_1[2]      2.13      0.88      2.07      0.84      3.60    200.67      1.00
alpha_ntar_0_1[3]     -0.13      0.64     -0.16     -1.05      0.87    313.52      1.00
alpha_ntar_0_1[4]      0.02      0.49     -0.00     -0.66      0.99    213.56      1.00
alpha_ntar_0_1[5]      0.13      0.38      0.09     -0.37      0.82    235.62      1.00
alpha_ntar_0_1[6]      0.69      0.34      0.70      0.20      1.32    155.47      1.00
alpha_ntar_0_1[7]      0.43      0.26      0.41      0.06      0.88    292.35      1.00
alpha_ntar_0_1[8]      0.13      0.26      0.13     -0.24      0.52    321.16      1.00
 alpha_tar_0_0[0]     -0.81      0.90     -0.78     -2.59      0.44    274.52      1.00
 alpha_tar_0_0[1]      1.90      0.64      1.87      0.66      2.80     93.19      1.00
 alpha_tar_0_0[2]     -0.28      0.50     -0.26     -0.98      0.49    368.22      0.99
 alpha_tar_0_0[3]     -2.22      0.44     -2.23     -2.76     -1.31     46.34      1.00
 alpha_tar_0_0[4]     -2.40      0.42     -2.38     -3.05     -1.64     54.59      1.00
 alpha_tar_0_0[5]     -0.63      0.27     -0.62     -1.03     -0.13    140.73      1.00
 alpha_tar_0_0[6]      1.47      0.27      1.46      1.04      1.88     66.65      0.99
 alpha_tar_0_0[7]      1.24      0.23      1.23      0.86      1.61     42.83      1.00
 alpha_tar_0_0[8]     -0.13      0.13     -0.14     -0.35      0.06    141.31      1.00
 alpha_tar_0_0[9]     -0.10      0.12     -0.09     -0.26      0.11    561.34      1.00
alpha_tar_0_0[10]      0.22      0.12      0.22      0.02      0.42    155.62      1.00
alpha_tar_0_0[11]      0.05      0.09      0.05     -0.08      0.20    136.55      1.00
 alpha_tar_0_1[0]      0.90      0.84      0.98     -0.76      2.11    198.81      1.00
 alpha_tar_0_1[1]      0.90      0.62      0.91     -0.14      1.82    268.06      1.00
 alpha_tar_0_1[2]      2.61      0.58      2.55      1.67      3.47     41.97      1.00
 alpha_tar_0_1[3]     -0.02      0.37     -0.04     -0.66      0.55    325.13      1.01
 alpha_tar_0_1[4]      0.20      0.32      0.17     -0.27      0.79    119.86      1.01
 alpha_tar_0_1[5]     -0.21      0.25     -0.20     -0.56      0.23    299.97      1.00
 alpha_tar_0_1[6]     -0.95      0.23     -0.92     -1.31     -0.56    115.21      1.00
 alpha_tar_0_1[7]     -0.77      0.18     -0.76     -1.09     -0.50     83.65      1.00
 alpha_tar_0_1[8]      0.07      0.17      0.06     -0.21      0.32    515.35      1.00
 alpha_tar_0_1[9]      0.30      0.14      0.29      0.07      0.49    316.69      1.00
alpha_tar_0_1[10]      0.18      0.15      0.17     -0.09      0.35    104.27      1.00
alpha_tar_0_1[11]      0.09      0.12      0.09     -0.11      0.28    229.57      1.00
            eta_0      0.10      0.00      0.10      0.10      0.10    556.01      1.00
       psi_ntar_0      0.13      0.03      0.12      0.09      0.17    117.26      1.00
        psi_tar_0      0.52      0.08      0.50      0.39      0.64     38.41      1.00
            rho_0      0.86      0.00      0.86      0.85      0.87    129.78      1.00
        sigma_0_0      0.95      0.01      0.95      0.92      0.97    127.13      1.00
        sigma_0_1      1.03      0.02      1.03      1.01      1.06    142.91      1.00

Number of divergences: 0
