
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
alpha_ntar_0_0[0]     -0.54      0.85     -0.56     -1.80      0.79    222.66      1.01
alpha_ntar_0_0[1]      1.83      0.72      1.74      0.76      3.07    122.04      1.00
alpha_ntar_0_0[2]     -0.21      0.54     -0.22     -0.93      0.89    196.17      1.00
alpha_ntar_0_0[3]     -1.95      0.50     -1.87     -2.70     -1.16     80.18      1.00
alpha_ntar_0_0[4]     -1.63      0.42     -1.59     -2.37     -1.01    116.05      1.00
alpha_ntar_0_0[5]      0.24      0.26      0.24     -0.16      0.68    169.99      1.00
alpha_ntar_0_0[6]     -1.22      0.27     -1.24     -1.61     -0.77     46.07      1.01
alpha_ntar_0_0[7]     -0.71      0.22     -0.71     -1.12     -0.40    120.63      1.00
alpha_ntar_0_0[8]     -0.03      0.17     -0.03     -0.30      0.23    141.77      1.00
alpha_ntar_0_1[0]      0.00      1.39      0.01     -2.07      2.06    129.91      1.00
alpha_ntar_0_1[1]     -1.01      1.19     -1.07     -2.93      0.76    160.37      1.00
alpha_ntar_0_1[2]      1.85      0.76      1.81      0.52      2.93    181.87      1.00
alpha_ntar_0_1[3]     -0.62      0.51     -0.64     -1.56      0.08    232.13      1.00
alpha_ntar_0_1[4]     -0.81      0.48     -0.83     -1.45      0.14    113.40      1.00
alpha_ntar_0_1[5]     -0.76      0.37     -0.73     -1.36     -0.19    179.78      1.01
alpha_ntar_0_1[6]      0.14      0.27      0.12     -0.32      0.56    221.51      1.02
alpha_ntar_0_1[7]      0.42      0.26      0.43      0.04      0.81    256.70      1.00
alpha_ntar_0_1[8]     -0.06      0.22     -0.07     -0.39      0.29    162.99      1.00
 alpha_tar_0_0[0]     -0.78      0.59     -0.71     -1.88      0.07    197.62      1.00
 alpha_tar_0_0[1]      2.38      0.45      2.38      1.71      3.10     84.07      1.00
 alpha_tar_0_0[2]     -0.21      0.29     -0.22     -0.64      0.23    171.77      1.00
 alpha_tar_0_0[3]     -2.37      0.38     -2.34     -3.04     -1.88     53.35      1.00
 alpha_tar_0_0[4]     -2.27      0.33     -2.25     -2.78     -1.72     54.80      1.00
 alpha_tar_0_0[5]     -0.36      0.17     -0.34     -0.64     -0.09    175.26      1.00
 alpha_tar_0_0[6]      1.59      0.23      1.55      1.21      1.92     50.71      1.01
 alpha_tar_0_0[7]      1.12      0.17      1.11      0.86      1.36     69.83      1.00
 alpha_tar_0_0[8]     -0.05      0.09     -0.05     -0.20      0.08    390.91      0.99
 alpha_tar_0_0[9]     -0.09      0.07     -0.09     -0.20      0.03    226.47      1.00
alpha_tar_0_0[10]      0.11      0.08      0.11     -0.01      0.23    196.72      1.00
alpha_tar_0_0[11]      0.02      0.07      0.02     -0.09      0.12    252.75      1.00
 alpha_tar_0_1[0]      0.17      0.73      0.21     -1.02      1.37    285.50      1.00
 alpha_tar_0_1[1]     -1.36      0.57     -1.36     -2.22     -0.38    225.90      1.00
 alpha_tar_0_1[2]      2.60      0.49      2.54      1.75      3.36     73.90      1.00
 alpha_tar_0_1[3]     -0.77      0.33     -0.76     -1.27     -0.16    313.47      0.99
 alpha_tar_0_1[4]     -1.08      0.29     -1.09     -1.54     -0.64    119.37      1.01
 alpha_tar_0_1[5]      1.09      0.23      1.09      0.70      1.42    108.88      1.01
 alpha_tar_0_1[6]     -0.10      0.17     -0.11     -0.39      0.17    279.91      1.00
 alpha_tar_0_1[7]     -0.72      0.14     -0.72     -0.96     -0.50    113.78      1.00
 alpha_tar_0_1[8]     -0.15      0.15     -0.15     -0.39      0.09    210.14      1.00
 alpha_tar_0_1[9]      0.30      0.12      0.29      0.11      0.50    314.12      1.00
alpha_tar_0_1[10]      0.13      0.12      0.12     -0.10      0.29    270.84      1.00
alpha_tar_0_1[11]      0.03      0.11      0.03     -0.12      0.19    355.16      0.99
            eta_0      0.10      0.00      0.10      0.10      0.10    246.51      1.01
       psi_ntar_0      0.13      0.03      0.13      0.09      0.17     50.44      1.00
        psi_tar_0      0.54      0.07      0.53      0.41      0.63     52.68      1.01
            rho_0      0.85      0.00      0.85      0.85      0.85    137.51      1.01
        sigma_0_0      0.89      0.01      0.89      0.88      0.91    150.39      1.01
        sigma_0_1      1.25      0.01      1.25      1.23      1.27    181.52      1.00

Number of divergences: 0
