
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
alpha_ntar_0_0[0]      0.99      2.44      0.98     -3.22      5.03    842.20      1.00
alpha_ntar_0_0[1]      0.34      1.83      0.31     -2.75      3.20    751.25      1.00
alpha_ntar_0_0[2]      0.73      1.32      0.67     -1.43      2.89    856.17      1.00
alpha_ntar_0_0[3]     -1.11      1.04     -1.12     -2.72      0.41   1074.83      1.00
alpha_ntar_0_0[4]      0.65      0.72      0.64     -0.68      1.72    927.81      1.00
alpha_ntar_0_0[5]     -0.48      0.66     -0.50     -1.56      0.54    910.02      1.00
alpha_ntar_0_0[6]      0.02      0.52      0.02     -0.86      0.82    743.90      1.00
alpha_ntar_0_0[7]     -0.20      0.50     -0.21     -0.94      0.62    751.26      1.00
alpha_ntar_0_0[8]      0.25      0.37      0.26     -0.40      0.78    729.50      1.00
alpha_ntar_0_1[0]      1.39      2.40      1.36     -2.34      4.94    657.56      1.00
alpha_ntar_0_1[1]      0.05      1.88      0.06     -2.72      3.68    626.69      1.00
alpha_ntar_0_1[2]     -1.28      1.20     -1.27     -3.15      0.80    519.12      1.00
alpha_ntar_0_1[3]     -0.29      0.98     -0.27     -2.11      1.07    896.97      1.00
alpha_ntar_0_1[4]     -0.17      0.60     -0.15     -1.23      0.71    439.00      1.00
alpha_ntar_0_1[5]      0.06      0.62      0.11     -1.08      0.91   1121.04      1.00
alpha_ntar_0_1[6]     -0.36      0.44     -0.36     -1.09      0.33    799.95      1.00
alpha_ntar_0_1[7]     -0.12      0.42     -0.12     -0.74      0.64    561.25      1.00
alpha_ntar_0_1[8]     -0.11      0.34     -0.12     -0.63      0.43    746.43      1.00
 alpha_tar_0_0[0]      0.87      1.37      0.89     -1.75      2.68    733.63      1.00
 alpha_tar_0_0[1]      2.49      1.14      2.48      0.43      4.19    611.15      1.00
 alpha_tar_0_0[2]     -2.05      0.91     -1.98     -3.55     -0.79    350.17      1.00
 alpha_tar_0_0[3]     -1.09      0.64     -1.10     -2.09      0.02    495.50      1.00
 alpha_tar_0_0[4]     -0.11      0.43     -0.15     -0.87      0.51    690.78      1.00
 alpha_tar_0_0[5]      1.26      0.42      1.25      0.56      1.91    306.50      1.00
 alpha_tar_0_0[6]      1.36      0.38      1.36      0.70      1.93    288.22      1.01
 alpha_tar_0_0[7]      0.96      0.31      0.94      0.46      1.43    493.22      1.00
 alpha_tar_0_0[8]      0.41      0.26      0.42     -0.01      0.78    338.04      1.00
 alpha_tar_0_0[9]     -0.48      0.24     -0.47     -0.86     -0.05    681.30      1.00
alpha_tar_0_0[10]      0.75      0.22      0.74      0.44      1.14    617.83      1.00
alpha_tar_0_0[11]     -0.28      0.19     -0.27     -0.59      0.01    840.04      1.00
 alpha_tar_0_1[0]      2.22      1.14      2.15      0.15      3.82    523.54      1.00
 alpha_tar_0_1[1]     -0.87      0.82     -0.86     -2.10      0.53    576.43      1.00
 alpha_tar_0_1[2]      2.08      0.66      2.02      1.01      3.02    283.87      1.01
 alpha_tar_0_1[3]     -0.56      0.49     -0.54     -1.43      0.16    521.94      1.00
 alpha_tar_0_1[4]      0.28      0.38      0.26     -0.36      0.90    423.46      1.00
 alpha_tar_0_1[5]      0.10      0.31      0.08     -0.37      0.60    590.49      1.00
 alpha_tar_0_1[6]      0.64      0.28      0.63      0.17      1.08    737.25      1.00
 alpha_tar_0_1[7]      0.51      0.24      0.51      0.12      0.86    446.81      1.00
 alpha_tar_0_1[8]      0.26      0.20      0.25     -0.07      0.58    470.60      1.00
 alpha_tar_0_1[9]     -0.02      0.20     -0.02     -0.39      0.29   1134.34      1.00
alpha_tar_0_1[10]     -0.44      0.19     -0.44     -0.72     -0.14    462.20      1.00
alpha_tar_0_1[11]      0.17      0.17      0.18     -0.07      0.48    645.35      1.00
            eta_0      0.10      0.00      0.10      0.10      0.10    428.93      1.00
       psi_ntar_0      0.06      0.02      0.06      0.02      0.09    196.33      1.01
        psi_tar_0      0.35      0.07      0.34      0.24      0.44    124.55      1.01
            rho_0      0.85      0.00      0.85      0.85      0.85    390.90      1.00
        sigma_0_0      2.17      0.02      2.17      2.14      2.20    375.27      1.00
        sigma_0_1      1.63      0.01      1.63      1.61      1.65    381.70      1.00

Number of divergences: 0
