
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
alpha_ntar_0_0[0]     -2.65      2.13     -2.67     -6.68      0.20    619.97      1.00
alpha_ntar_0_0[1]     -2.91      1.43     -2.90     -5.22     -0.65    457.88      1.00
alpha_ntar_0_0[2]     -0.94      1.16     -1.01     -2.98      0.78   1751.73      1.00
alpha_ntar_0_0[3]     -0.65      0.83     -0.67     -1.94      0.58    753.58      1.00
alpha_ntar_0_0[4]      0.69      0.62      0.68     -0.34      1.65   1253.48      1.00
alpha_ntar_0_0[5]      0.15      0.48      0.14     -0.71      0.86    675.28      1.00
alpha_ntar_0_0[6]      0.01      0.41      0.00     -0.71      0.67    670.40      1.00
alpha_ntar_0_0[7]      0.15      0.34      0.15     -0.39      0.70    861.39      1.00
alpha_ntar_0_0[8]     -0.02      0.33     -0.00     -0.50      0.50   1277.54      1.00
alpha_ntar_0_1[0]      0.82      2.71      0.72     -3.57      4.86    745.87      1.00
alpha_ntar_0_1[1]      2.46      1.72      2.46     -0.20      5.53    620.19      1.00
alpha_ntar_0_1[2]      0.93      1.32      0.94     -1.11      3.22    730.77      1.00
alpha_ntar_0_1[3]      1.38      1.02      1.41     -0.07      3.34   1086.79      1.00
alpha_ntar_0_1[4]      0.26      0.77      0.28     -1.05      1.41   1231.25      1.00
alpha_ntar_0_1[5]     -0.63      0.65     -0.63     -1.67      0.43    888.66      1.00
alpha_ntar_0_1[6]     -0.23      0.51     -0.21     -0.97      0.63   1313.45      1.00
alpha_ntar_0_1[7]     -0.04      0.39     -0.04     -0.67      0.57   1029.51      1.00
alpha_ntar_0_1[8]     -0.08      0.37     -0.07     -0.66      0.53    898.01      1.00
 alpha_tar_0_0[0]      0.39      1.26      0.41     -1.67      2.40    772.35      1.00
 alpha_tar_0_0[1]      1.48      1.07      1.44     -0.03      3.32    727.33      1.00
 alpha_tar_0_0[2]     -0.60      0.80     -0.69     -1.73      0.73    898.19      1.00
 alpha_tar_0_0[3]     -2.45      0.64     -2.46     -3.38     -1.44    442.52      1.00
 alpha_tar_0_0[4]     -0.87      0.49     -0.88     -1.58     -0.01    702.96      1.00
 alpha_tar_0_0[5]     -0.34      0.34     -0.34     -0.84      0.24    589.71      1.00
 alpha_tar_0_0[6]      1.47      0.41      1.44      0.89      2.22    471.65      1.00
 alpha_tar_0_0[7]      0.99      0.34      0.96      0.43      1.48    553.59      1.00
 alpha_tar_0_0[8]      0.49      0.29      0.49      0.04      0.96   1365.64      1.00
 alpha_tar_0_0[9]     -0.41      0.22     -0.40     -0.73     -0.04    642.83      1.00
alpha_tar_0_0[10]      0.55      0.22      0.55      0.22      0.92   1164.01      1.00
alpha_tar_0_0[11]     -0.10      0.19     -0.09     -0.39      0.19    608.52      1.00
 alpha_tar_0_1[0]     -1.90      1.69     -1.92     -4.59      0.70    883.39      1.00
 alpha_tar_0_1[1]      0.67      1.34      0.70     -1.65      2.70    842.42      1.00
 alpha_tar_0_1[2]     -0.45      0.89     -0.43     -1.98      1.03    775.33      1.00
 alpha_tar_0_1[3]     -0.17      0.76     -0.20     -1.38      1.11    891.22      1.00
 alpha_tar_0_1[4]      0.48      0.57      0.47     -0.30      1.50   1035.51      1.00
 alpha_tar_0_1[5]      0.60      0.47      0.59     -0.02      1.47    662.86      1.00
 alpha_tar_0_1[6]     -0.75      0.39     -0.76     -1.34     -0.06    602.66      1.00
 alpha_tar_0_1[7]     -1.08      0.37     -1.07     -1.67     -0.47    890.16      1.00
 alpha_tar_0_1[8]     -0.17      0.33     -0.18     -0.69      0.40    756.89      1.00
 alpha_tar_0_1[9]      0.06      0.28      0.05     -0.39      0.50   1109.54      1.00
alpha_tar_0_1[10]     -0.07      0.29     -0.08     -0.53      0.43    835.73      1.00
alpha_tar_0_1[11]      0.15      0.27      0.15     -0.28      0.57    751.73      1.00
            eta_0      0.10      0.00      0.10      0.10      0.10    579.53      1.00
       psi_ntar_0      0.15      0.05      0.15      0.07      0.22    229.17      1.00
        psi_tar_0      0.55      0.10      0.54      0.39      0.71    205.96      1.00
            rho_0      0.85      0.00      0.85      0.85      0.85    399.39      1.00
        sigma_0_0      3.32      0.03      3.32      3.27      3.36    421.34      1.00
        sigma_0_1      4.42      0.04      4.43      4.37      4.49    307.41      1.00

Number of divergences: 0
