
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
alpha_ntar_0_0[0]      1.64      2.33      1.55     -2.40      5.05    763.73      1.00
alpha_ntar_0_0[1]      1.27      1.78      1.30     -1.37      4.35   1074.77      1.00
alpha_ntar_0_0[2]      0.42      1.25      0.44     -1.33      2.74   1179.47      1.00
alpha_ntar_0_0[3]     -0.52      0.91     -0.48     -2.05      0.88    692.43      1.00
alpha_ntar_0_0[4]     -0.38      0.72     -0.38     -1.59      0.69   1458.28      1.00
alpha_ntar_0_0[5]      0.15      0.55      0.13     -0.73      1.01    620.26      1.00
alpha_ntar_0_0[6]     -0.03      0.50     -0.01     -0.91      0.74    877.55      1.00
alpha_ntar_0_0[7]     -0.04      0.46     -0.02     -0.80      0.67    814.08      1.00
alpha_ntar_0_0[8]      0.32      0.35      0.33     -0.25      0.88    748.58      1.00
alpha_ntar_0_1[0]     -1.08      2.46     -1.05     -5.33      2.39    926.78      1.00
alpha_ntar_0_1[1]      0.67      1.94      0.66     -2.42      4.30    719.91      1.00
alpha_ntar_0_1[2]     -0.77      1.52     -0.74     -2.85      2.25    934.77      1.00
alpha_ntar_0_1[3]      0.52      1.03      0.49     -1.11      2.26    938.08      1.00
alpha_ntar_0_1[4]      0.32      0.85      0.36     -1.03      1.72    613.86      1.00
alpha_ntar_0_1[5]     -0.74      0.62     -0.79     -1.61      0.36    518.65      1.00
alpha_ntar_0_1[6]      0.12      0.47      0.14     -0.66      0.85   1195.32      1.00
alpha_ntar_0_1[7]     -0.23      0.43     -0.23     -0.86      0.53   1025.84      1.00
alpha_ntar_0_1[8]      0.16      0.37      0.16     -0.45      0.68    845.55      1.00
 alpha_tar_0_0[0]     -0.04      1.39      0.04     -2.35      2.10    785.28      1.00
 alpha_tar_0_0[1]      0.81      1.14      0.85     -0.89      2.82   1127.82      1.00
 alpha_tar_0_0[2]     -0.37      0.83     -0.37     -1.72      0.93    837.51      1.00
 alpha_tar_0_0[3]     -1.80      0.60     -1.75     -2.88     -0.88    430.14      1.00
 alpha_tar_0_0[4]     -2.11      0.52     -2.08     -2.94     -1.18    573.04      1.00
 alpha_tar_0_0[5]      0.18      0.38      0.18     -0.41      0.78    863.62      1.00
 alpha_tar_0_0[6]      1.61      0.38      1.59      0.93      2.21    403.94      1.00
 alpha_tar_0_0[7]      1.12      0.32      1.11      0.66      1.61    771.56      1.00
 alpha_tar_0_0[8]      0.46      0.26      0.46     -0.01      0.84    662.38      1.00
 alpha_tar_0_0[9]     -0.25      0.22     -0.24     -0.59      0.14    756.30      1.00
alpha_tar_0_0[10]      0.31      0.21      0.31     -0.02      0.67    785.52      1.00
alpha_tar_0_0[11]     -0.18      0.20     -0.17     -0.52      0.13    880.39      1.00
 alpha_tar_0_1[0]      1.59      1.42      1.52     -0.68      3.84    709.22      1.00
 alpha_tar_0_1[1]      0.55      1.13      0.55     -1.15      2.57    603.23      1.00
 alpha_tar_0_1[2]      2.40      0.87      2.30      1.02      3.75    854.18      1.00
 alpha_tar_0_1[3]      0.12      0.68      0.13     -1.14      1.08    965.52      1.00
 alpha_tar_0_1[4]      0.20      0.55      0.19     -0.77      1.00   1847.90      1.00
 alpha_tar_0_1[5]     -0.67      0.45     -0.67     -1.37      0.12   1053.07      1.00
 alpha_tar_0_1[6]     -0.66      0.36     -0.65     -1.21     -0.12    585.59      1.00
 alpha_tar_0_1[7]     -0.44      0.30     -0.43     -0.99     -0.02    879.18      1.00
 alpha_tar_0_1[8]     -0.26      0.28     -0.25     -0.72      0.17    938.48      1.00
 alpha_tar_0_1[9]      0.26      0.27      0.26     -0.12      0.74    930.95      1.00
alpha_tar_0_1[10]     -0.21      0.22     -0.21     -0.54      0.20   1407.19      1.00
alpha_tar_0_1[11]     -0.07      0.21     -0.06     -0.42      0.22   1532.38      1.00
            eta_0      0.10      0.00      0.10      0.10      0.10    558.20      1.00
       psi_ntar_0      0.08      0.04      0.08      0.02      0.13    243.42      1.00
        psi_tar_0      0.44      0.08      0.43      0.32      0.57    232.64      1.00
            rho_0      0.85      0.00      0.85      0.85      0.86    488.34      1.01
        sigma_0_0      1.92      0.02      1.92      1.89      1.96    419.96      1.02
        sigma_0_1      2.16      0.02      2.16      2.11      2.19    501.13      1.00

Number of divergences: 0
