
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
alpha_ntar_0_0[0]      0.34      2.79      0.38     -3.48      5.33   2312.85      1.00
alpha_ntar_0_0[1]      0.92      1.84      0.99     -2.03      4.02   1649.33      1.00
alpha_ntar_0_0[2]     -0.47      1.31     -0.53     -2.73      1.68    938.39      1.00
alpha_ntar_0_0[3]      0.02      0.91     -0.01     -1.47      1.45    607.38      1.00
alpha_ntar_0_0[4]     -0.17      0.71     -0.18     -1.30      0.94    883.21      1.00
alpha_ntar_0_0[5]     -0.15      0.63     -0.14     -1.18      0.90   1226.84      1.00
alpha_ntar_0_0[6]      0.33      0.50      0.33     -0.54      1.15   1091.32      1.00
alpha_ntar_0_0[7]      0.05      0.43      0.06     -0.66      0.71    810.73      1.00
alpha_ntar_0_0[8]      0.08      0.36      0.08     -0.47      0.61    915.75      1.00
alpha_ntar_0_1[0]     -2.60      2.53     -2.63     -6.59      1.34    873.58      1.00
alpha_ntar_0_1[1]      0.88      2.05      1.02     -2.12      4.32    749.27      1.00
alpha_ntar_0_1[2]     -0.64      1.44     -0.64     -3.28      1.57    916.33      1.00
alpha_ntar_0_1[3]     -0.91      0.92     -0.94     -2.16      0.75   1196.96      1.00
alpha_ntar_0_1[4]     -1.16      0.80     -1.19     -2.36      0.28   1008.37      1.00
alpha_ntar_0_1[5]      0.51      0.55      0.51     -0.42      1.35    692.30      1.00
alpha_ntar_0_1[6]      0.27      0.51      0.29     -0.57      1.08   1263.18      1.00
alpha_ntar_0_1[7]     -0.10      0.41     -0.09     -0.82      0.54    809.29      1.00
alpha_ntar_0_1[8]     -0.28      0.38     -0.30     -0.91      0.31    923.84      1.00
 alpha_tar_0_0[0]      1.92      1.69      1.92     -0.99      4.43    992.31      1.00
 alpha_tar_0_0[1]      1.81      1.22      1.73     -0.09      3.83    612.64      1.00
 alpha_tar_0_0[2]     -0.61      0.99     -0.56     -2.09      0.99    867.01      1.00
 alpha_tar_0_0[3]     -1.38      0.74     -1.32     -2.55     -0.31    953.56      1.00
 alpha_tar_0_0[4]     -1.81      0.61     -1.77     -2.65     -0.77    570.83      1.00
 alpha_tar_0_0[5]     -0.11      0.48     -0.13     -0.90      0.61   2068.79      1.00
 alpha_tar_0_0[6]      0.46      0.40      0.44     -0.15      1.17    530.84      1.00
 alpha_tar_0_0[7]      0.99      0.36      1.01      0.40      1.58    570.90      1.01
 alpha_tar_0_0[8]      0.56      0.35      0.57      0.06      1.18   1087.58      1.00
 alpha_tar_0_0[9]     -0.22      0.30     -0.21     -0.64      0.32    999.04      1.00
alpha_tar_0_0[10]     -0.21      0.28     -0.21     -0.70      0.21    920.25      1.00
alpha_tar_0_0[11]     -0.11      0.25     -0.11     -0.52      0.24    608.95      1.00
 alpha_tar_0_1[0]     -0.35      1.69     -0.29     -3.29      2.28   1373.62      1.00
 alpha_tar_0_1[1]     -2.18      1.35     -2.18     -4.21     -0.01   1295.48      1.00
 alpha_tar_0_1[2]      1.45      0.88      1.42      0.27      2.99    684.38      1.00
 alpha_tar_0_1[3]      0.76      0.67      0.72     -0.34      1.87    687.22      1.00
 alpha_tar_0_1[4]      0.71      0.62      0.66     -0.19      1.80    899.98      1.00
 alpha_tar_0_1[5]      0.67      0.50      0.67     -0.07      1.51    873.45      1.00
 alpha_tar_0_1[6]      0.85      0.42      0.86      0.17      1.47    970.09      1.00
 alpha_tar_0_1[7]      0.32      0.38      0.33     -0.24      0.96   1340.12      1.00
 alpha_tar_0_1[8]      0.07      0.33      0.08     -0.43      0.62   1090.23      1.00
 alpha_tar_0_1[9]     -0.47      0.28     -0.48     -0.89      0.04    884.68      1.00
alpha_tar_0_1[10]      0.48      0.25      0.48      0.06      0.88    776.59      1.00
alpha_tar_0_1[11]     -0.28      0.24     -0.26     -0.67      0.12   1119.51      1.00
            eta_0      0.10      0.00      0.10      0.10      0.10    724.24      1.00
       psi_ntar_0      0.07      0.03      0.07      0.03      0.11    318.29      1.00
        psi_tar_0      0.27      0.06      0.26      0.17      0.35    146.81      1.00
            rho_0      0.85      0.00      0.85      0.84      0.85    463.68      1.00
        sigma_0_0      2.23      0.02      2.23      2.20      2.26    444.78      1.00
        sigma_0_1      2.16      0.02      2.15      2.13      2.19    427.96      1.00

Number of divergences: 0
