
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
alpha_ntar_0_0[0]      0.87      2.90      0.75     -3.87      5.60   1041.82      1.00
alpha_ntar_0_0[1]     -0.64      2.20     -0.52     -4.07      2.83   1390.39      1.00
alpha_ntar_0_0[2]     -0.61      1.46     -0.51     -3.01      1.77   1256.62      1.00
alpha_ntar_0_0[3]      0.22      1.04      0.24     -1.42      1.94    755.07      1.00
alpha_ntar_0_0[4]      0.06      0.78      0.03     -1.28      1.26    686.41      1.00
alpha_ntar_0_0[5]     -0.16      0.61     -0.18     -0.97      0.94    920.93      1.00
alpha_ntar_0_0[6]      0.09      0.56      0.08     -1.00      0.83    678.93      1.00
alpha_ntar_0_0[7]      0.11      0.44      0.11     -0.68      0.78    887.49      1.00
alpha_ntar_0_0[8]     -0.01      0.37     -0.01     -0.62      0.62    875.90      1.00
alpha_ntar_0_1[0]     -2.15      2.79     -2.22     -6.47      2.78    582.51      1.01
alpha_ntar_0_1[1]     -0.18      2.07     -0.26     -3.30      3.51    878.96      1.00
alpha_ntar_0_1[2]      0.31      1.39      0.34     -2.02      2.50   1334.01      1.00
alpha_ntar_0_1[3]      0.48      1.02      0.44     -1.08      2.15    986.18      1.00
alpha_ntar_0_1[4]     -0.31      0.84     -0.32     -1.81      1.00   1135.16      1.00
alpha_ntar_0_1[5]     -0.18      0.72     -0.17     -1.28      1.01   1610.01      1.00
alpha_ntar_0_1[6]      0.05      0.58      0.05     -0.90      1.01   1313.40      1.00
alpha_ntar_0_1[7]     -0.13      0.43     -0.14     -0.72      0.66    982.69      1.00
alpha_ntar_0_1[8]      0.32      0.41      0.30     -0.32      1.00   1054.87      1.00
 alpha_tar_0_0[0]      1.44      1.30      1.46     -0.42      3.81   1172.57      1.00
 alpha_tar_0_0[1]     -0.62      0.95     -0.58     -2.27      0.78    977.54      1.00
 alpha_tar_0_0[2]     -0.45      0.82     -0.49     -1.71      0.93    800.85      1.00
 alpha_tar_0_0[3]      1.06      0.58      1.06      0.10      1.97   1288.78      1.00
 alpha_tar_0_0[4]      1.85      0.53      1.80      1.04      2.76    771.81      1.00
 alpha_tar_0_0[5]      0.18      0.35      0.16     -0.40      0.77   1925.66      1.00
 alpha_tar_0_0[6]     -0.18      0.34     -0.16     -0.70      0.39    892.97      1.00
 alpha_tar_0_0[7]     -0.77      0.30     -0.75     -1.20     -0.25   1015.34      1.00
 alpha_tar_0_0[8]     -0.91      0.27     -0.91     -1.35     -0.48    524.27      1.00
 alpha_tar_0_0[9]      0.09      0.23      0.10     -0.28      0.46   1174.78      1.00
alpha_tar_0_0[10]     -0.06      0.17     -0.07     -0.32      0.23   1039.60      1.00
alpha_tar_0_0[11]     -0.26      0.18     -0.26     -0.53      0.06   1108.04      1.00
 alpha_tar_0_1[0]      1.46      1.52      1.42     -0.86      4.05    649.34      1.00
 alpha_tar_0_1[1]     -0.82      1.11     -0.74     -2.56      1.04    733.85      1.00
 alpha_tar_0_1[2]      0.05      0.88      0.10     -1.38      1.49   1171.05      1.00
 alpha_tar_0_1[3]      0.89      0.66      0.92     -0.22      1.89   1135.21      1.00
 alpha_tar_0_1[4]      0.03      0.54      0.01     -0.93      0.83   1388.77      1.00
 alpha_tar_0_1[5]     -1.38      0.44     -1.37     -1.98     -0.55    786.48      1.00
 alpha_tar_0_1[6]     -0.77      0.36     -0.76     -1.32     -0.17    959.34      1.00
 alpha_tar_0_1[7]     -1.13      0.35     -1.11     -1.83     -0.62    993.98      1.00
 alpha_tar_0_1[8]     -0.42      0.29     -0.42     -0.91      0.04    468.31      1.01
 alpha_tar_0_1[9]      0.99      0.27      0.96      0.58      1.42    776.34      1.00
alpha_tar_0_1[10]     -0.25      0.21     -0.26     -0.54      0.13    945.83      1.00
alpha_tar_0_1[11]      0.16      0.20      0.15     -0.16      0.49    760.13      1.00
            eta_0      0.10      0.00      0.10      0.10      0.10   1281.20      1.00
       psi_ntar_0      0.06      0.02      0.06      0.03      0.09    423.56      1.00
        psi_tar_0      0.42      0.07      0.42      0.29      0.51    262.28      1.00
            rho_0      0.85      0.00      0.85      0.85      0.85    352.65      1.00
        sigma_0_0      2.36      0.02      2.36      2.33      2.39    325.62      1.00
        sigma_0_1      2.73      0.02      2.72      2.69      2.76    400.84      1.00

Number of divergences: 0
