
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
alpha_ntar_0_0[0]     -2.19      3.14     -2.12     -7.47      2.64   1074.07      1.00
alpha_ntar_0_0[1]     -0.16      2.24     -0.14     -3.83      3.41    938.69      1.00
alpha_ntar_0_0[2]     -0.19      1.68     -0.25     -3.02      2.34    936.21      1.00
alpha_ntar_0_0[3]     -0.50      1.08     -0.49     -2.16      1.26    898.22      1.00
alpha_ntar_0_0[4]     -0.15      0.88     -0.15     -1.42      1.34    739.32      1.00
alpha_ntar_0_0[5]     -0.15      0.65     -0.17     -1.24      0.85    952.77      1.00
alpha_ntar_0_0[6]     -0.18      0.57     -0.17     -1.16      0.65   1011.79      1.00
alpha_ntar_0_0[7]      0.11      0.49      0.09     -0.72      0.87   1230.30      1.00
alpha_ntar_0_0[8]      0.12      0.42      0.11     -0.48      0.91   1194.95      1.00
alpha_ntar_0_1[0]     -1.54      2.22     -1.54     -5.17      1.76    609.77      1.01
alpha_ntar_0_1[1]      0.57      1.85      0.50     -1.94      4.13    696.94      1.00
alpha_ntar_0_1[2]     -0.62      1.22     -0.58     -2.85      1.30    834.81      1.00
alpha_ntar_0_1[3]      0.12      0.92      0.11     -1.55      1.44    900.08      1.00
alpha_ntar_0_1[4]      0.76      0.78      0.77     -0.37      2.12    637.75      1.00
alpha_ntar_0_1[5]      0.24      0.58      0.27     -0.67      1.18    654.08      1.00
alpha_ntar_0_1[6]     -0.17      0.43     -0.18     -0.87      0.50    641.74      1.00
alpha_ntar_0_1[7]      0.19      0.40      0.19     -0.45      0.88    713.91      1.00
alpha_ntar_0_1[8]     -0.18      0.34     -0.19     -0.74      0.38    745.53      1.00
 alpha_tar_0_0[0]     -2.04      2.51     -2.01     -6.15      2.19    653.61      1.00
 alpha_tar_0_0[1]      2.24      1.78      2.25     -0.40      5.27    760.07      1.00
 alpha_tar_0_0[2]     -0.62      1.54     -0.60     -3.10      1.92    983.64      1.00
 alpha_tar_0_0[3]     -0.52      1.11     -0.50     -2.41      1.31   1121.99      1.00
 alpha_tar_0_0[4]     -0.75      1.05     -0.70     -2.56      0.85    665.63      1.00
 alpha_tar_0_0[5]     -0.08      0.75     -0.10     -1.10      1.35   1235.55      1.00
 alpha_tar_0_0[6]      0.29      0.63      0.30     -0.62      1.39   1002.90      1.00
 alpha_tar_0_0[7]      0.41      0.58      0.44     -0.59      1.30    554.51      1.00
 alpha_tar_0_0[8]      0.47      0.57      0.47     -0.34      1.55   1384.34      1.00
 alpha_tar_0_0[9]     -0.14      0.43     -0.13     -0.92      0.45   1659.69      1.00
alpha_tar_0_0[10]      0.31      0.38      0.31     -0.30      0.93   1105.83      1.00
alpha_tar_0_0[11]     -0.19      0.35     -0.19     -0.83      0.32   1119.84      1.00
 alpha_tar_0_1[0]      0.95      1.75      0.85     -1.73      3.94    789.45      1.00
 alpha_tar_0_1[1]     -1.48      1.36     -1.42     -3.68      0.75   1087.19      1.00
 alpha_tar_0_1[2]      2.21      1.05      2.20      0.66      4.09    949.65      1.00
 alpha_tar_0_1[3]     -0.97      0.82     -0.94     -2.43      0.13    927.62      1.00
 alpha_tar_0_1[4]     -1.14      0.62     -1.13     -2.27     -0.25    523.71      1.00
 alpha_tar_0_1[5]      0.30      0.53      0.28     -0.56      1.17   1360.95      1.00
 alpha_tar_0_1[6]      1.19      0.46      1.16      0.38      1.87   1051.91      1.00
 alpha_tar_0_1[7]      0.27      0.36      0.26     -0.31      0.85    610.89      1.00
 alpha_tar_0_1[8]      0.03      0.33      0.02     -0.47      0.59    744.90      1.00
 alpha_tar_0_1[9]      0.14      0.32      0.13     -0.38      0.68    697.38      1.00
alpha_tar_0_1[10]      0.10      0.29      0.10     -0.34      0.60    628.22      1.00
alpha_tar_0_1[11]      0.26      0.25      0.26     -0.12      0.67   1093.90      1.00
            eta_0      0.10      0.00      0.10      0.10      0.10    437.90      1.01
       psi_ntar_0      0.08      0.03      0.07      0.03      0.13    221.61      1.00
        psi_tar_0      0.26      0.07      0.25      0.15      0.37    269.51      1.00
            rho_0      0.85      0.00      0.85      0.84      0.85    393.83      1.00
        sigma_0_0      5.04      0.04      5.04      4.98      5.12    387.37      1.00
        sigma_0_1      2.23      0.02      2.23      2.20      2.26    372.20      1.00

Number of divergences: 0
