
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
alpha_ntar_0_0[0]      0.33      2.53      0.19     -3.56      4.41    639.78      1.00
alpha_ntar_0_0[1]      1.42      1.91      1.34     -1.81      4.22    894.50      1.00
alpha_ntar_0_0[2]      0.69      1.30      0.72     -1.41      2.66    708.89      1.00
alpha_ntar_0_0[3]     -0.39      0.93     -0.44     -1.74      1.39    602.22      1.00
alpha_ntar_0_0[4]     -0.50      0.77     -0.53     -1.94      0.62    567.10      1.00
alpha_ntar_0_0[5]      0.06      0.60      0.07     -0.85      1.18    565.93      1.00
alpha_ntar_0_0[6]      0.08      0.47      0.10     -0.67      0.82    599.37      1.00
alpha_ntar_0_0[7]     -0.08      0.50     -0.08     -0.95      0.68    598.39      1.00
alpha_ntar_0_0[8]      0.19      0.37      0.20     -0.36      0.79    811.13      1.00
alpha_ntar_0_1[0]     -0.51      2.56     -0.57     -3.97      4.17    639.98      1.00
alpha_ntar_0_1[1]     -0.45      1.92     -0.42     -3.27      2.94    608.72      1.00
alpha_ntar_0_1[2]      0.42      1.41      0.46     -1.83      2.89    659.62      1.00
alpha_ntar_0_1[3]      0.14      1.05      0.09     -1.49      1.90    609.04      1.00
alpha_ntar_0_1[4]      0.48      0.82      0.48     -0.97      1.63    695.84      1.00
alpha_ntar_0_1[5]     -0.91      0.65     -0.92     -2.08      0.02    528.61      1.00
alpha_ntar_0_1[6]     -0.11      0.50     -0.12     -0.93      0.69    597.47      1.00
alpha_ntar_0_1[7]     -0.12      0.47     -0.12     -0.80      0.70    977.95      1.00
alpha_ntar_0_1[8]      0.10      0.37      0.10     -0.45      0.73   1004.38      1.00
 alpha_tar_0_0[0]     -0.19      0.99     -0.13     -1.77      1.39   1130.91      1.00
 alpha_tar_0_0[1]      0.20      0.89      0.18     -1.26      1.49    729.87      1.00
 alpha_tar_0_0[2]     -0.60      0.61     -0.61     -1.63      0.41    882.78      1.00
 alpha_tar_0_0[3]     -2.20      0.54     -2.16     -3.15     -1.40    356.81      1.00
 alpha_tar_0_0[4]     -2.00      0.43     -1.98     -2.69     -1.29    252.18      1.00
 alpha_tar_0_0[5]     -0.09      0.27     -0.07     -0.57      0.34    959.46      1.00
 alpha_tar_0_0[6]      1.70      0.35      1.67      1.20      2.32    238.38      1.01
 alpha_tar_0_0[7]      1.39      0.29      1.35      0.93      1.86    320.16      1.00
 alpha_tar_0_0[8]      0.35      0.20      0.34     -0.00      0.63    607.20      1.00
 alpha_tar_0_0[9]      0.06      0.16      0.06     -0.23      0.30    513.56      1.00
alpha_tar_0_0[10]      0.32      0.17      0.32      0.02      0.59    520.08      1.00
alpha_tar_0_0[11]     -0.34      0.16     -0.34     -0.58     -0.09    532.10      1.00
 alpha_tar_0_1[0]      1.04      1.18      0.99     -0.91      2.77    658.91      1.00
 alpha_tar_0_1[1]      0.80      0.98      0.77     -0.92      2.32    645.15      1.00
 alpha_tar_0_1[2]      2.54      0.73      2.50      1.24      3.60    215.55      1.00
 alpha_tar_0_1[3]      0.04      0.50      0.03     -0.79      0.79    800.12      1.00
 alpha_tar_0_1[4]      0.16      0.42      0.15     -0.53      0.81    674.58      1.00
 alpha_tar_0_1[5]     -0.31      0.36     -0.32     -0.82      0.32    756.49      1.00
 alpha_tar_0_1[6]     -0.42      0.28     -0.41     -0.87      0.02    634.12      1.00
 alpha_tar_0_1[7]     -0.78      0.24     -0.77     -1.17     -0.40    355.26      1.00
 alpha_tar_0_1[8]     -0.00      0.19     -0.00     -0.29      0.30    666.40      1.00
 alpha_tar_0_1[9]      0.31      0.20      0.29     -0.00      0.63    476.19      1.00
alpha_tar_0_1[10]     -0.19      0.18     -0.18     -0.48      0.12    473.42      1.00
alpha_tar_0_1[11]     -0.11      0.17     -0.11     -0.35      0.15   1125.55      1.00
            eta_0      0.10      0.00      0.10      0.10      0.10    557.21      1.00
       psi_ntar_0      0.06      0.02      0.06      0.02      0.10    226.13      1.01
        psi_tar_0      0.43      0.07      0.43      0.32      0.53    153.00      1.00
            rho_0      0.85      0.00      0.85      0.85      0.86    333.66      1.00
        sigma_0_0      1.92      0.02      1.92      1.89      1.95    378.63      1.00
        sigma_0_1      2.15      0.02      2.15      2.13      2.18    358.68      1.00

Number of divergences: 0
