
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
alpha_ntar_0_0[0]     -0.23      2.51     -0.23     -4.00      3.96    862.27      1.00
alpha_ntar_0_0[1]      1.96      1.91      2.00     -1.26      4.96    819.30      1.00
alpha_ntar_0_0[2]      0.61      1.32      0.57     -1.59      2.71    713.90      1.00
alpha_ntar_0_0[3]     -0.15      1.00     -0.14     -1.88      1.45    938.39      1.00
alpha_ntar_0_0[4]     -0.02      0.67     -0.04     -1.00      1.13   1015.19      1.00
alpha_ntar_0_0[5]     -0.16      0.54     -0.18     -1.05      0.64   1252.68      1.00
alpha_ntar_0_0[6]     -0.60      0.57     -0.64     -1.50      0.37   1009.00      1.00
alpha_ntar_0_0[7]      0.18      0.45      0.17     -0.61      0.81    745.23      1.00
alpha_ntar_0_0[8]      0.01      0.37      0.00     -0.49      0.70    655.70      1.00
alpha_ntar_0_1[0]     -0.40      2.73     -0.33     -4.95      3.57    934.83      1.00
alpha_ntar_0_1[1]     -0.97      2.00     -1.02     -4.16      2.33    806.58      1.00
alpha_ntar_0_1[2]      1.33      1.36      1.26     -0.83      3.44    657.76      1.00
alpha_ntar_0_1[3]      0.77      1.00      0.74     -0.95      2.36    825.27      1.00
alpha_ntar_0_1[4]      0.06      0.78      0.04     -1.07      1.48    769.66      1.00
alpha_ntar_0_1[5]      0.74      0.68      0.78     -0.38      1.77    575.85      1.00
alpha_ntar_0_1[6]      0.12      0.56      0.13     -0.73      1.11    919.40      1.00
alpha_ntar_0_1[7]      0.02      0.45      0.02     -0.62      0.85    732.00      1.00
alpha_ntar_0_1[8]     -0.00      0.41     -0.02     -0.64      0.73    796.64      1.00
 alpha_tar_0_0[0]     -2.31      1.64     -2.31     -5.09      0.01   2402.22      1.00
 alpha_tar_0_0[1]      1.10      1.33      1.14     -1.02      3.14   1010.75      1.00
 alpha_tar_0_0[2]     -1.43      0.89     -1.40     -3.00     -0.12    749.41      1.00
 alpha_tar_0_0[3]      0.61      0.70      0.60     -0.53      1.75   1174.84      1.00
 alpha_tar_0_0[4]      1.30      0.58      1.28      0.39      2.37    797.39      1.00
 alpha_tar_0_0[5]     -0.82      0.45     -0.80     -1.45      0.06   2094.69      1.00
 alpha_tar_0_0[6]     -0.79      0.40     -0.79     -1.38     -0.07    946.38      1.00
 alpha_tar_0_0[7]     -0.37      0.34     -0.35     -0.94      0.19    873.09      1.00
 alpha_tar_0_0[8]      0.35      0.30      0.34     -0.12      0.83    751.02      1.00
 alpha_tar_0_0[9]     -0.43      0.31     -0.43     -0.87      0.16    441.34      1.00
alpha_tar_0_0[10]      0.08      0.25      0.09     -0.32      0.48   1173.82      1.00
alpha_tar_0_0[11]      0.19      0.24      0.19     -0.18      0.56    972.68      1.00
 alpha_tar_0_1[0]      0.62      1.79      0.64     -2.37      3.55    818.67      1.00
 alpha_tar_0_1[1]      1.28      1.41      1.21     -0.79      3.58   1065.71      1.00
 alpha_tar_0_1[2]      1.91      1.02      1.91      0.08      3.42   1093.87      1.00
 alpha_tar_0_1[3]      0.45      0.80      0.42     -0.72      1.79    835.78      1.00
 alpha_tar_0_1[4]      1.54      0.57      1.51      0.55      2.37   1077.04      1.00
 alpha_tar_0_1[5]      0.91      0.49      0.89      0.02      1.62    782.29      1.00
 alpha_tar_0_1[6]     -0.50      0.43     -0.51     -1.20      0.19   1291.83      1.00
 alpha_tar_0_1[7]     -1.24      0.39     -1.23     -1.88     -0.66    532.41      1.00
 alpha_tar_0_1[8]     -0.72      0.33     -0.72     -1.27     -0.22    753.75      1.00
 alpha_tar_0_1[9]      0.09      0.31      0.08     -0.45      0.57    855.91      1.00
alpha_tar_0_1[10]     -0.25      0.28     -0.23     -0.65      0.28    673.71      1.00
alpha_tar_0_1[11]      0.11      0.26      0.11     -0.33      0.53    818.62      1.00
            eta_0      0.10      0.00      0.10      0.10      0.10    834.20      1.00
       psi_ntar_0      0.06      0.02      0.06      0.03      0.10    261.63      1.00
        psi_tar_0      0.27      0.05      0.26      0.17      0.34    213.75      1.00
            rho_0      0.85      0.00      0.85      0.85      0.85    473.07      1.00
        sigma_0_0      2.00      0.02      2.00      1.98      2.03    477.39      1.00
        sigma_0_1      2.30      0.02      2.30      2.27      2.33    565.88      1.00

Number of divergences: 0
