
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
alpha_ntar_0_0[0]      0.82      2.25      0.69     -3.02      4.33    706.16      1.00
alpha_ntar_0_0[1]      2.27      1.90      2.35     -0.78      5.27    671.21      1.00
alpha_ntar_0_0[2]      0.44      1.26      0.37     -1.80      2.44    686.39      1.00
alpha_ntar_0_0[3]     -1.62      1.00     -1.61     -3.36     -0.17    837.23      1.00
alpha_ntar_0_0[4]     -0.31      0.70     -0.34     -1.48      0.69    684.58      1.00
alpha_ntar_0_0[5]      0.23      0.56      0.22     -0.73      1.16    342.35      1.01
alpha_ntar_0_0[6]      0.01      0.48      0.02     -0.76      0.84    720.47      1.00
alpha_ntar_0_0[7]      0.11      0.47      0.11     -0.62      0.83    653.87      1.00
alpha_ntar_0_0[8]      0.05      0.36      0.06     -0.60      0.58    393.20      1.00
alpha_ntar_0_1[0]      0.18      2.52      0.35     -3.84      4.39    780.51      1.00
alpha_ntar_0_1[1]     -0.03      2.02     -0.01     -3.01      3.84    841.68      1.00
alpha_ntar_0_1[2]      0.02      1.46      0.03     -2.25      2.57    671.06      1.00
alpha_ntar_0_1[3]      0.10      1.01      0.15     -1.35      1.87    665.90      1.00
alpha_ntar_0_1[4]     -0.07      0.80     -0.09     -1.39      1.12    598.57      1.00
alpha_ntar_0_1[5]     -0.53      0.66     -0.54     -1.75      0.33    390.99      1.00
alpha_ntar_0_1[6]      0.22      0.50      0.21     -0.61      1.00   1000.94      1.00
alpha_ntar_0_1[7]     -0.09      0.46     -0.09     -0.79      0.67    957.52      1.00
alpha_ntar_0_1[8]     -0.11      0.36     -0.11     -0.78      0.39    764.16      1.00
 alpha_tar_0_0[0]     -0.54      1.70     -0.53     -3.30      2.19    748.79      1.00
 alpha_tar_0_0[1]     -0.89      1.42     -0.87     -3.01      1.63    565.23      1.00
 alpha_tar_0_0[2]     -1.05      1.05     -1.03     -2.83      0.58   1343.25      1.00
 alpha_tar_0_0[3]     -1.00      0.72     -0.99     -2.19      0.15    524.37      1.00
 alpha_tar_0_0[4]     -1.41      0.65     -1.38     -2.39     -0.27    564.43      1.00
 alpha_tar_0_0[5]      0.00      0.50     -0.01     -0.78      0.82    824.25      1.00
 alpha_tar_0_0[6]      1.34      0.45      1.32      0.56      2.00    460.55      1.00
 alpha_tar_0_0[7]      1.06      0.40      1.06      0.48      1.72    922.52      1.00
 alpha_tar_0_0[8]      0.41      0.34      0.42     -0.10      1.01    818.41      1.00
 alpha_tar_0_0[9]     -0.53      0.29     -0.52     -1.00     -0.07    527.32      1.00
alpha_tar_0_0[10]      0.27      0.28      0.27     -0.18      0.68    651.38      1.00
alpha_tar_0_0[11]     -0.22      0.24     -0.22     -0.61      0.17    682.13      1.00
 alpha_tar_0_1[0]      1.73      1.81      1.69     -1.26      4.51    832.07      1.00
 alpha_tar_0_1[1]     -1.68      1.52     -1.65     -4.20      0.82    657.36      1.00
 alpha_tar_0_1[2]      1.98      1.17      1.97      0.23      4.10    491.56      1.00
 alpha_tar_0_1[3]      0.29      0.86      0.28     -1.17      1.61    657.19      1.00
 alpha_tar_0_1[4]      0.96      0.73      0.94     -0.34      2.10    681.91      1.00
 alpha_tar_0_1[5]     -0.73      0.59     -0.73     -1.70      0.16    759.29      1.00
 alpha_tar_0_1[6]     -0.23      0.44     -0.24     -0.97      0.42    656.99      1.00
 alpha_tar_0_1[7]     -0.64      0.38     -0.64     -1.26      0.03    705.01      1.00
 alpha_tar_0_1[8]      0.11      0.35      0.11     -0.48      0.68   1340.61      1.00
 alpha_tar_0_1[9]      0.35      0.35      0.34     -0.27      0.88    965.95      1.00
alpha_tar_0_1[10]     -0.08      0.30     -0.07     -0.51      0.42    548.40      1.00
alpha_tar_0_1[11]     -0.16      0.28     -0.14     -0.61      0.24   1852.25      1.00
            eta_0      0.10      0.00      0.10      0.10      0.10    398.22      1.00
       psi_ntar_0      0.13      0.05      0.12      0.04      0.20    362.23      1.00
        psi_tar_0      0.49      0.11      0.47      0.33      0.66    148.72      1.00
            rho_0      0.86      0.00      0.86      0.85      0.86    424.00      1.01
        sigma_0_0      1.91      0.03      1.91      1.87      1.97    482.40      1.00
        sigma_0_1      2.18      0.04      2.18      2.12      2.24    535.48      1.00

Number of divergences: 0
