
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
alpha_ntar_0_0[0]      0.21      2.47      0.23     -3.11      4.89    692.22      1.00
alpha_ntar_0_0[1]     -0.85      1.86     -0.85     -4.10      2.19    907.60      1.00
alpha_ntar_0_0[2]     -0.28      1.31     -0.22     -2.73      1.44    647.37      1.00
alpha_ntar_0_0[3]     -0.85      1.06     -0.93     -2.58      0.73    934.13      1.00
alpha_ntar_0_0[4]     -0.24      0.75     -0.24     -1.27      1.12    705.95      1.00
alpha_ntar_0_0[5]      0.05      0.66      0.04     -1.08      1.11    787.19      1.00
alpha_ntar_0_0[6]      0.10      0.53      0.13     -0.74      0.95   1475.82      1.00
alpha_ntar_0_0[7]     -0.11      0.44     -0.07     -0.94      0.50    665.77      1.00
alpha_ntar_0_0[8]     -0.16      0.40     -0.16     -0.79      0.45    819.27      1.00
alpha_ntar_0_1[0]     -0.49      2.76     -0.49     -5.49      3.47    520.90      1.00
alpha_ntar_0_1[1]     -0.71      2.07     -0.65     -3.85      2.88    487.95      1.00
alpha_ntar_0_1[2]      0.02      1.42      0.00     -2.15      2.12    925.73      1.00
alpha_ntar_0_1[3]     -0.18      1.05     -0.17     -2.11      1.30    699.51      1.00
alpha_ntar_0_1[4]      0.40      0.90      0.39     -0.96      1.82    736.12      1.00
alpha_ntar_0_1[5]      0.05      0.72      0.05     -1.18      1.16   1156.37      1.00
alpha_ntar_0_1[6]     -0.01      0.56     -0.01     -0.96      0.88    548.25      1.00
alpha_ntar_0_1[7]      0.49      0.48      0.51     -0.23      1.28    467.91      1.00
alpha_ntar_0_1[8]      0.28      0.40      0.29     -0.43      0.86    759.53      1.00
 alpha_tar_0_0[0]      1.33      2.27      1.36     -2.48      5.02    857.18      1.00
 alpha_tar_0_0[1]      1.14      1.64      1.16     -1.35      4.18    873.01      1.00
 alpha_tar_0_0[2]     -0.92      1.35     -0.84     -3.00      1.41   1053.79      1.00
 alpha_tar_0_0[3]     -1.12      0.92     -1.10     -2.64      0.44    860.19      1.00
 alpha_tar_0_0[4]     -0.08      0.75     -0.07     -1.23      1.13   1214.69      1.00
 alpha_tar_0_0[5]     -0.52      0.64     -0.54     -1.42      0.54   1268.66      1.00
 alpha_tar_0_0[6]      0.32      0.55      0.30     -0.69      1.10    695.11      1.00
 alpha_tar_0_0[7]      0.95      0.43      0.95      0.27      1.60    925.88      1.00
 alpha_tar_0_0[8]     -0.01      0.38      0.01     -0.65      0.61    937.12      1.00
 alpha_tar_0_0[9]     -0.71      0.36     -0.71     -1.28     -0.16   1044.76      1.00
alpha_tar_0_0[10]      0.14      0.31      0.15     -0.37      0.63   1085.84      1.00
alpha_tar_0_0[11]     -0.23      0.29     -0.23     -0.71      0.20    941.75      1.00
 alpha_tar_0_1[0]      0.28      2.03      0.25     -3.14      3.33    951.35      1.00
 alpha_tar_0_1[1]     -2.50      1.63     -2.57     -4.98      0.07   1010.66      1.00
 alpha_tar_0_1[2]     -1.76      1.12     -1.82     -3.48      0.07    735.30      1.00
 alpha_tar_0_1[3]      1.26      1.00      1.31     -0.32      2.81   1166.55      1.00
 alpha_tar_0_1[4]     -1.13      0.81     -1.12     -2.52      0.20    661.14      1.00
 alpha_tar_0_1[5]     -0.42      0.58     -0.37     -1.51      0.39   1155.27      1.00
 alpha_tar_0_1[6]      0.03      0.57      0.06     -0.91      0.88    967.26      1.00
 alpha_tar_0_1[7]      0.50      0.41      0.49     -0.23      1.14    914.38      1.00
 alpha_tar_0_1[8]      0.05      0.42      0.04     -0.63      0.73    942.77      1.00
 alpha_tar_0_1[9]      0.15      0.36      0.18     -0.44      0.68    931.51      1.00
alpha_tar_0_1[10]      0.12      0.34      0.12     -0.41      0.69    955.87      1.00
alpha_tar_0_1[11]      0.03      0.32      0.05     -0.44      0.60    953.72      1.00
            eta_0      0.10      0.00      0.10      0.10      0.10    804.45      1.00
       psi_ntar_0      0.05      0.02      0.05      0.02      0.08    280.32      1.00
        psi_tar_0      0.17      0.05      0.16      0.10      0.25    205.69      1.00
            rho_0      0.85      0.00      0.85      0.85      0.85    376.37      1.00
        sigma_0_0      1.91      0.01      1.91      1.88      1.93    398.13      1.00
        sigma_0_1      2.11      0.02      2.11      2.08      2.13    370.59      1.00

Number of divergences: 0
