
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
alpha_ntar_0_0[0]      2.04      2.20      1.82     -1.27      5.40    349.55      1.00
alpha_ntar_0_0[1]      2.20      1.58      2.15     -0.31      4.68    847.40      1.00
alpha_ntar_0_0[2]      0.45      1.05      0.48     -1.07      2.31    626.78      1.00
alpha_ntar_0_0[3]     -0.59      0.84     -0.61     -2.03      0.64    670.82      1.00
alpha_ntar_0_0[4]     -0.67      0.72     -0.66     -1.82      0.56    715.08      1.00
alpha_ntar_0_0[5]      0.71      0.43      0.70      0.05      1.40    848.61      1.00
alpha_ntar_0_0[6]     -0.00      0.40     -0.00     -0.63      0.65   1031.11      1.00
alpha_ntar_0_0[7]     -0.29      0.38     -0.30     -0.83      0.37    662.24      1.00
alpha_ntar_0_0[8]      0.57      0.31      0.56      0.07      1.07    667.32      1.00
alpha_ntar_0_1[0]      0.50      2.28      0.43     -3.23      4.30    588.82      1.00
alpha_ntar_0_1[1]     -0.39      1.83     -0.32     -3.49      2.50    850.39      1.00
alpha_ntar_0_1[2]      0.16      1.14      0.14     -1.81      2.07    734.83      1.00
alpha_ntar_0_1[3]     -0.15      0.89     -0.15     -1.34      1.51    936.85      1.00
alpha_ntar_0_1[4]     -0.07      0.69     -0.07     -1.17      1.06   1084.07      1.00
alpha_ntar_0_1[5]      0.50      0.53      0.50     -0.26      1.48   1125.53      1.00
alpha_ntar_0_1[6]     -0.62      0.45     -0.65     -1.35      0.04    734.07      1.00
alpha_ntar_0_1[7]      0.14      0.40      0.16     -0.53      0.72    737.46      1.00
alpha_ntar_0_1[8]      0.17      0.35      0.17     -0.34      0.74    961.97      1.00
 alpha_tar_0_0[0]      2.19      1.82      2.17     -0.76      5.23    648.76      1.00
 alpha_tar_0_0[1]     -1.80      1.52     -1.80     -4.19      0.63    944.56      1.00
 alpha_tar_0_0[2]      0.92      1.08      0.95     -0.67      2.71    704.70      1.00
 alpha_tar_0_0[3]     -0.79      0.91     -0.76     -2.36      0.60    552.20      1.00
 alpha_tar_0_0[4]     -0.44      0.81     -0.47     -1.63      0.92   1037.81      1.00
 alpha_tar_0_0[5]      0.80      0.54      0.79     -0.09      1.64    663.54      1.00
 alpha_tar_0_0[6]     -0.47      0.44     -0.47     -1.12      0.35    658.74      1.00
 alpha_tar_0_0[7]      0.49      0.44      0.48     -0.26      1.24    892.83      1.00
 alpha_tar_0_0[8]      0.37      0.36      0.35     -0.23      0.89    922.32      1.00
 alpha_tar_0_0[9]      0.19      0.34      0.21     -0.38      0.69    974.31      1.00
alpha_tar_0_0[10]      0.29      0.30      0.29     -0.14      0.81    643.15      1.00
alpha_tar_0_0[11]     -0.29      0.26     -0.29     -0.72      0.11   1130.13      1.00
 alpha_tar_0_1[0]      1.07      1.84      1.00     -1.49      4.33    612.11      1.00
 alpha_tar_0_1[1]      1.04      1.75      1.06     -1.76      3.88    987.88      1.00
 alpha_tar_0_1[2]     -0.86      1.21     -0.84     -2.64      0.90    860.49      1.00
 alpha_tar_0_1[3]      0.53      1.00      0.54     -0.93      2.30    924.32      1.00
 alpha_tar_0_1[4]      1.08      0.78      1.05     -0.04      2.49    749.77      1.00
 alpha_tar_0_1[5]      0.13      0.58      0.13     -0.84      1.02    891.32      1.00
 alpha_tar_0_1[6]     -0.42      0.54     -0.41     -1.30      0.45    957.00      1.00
 alpha_tar_0_1[7]     -1.31      0.45     -1.32     -2.06     -0.59    959.61      1.00
 alpha_tar_0_1[8]     -0.35      0.41     -0.35     -1.00      0.26   1151.17      1.00
 alpha_tar_0_1[9]     -0.11      0.35     -0.10     -0.68      0.55   1281.57      1.00
alpha_tar_0_1[10]     -0.04      0.30     -0.04     -0.52      0.42    696.84      1.00
alpha_tar_0_1[11]      0.56      0.30      0.56      0.08      1.08   1111.41      1.00
            eta_0      0.10      0.00      0.10      0.10      0.10    659.88      1.00
       psi_ntar_0      0.09      0.03      0.09      0.04      0.14    161.84      1.00
        psi_tar_0      0.19      0.04      0.19      0.11      0.26    191.77      1.00
            rho_0      0.85      0.00      0.85      0.85      0.85    477.14      1.00
        sigma_0_0      1.92      0.01      1.92      1.90      1.94    464.50      1.00
        sigma_0_1      2.20      0.02      2.20      2.17      2.23    468.70      1.00

Number of divergences: 0
