
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
alpha_ntar_0_0[0]      1.73      2.40      1.57     -1.77      5.89    961.79      1.00
alpha_ntar_0_0[1]      2.02      1.78      2.04     -0.68      5.11   1140.11      1.00
alpha_ntar_0_0[2]      0.55      1.30      0.51     -1.26      3.03   1250.70      1.00
alpha_ntar_0_0[3]     -0.74      0.95     -0.70     -2.37      0.70   1000.66      1.00
alpha_ntar_0_0[4]     -0.41      0.76     -0.40     -1.48      0.85   1402.13      1.00
alpha_ntar_0_0[5]      0.02      0.57     -0.01     -0.85      0.93    620.16      1.01
alpha_ntar_0_0[6]     -0.12      0.51     -0.10     -0.87      0.78   1089.45      1.00
alpha_ntar_0_0[7]      0.05      0.48      0.07     -0.77      0.72    742.87      1.00
alpha_ntar_0_0[8]      0.35      0.37      0.35     -0.32      0.88    578.79      1.00
alpha_ntar_0_1[0]     -0.32      2.62     -0.35     -4.05      3.97   1084.24      1.00
alpha_ntar_0_1[1]      0.99      2.00      1.11     -2.38      4.08    988.82      1.00
alpha_ntar_0_1[2]     -0.12      1.42     -0.12     -2.20      2.47    831.70      1.00
alpha_ntar_0_1[3]      0.00      0.99      0.01     -1.81      1.51    911.73      1.00
alpha_ntar_0_1[4]      0.02      0.83      0.01     -1.18      1.31    885.30      1.00
alpha_ntar_0_1[5]     -0.59      0.63     -0.63     -1.59      0.49    558.28      1.00
alpha_ntar_0_1[6]      0.23      0.52      0.25     -0.59      1.12   1622.52      1.00
alpha_ntar_0_1[7]     -0.13      0.45     -0.12     -0.83      0.61   1264.86      1.00
alpha_ntar_0_1[8]      0.11      0.36      0.12     -0.41      0.72    609.73      1.00
 alpha_tar_0_0[0]     -0.35      1.61     -0.23     -3.19      1.98    832.06      1.00
 alpha_tar_0_0[1]      0.60      1.33      0.61     -1.47      2.79    982.02      1.00
 alpha_tar_0_0[2]     -0.88      0.97     -0.87     -2.38      0.75   1135.15      1.00
 alpha_tar_0_0[3]     -1.30      0.70     -1.29     -2.54     -0.32    764.11      1.00
 alpha_tar_0_0[4]     -1.94      0.60     -1.90     -2.79     -0.84    744.59      1.00
 alpha_tar_0_0[5]      0.24      0.41      0.25     -0.40      0.92    707.07      1.00
 alpha_tar_0_0[6]      1.48      0.42      1.46      0.94      2.24    487.61      1.00
 alpha_tar_0_0[7]      1.03      0.36      1.02      0.51      1.62   1010.15      1.00
 alpha_tar_0_0[8]      0.54      0.32      0.52     -0.01      1.04    813.52      1.00
 alpha_tar_0_0[9]     -0.21      0.27     -0.20     -0.67      0.22    978.11      1.00
alpha_tar_0_0[10]      0.27      0.24      0.26     -0.12      0.64    666.29      1.00
alpha_tar_0_0[11]     -0.12      0.23     -0.10     -0.48      0.22    731.10      1.00
 alpha_tar_0_1[0]      0.96      1.75      0.87     -1.71      3.95    985.47      1.00
 alpha_tar_0_1[1]      0.55      1.31      0.52     -1.69      2.57    893.14      1.00
 alpha_tar_0_1[2]      2.53      1.04      2.49      0.88      4.20    552.88      1.00
 alpha_tar_0_1[3]      0.06      0.80      0.06     -1.19      1.26    671.78      1.00
 alpha_tar_0_1[4]      0.85      0.63      0.86     -0.07      1.93    698.81      1.00
 alpha_tar_0_1[5]     -0.80      0.51     -0.81     -1.49      0.11    832.20      1.00
 alpha_tar_0_1[6]     -0.56      0.41     -0.56     -1.13      0.11    683.50      1.00
 alpha_tar_0_1[7]     -0.46      0.36     -0.46     -1.02      0.11    814.72      1.00
 alpha_tar_0_1[8]     -0.18      0.30     -0.17     -0.69      0.27   1301.25      1.00
 alpha_tar_0_1[9]      0.19      0.29      0.19     -0.27      0.70    747.70      1.00
alpha_tar_0_1[10]     -0.25      0.28     -0.26     -0.63      0.26   1161.48      1.00
alpha_tar_0_1[11]     -0.14      0.24     -0.12     -0.51      0.18   1210.63      1.00
            eta_0      0.10      0.00      0.10      0.10      0.10    691.50      1.00
       psi_ntar_0      0.09      0.04      0.09      0.03      0.15    393.44      1.00
        psi_tar_0      0.40      0.08      0.39      0.29      0.54    200.95      1.00
            rho_0      0.85      0.00      0.85      0.85      0.86    474.20      1.01
        sigma_0_0      1.93      0.02      1.93      1.89      1.97    405.48      1.02
        sigma_0_1      2.17      0.03      2.17      2.13      2.22    476.22      1.00

Number of divergences: 0
