
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
alpha_ntar_0_0[0]     -0.29      2.60     -0.19     -4.46      4.42    799.15      1.00
alpha_ntar_0_0[1]     -0.40      1.90     -0.42     -2.99      2.98    825.28      1.00
alpha_ntar_0_0[2]     -0.55      1.27     -0.62     -2.70      1.35    739.34      1.00
alpha_ntar_0_0[3]     -0.89      1.04     -0.95     -2.57      0.85    856.77      1.00
alpha_ntar_0_0[4]     -0.29      0.77     -0.27     -1.55      0.79   2407.39      1.00
alpha_ntar_0_0[5]     -0.07      0.64     -0.07     -1.11      1.01    735.67      1.00
alpha_ntar_0_0[6]      0.23      0.48      0.27     -0.54      0.99    804.42      1.00
alpha_ntar_0_0[7]      0.00      0.46      0.01     -0.72      0.73    759.31      1.00
alpha_ntar_0_0[8]     -0.02      0.36     -0.01     -0.54      0.60    761.00      1.00
alpha_ntar_0_1[0]      1.21      2.85      1.38     -3.86      5.33    696.12      1.00
alpha_ntar_0_1[1]     -0.01      1.99      0.07     -3.43      3.02    594.02      1.00
alpha_ntar_0_1[2]      0.26      1.47      0.21     -2.00      2.90    863.55      1.00
alpha_ntar_0_1[3]     -0.75      1.07     -0.76     -2.65      0.88    857.62      1.00
alpha_ntar_0_1[4]      0.04      0.83      0.05     -1.40      1.27    609.57      1.00
alpha_ntar_0_1[5]      0.18      0.67      0.17     -0.91      1.21    883.60      1.00
alpha_ntar_0_1[6]      0.12      0.51      0.10     -0.65      0.97    990.31      1.00
alpha_ntar_0_1[7]     -0.22      0.45     -0.21     -0.98      0.47    654.94      1.00
alpha_ntar_0_1[8]      0.22      0.39      0.20     -0.36      0.89    883.34      1.00
 alpha_tar_0_0[0]      1.22      0.96      1.24     -0.45      2.66    671.66      1.00
 alpha_tar_0_0[1]      0.18      0.76      0.18     -1.08      1.33    632.75      1.00
 alpha_tar_0_0[2]      0.09      0.53      0.11     -0.73      0.93    792.62      1.00
 alpha_tar_0_0[3]     -1.77      0.49     -1.71     -2.53     -0.96    359.07      1.00
 alpha_tar_0_0[4]     -2.00      0.42     -1.96     -2.70     -1.30    211.54      1.00
 alpha_tar_0_0[5]     -0.05      0.27     -0.05     -0.49      0.37    657.41      1.00
 alpha_tar_0_0[6]      1.55      0.31      1.53      0.98      1.99    242.71      1.00
 alpha_tar_0_0[7]      1.50      0.28      1.47      1.06      1.97    203.77      1.00
 alpha_tar_0_0[8]      0.66      0.21      0.64      0.30      0.99    396.94      1.00
 alpha_tar_0_0[9]     -0.57      0.18     -0.55     -0.86     -0.27    454.79      1.00
alpha_tar_0_0[10]     -0.01      0.15     -0.01     -0.24      0.26    660.94      1.00
alpha_tar_0_0[11]     -0.03      0.15     -0.03     -0.28      0.21    609.37      1.00
 alpha_tar_0_1[0]      1.78      1.09      1.75     -0.08      3.37    600.92      1.00
 alpha_tar_0_1[1]     -2.08      0.87     -2.08     -3.43     -0.59    623.50      1.00
 alpha_tar_0_1[2]      1.58      0.62      1.54      0.56      2.47    369.19      1.00
 alpha_tar_0_1[3]     -0.65      0.49     -0.67     -1.46      0.07    773.25      1.00
 alpha_tar_0_1[4]      0.10      0.37      0.10     -0.58      0.55    717.35      1.00
 alpha_tar_0_1[5]      0.74      0.34      0.73      0.23      1.29    621.85      1.00
 alpha_tar_0_1[6]     -0.38      0.26     -0.38     -0.76      0.10    694.78      1.00
 alpha_tar_0_1[7]     -0.66      0.22     -0.65     -1.02     -0.31    293.36      1.00
 alpha_tar_0_1[8]     -0.08      0.20     -0.07     -0.41      0.22    861.37      1.00
 alpha_tar_0_1[9]     -0.01      0.18     -0.01     -0.32      0.26    986.53      1.00
alpha_tar_0_1[10]     -0.11      0.18     -0.12     -0.38      0.18    942.58      1.00
alpha_tar_0_1[11]      0.05      0.16      0.06     -0.21      0.29    589.78      1.00
            eta_0      0.10      0.00      0.10      0.10      0.10    391.68      1.00
       psi_ntar_0      0.05      0.02      0.05      0.02      0.08    354.90      1.00
        psi_tar_0      0.47      0.08      0.46      0.35      0.58    107.60      1.00
            rho_0      0.85      0.00      0.85      0.85      0.86    277.46      1.04
        sigma_0_0      1.93      0.02      1.93      1.90      1.95    230.24      1.04
        sigma_0_1      2.13      0.02      2.13      2.11      2.16    308.87      1.02

Number of divergences: 0
