
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
alpha_ntar_0_0[0]     -1.16      2.80     -1.38     -4.97      4.53    642.17      1.00
alpha_ntar_0_0[1]     -0.48      2.33     -0.41     -3.83      3.41    820.10      1.00
alpha_ntar_0_0[2]     -0.75      1.59     -0.82     -3.01      2.09    758.66      1.00
alpha_ntar_0_0[3]      0.40      1.02      0.41     -1.04      2.17    966.99      1.00
alpha_ntar_0_0[4]     -0.43      0.88     -0.43     -1.92      0.97   1197.05      1.00
alpha_ntar_0_0[5]     -0.28      0.75     -0.33     -1.47      0.93    863.21      1.00
alpha_ntar_0_0[6]     -0.07      0.52     -0.06     -0.86      0.82    853.05      1.00
alpha_ntar_0_0[7]      0.10      0.46      0.11     -0.72      0.84    665.34      1.00
alpha_ntar_0_0[8]      0.07      0.45      0.07     -0.63      0.86    800.10      1.00
alpha_ntar_0_1[0]      1.15      2.30      1.14     -2.44      5.14    943.89      1.00
alpha_ntar_0_1[1]      1.19      1.72      1.14     -1.76      3.95    488.82      1.00
alpha_ntar_0_1[2]      0.61      1.37      0.62     -1.60      2.79    551.32      1.00
alpha_ntar_0_1[3]      0.34      0.99      0.30     -1.05      1.85    452.64      1.00
alpha_ntar_0_1[4]      0.31      0.67      0.27     -0.63      1.49    627.32      1.00
alpha_ntar_0_1[5]      0.20      0.62      0.19     -0.78      1.18    608.64      1.00
alpha_ntar_0_1[6]     -0.15      0.50     -0.18     -0.92      0.64    640.39      1.00
alpha_ntar_0_1[7]     -0.33      0.48     -0.32     -1.17      0.38    604.37      1.00
alpha_ntar_0_1[8]     -0.23      0.37     -0.24     -0.79      0.38    716.48      1.00
 alpha_tar_0_0[0]     -1.13      1.68     -1.11     -4.37      1.20    741.10      1.00
 alpha_tar_0_0[1]      1.57      1.21      1.54     -0.35      3.57    708.32      1.00
 alpha_tar_0_0[2]     -0.74      1.01     -0.74     -2.35      0.90    850.57      1.00
 alpha_tar_0_0[3]     -2.19      0.82     -2.18     -3.56     -0.93    753.99      1.00
 alpha_tar_0_0[4]     -2.41      0.60     -2.42     -3.27     -1.32    480.12      1.00
 alpha_tar_0_0[5]     -0.03      0.51     -0.03     -0.88      0.78    686.84      1.00
 alpha_tar_0_0[6]      1.45      0.45      1.44      0.67      2.19    421.76      1.00
 alpha_tar_0_0[7]      1.39      0.38      1.40      0.78      2.01    626.94      1.00
 alpha_tar_0_0[8]      0.53      0.35      0.52      0.05      1.14    522.94      1.00
 alpha_tar_0_0[9]     -0.01      0.33     -0.00     -0.48      0.51    687.79      1.00
alpha_tar_0_0[10]      0.02      0.25      0.03     -0.39      0.42    598.17      1.00
alpha_tar_0_0[11]      0.10      0.26      0.10     -0.31      0.49    792.46      1.00
 alpha_tar_0_1[0]      0.04      0.95      0.04     -1.56      1.59    938.38      1.00
 alpha_tar_0_1[1]     -0.83      0.79     -0.75     -2.10      0.31    582.25      1.00
 alpha_tar_0_1[2]      0.90      0.61      0.89     -0.10      1.95    672.08      1.00
 alpha_tar_0_1[3]      0.23      0.44      0.24     -0.52      0.88    695.88      1.00
 alpha_tar_0_1[4]     -0.80      0.35     -0.78     -1.30     -0.16    395.97      1.00
 alpha_tar_0_1[5]      0.08      0.29      0.08     -0.42      0.48    652.01      1.00
 alpha_tar_0_1[6]      0.38      0.25      0.36      0.00      0.83    793.70      1.00
 alpha_tar_0_1[7]      0.28      0.21      0.28     -0.06      0.61    613.39      1.01
 alpha_tar_0_1[8]      0.20      0.19      0.19     -0.12      0.51    678.13      1.00
 alpha_tar_0_1[9]     -0.35      0.18     -0.34     -0.60     -0.04    533.52      1.00
alpha_tar_0_1[10]      0.19      0.16      0.20     -0.10      0.44    639.57      1.00
alpha_tar_0_1[11]     -0.10      0.15     -0.11     -0.34      0.11   1290.90      1.00
            eta_0      0.10      0.00      0.10      0.10      0.10    520.31      1.00
       psi_ntar_0      0.07      0.03      0.06      0.02      0.11    268.86      1.01
        psi_tar_0      0.48      0.10      0.48      0.34      0.65    117.58      1.00
            rho_0      0.85      0.00      0.85      0.84      0.85    390.72      1.00
        sigma_0_0      4.11      0.03      4.11      4.05      4.16    427.75      1.00
        sigma_0_1      1.96      0.02      1.96      1.94      1.99    370.68      1.00

Number of divergences: 0
