
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
alpha_ntar_0_0[0]     -0.14      2.45     -0.04     -3.96      3.69    725.58      1.00
alpha_ntar_0_0[1]      0.64      1.89      0.69     -2.68      3.36    709.77      1.00
alpha_ntar_0_0[2]      1.37      1.39      1.47     -0.79      3.79    825.37      1.00
alpha_ntar_0_0[3]     -1.10      0.99     -1.04     -2.72      0.44   1121.03      1.00
alpha_ntar_0_0[4]     -0.19      0.77     -0.18     -1.56      0.92   1184.52      1.00
alpha_ntar_0_0[5]      0.00      0.61      0.00     -0.89      1.09   1036.26      1.00
alpha_ntar_0_0[6]      0.14      0.49      0.14     -0.57      0.98   1365.44      1.00
alpha_ntar_0_0[7]     -0.22      0.40     -0.22     -0.88      0.42   1279.72      1.00
alpha_ntar_0_0[8]     -0.41      0.42     -0.43     -1.08      0.23    898.31      1.00
alpha_ntar_0_1[0]     -0.56      2.47     -0.42     -4.56      2.99   1366.90      1.00
alpha_ntar_0_1[1]     -1.21      2.04     -1.26     -4.17      2.31   1265.83      1.00
alpha_ntar_0_1[2]     -0.94      1.41     -0.95     -3.18      1.27   1044.44      1.00
alpha_ntar_0_1[3]     -0.30      0.93     -0.28     -2.00      1.09    551.79      1.00
alpha_ntar_0_1[4]     -0.42      0.82     -0.48     -1.61      0.93    561.27      1.00
alpha_ntar_0_1[5]      0.06      0.58      0.05     -0.85      1.07    847.54      1.00
alpha_ntar_0_1[6]      0.08      0.51      0.08     -0.66      0.96   1520.17      1.00
alpha_ntar_0_1[7]     -0.03      0.44     -0.02     -0.75      0.67    850.42      1.00
alpha_ntar_0_1[8]      0.32      0.39      0.32     -0.24      0.96   1426.81      1.00
 alpha_tar_0_0[0]     -1.20      2.02     -1.02     -4.57      1.88    956.42      1.00
 alpha_tar_0_0[1]      0.36      1.46      0.39     -1.99      2.51   1636.33      1.00
 alpha_tar_0_0[2]     -0.55      1.19     -0.51     -2.32      1.58    725.80      1.00
 alpha_tar_0_0[3]     -2.01      0.93     -2.01     -3.66     -0.63   1459.62      1.00
 alpha_tar_0_0[4]     -0.69      0.76     -0.69     -1.88      0.56    873.99      1.00
 alpha_tar_0_0[5]      0.65      0.62      0.68     -0.51      1.55   1585.05      1.00
 alpha_tar_0_0[6]      0.73      0.50      0.72      0.01      1.68    929.98      1.00
 alpha_tar_0_0[7]      1.16      0.44      1.14      0.43      1.85    612.95      1.00
 alpha_tar_0_0[8]      0.18      0.38      0.16     -0.40      0.85    845.78      1.00
 alpha_tar_0_0[9]     -0.24      0.40     -0.22     -0.95      0.31    874.05      1.00
alpha_tar_0_0[10]      0.04      0.31      0.05     -0.44      0.51    869.35      1.00
alpha_tar_0_0[11]     -0.08      0.30     -0.07     -0.53      0.43    713.22      1.00
 alpha_tar_0_1[0]     -0.52      2.07     -0.58     -3.60      2.70    899.48      1.00
 alpha_tar_0_1[1]     -0.59      1.69     -0.60     -3.31      2.13    901.20      1.00
 alpha_tar_0_1[2]      0.75      1.30      0.70     -1.34      2.94   1475.74      1.00
 alpha_tar_0_1[3]      0.41      0.88      0.45     -0.88      1.93    985.73      1.00
 alpha_tar_0_1[4]     -0.53      0.76     -0.51     -1.85      0.62    989.97      1.00
 alpha_tar_0_1[5]     -0.95      0.66     -0.94     -2.01      0.18   1175.50      1.00
 alpha_tar_0_1[6]     -0.86      0.54     -0.84     -1.76      0.02    698.07      1.00
 alpha_tar_0_1[7]      0.20      0.48      0.20     -0.66      0.89   1294.00      1.00
 alpha_tar_0_1[8]     -0.03      0.40     -0.03     -0.64      0.62   1325.76      1.00
 alpha_tar_0_1[9]      0.40      0.40      0.40     -0.19      1.05    783.72      1.00
alpha_tar_0_1[10]     -0.38      0.30     -0.38     -0.89      0.07    967.24      1.00
alpha_tar_0_1[11]      0.15      0.31      0.16     -0.41      0.60   1343.32      1.00
            eta_0      0.10      0.00      0.10      0.10      0.10    629.89      1.00
       psi_ntar_0      0.08      0.03      0.08      0.03      0.12    335.43      1.00
        psi_tar_0      0.23      0.06      0.23      0.14      0.33    158.70      1.00
            rho_0      0.85      0.00      0.85      0.85      0.86    297.96      1.00
        sigma_0_0      2.68      0.02      2.68      2.65      2.72    330.99      1.00
        sigma_0_1      2.73      0.02      2.73      2.70      2.77    273.71      1.00

Number of divergences: 0
