
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
alpha_ntar_0_0[0]      0.84      2.18      0.91     -2.68      4.37    742.10      1.00
alpha_ntar_0_0[1]     -0.04      1.76     -0.07     -3.25      2.27    676.74      1.00
alpha_ntar_0_0[2]     -0.70      1.25     -0.66     -2.78      1.24   1060.01      1.00
alpha_ntar_0_0[3]     -0.10      0.95     -0.11     -1.73      1.34    504.78      1.00
alpha_ntar_0_0[4]      0.01      0.72     -0.01     -1.19      1.06    715.18      1.00
alpha_ntar_0_0[5]      0.27      0.57      0.28     -0.67      1.20    682.08      1.00
alpha_ntar_0_0[6]      0.48      0.48      0.48     -0.25      1.33    931.27      1.00
alpha_ntar_0_0[7]      0.07      0.40      0.09     -0.51      0.78   1009.37      1.00
alpha_ntar_0_0[8]      0.29      0.32      0.29     -0.18      0.87    756.90      1.00
alpha_ntar_0_1[0]     -1.51      2.89     -1.48     -5.86      2.98    994.81      1.00
alpha_ntar_0_1[1]      0.35      2.18      0.29     -3.77      3.35    868.48      1.00
alpha_ntar_0_1[2]     -0.37      1.40     -0.37     -2.98      1.62    992.12      1.00
alpha_ntar_0_1[3]      0.20      1.04      0.18     -1.34      1.89   1489.44      1.00
alpha_ntar_0_1[4]      0.98      0.86      0.97     -0.26      2.54    896.52      1.00
alpha_ntar_0_1[5]     -0.01      0.68     -0.04     -1.05      1.04    511.88      1.00
alpha_ntar_0_1[6]     -0.18      0.51     -0.18     -1.06      0.63    666.25      1.00
alpha_ntar_0_1[7]     -0.14      0.47     -0.14     -1.03      0.51    795.46      1.00
alpha_ntar_0_1[8]      0.16      0.41      0.15     -0.41      0.97    980.98      1.00
 alpha_tar_0_0[0]     -0.42      2.31     -0.35     -3.99      3.22    658.02      1.00
 alpha_tar_0_0[1]      2.28      1.77      2.35     -1.01      4.84    885.08      1.00
 alpha_tar_0_0[2]     -0.01      1.52      0.05     -2.52      2.30   1073.44      1.00
 alpha_tar_0_0[3]     -0.85      1.09     -0.83     -2.68      0.76    815.82      1.00
 alpha_tar_0_0[4]     -1.04      0.87     -1.08     -2.25      0.51    749.81      1.00
 alpha_tar_0_0[5]      0.11      0.76      0.11     -0.96      1.40    955.22      1.00
 alpha_tar_0_0[6]     -0.08      0.54     -0.07     -0.87      0.84    932.45      1.00
 alpha_tar_0_0[7]      0.49      0.57      0.49     -0.40      1.46    845.42      1.00
 alpha_tar_0_0[8]     -0.31      0.45     -0.31     -0.93      0.56   1082.24      1.00
 alpha_tar_0_0[9]     -0.10      0.47     -0.10     -0.94      0.66   1298.75      1.00
alpha_tar_0_0[10]     -0.26      0.34     -0.28     -0.81      0.29    954.89      1.00
alpha_tar_0_0[11]     -0.02      0.33     -0.01     -0.58      0.47    962.57      1.00
 alpha_tar_0_1[0]      1.44      2.46      1.45     -2.09      5.63    641.88      1.00
 alpha_tar_0_1[1]     -0.31      2.02     -0.26     -3.50      3.07    588.89      1.00
 alpha_tar_0_1[2]      0.54      1.56      0.65     -2.22      2.65    901.74      1.00
 alpha_tar_0_1[3]      0.58      1.10      0.55     -1.11      2.54    634.31      1.00
 alpha_tar_0_1[4]     -0.48      0.98     -0.44     -2.14      1.00   1443.71      1.00
 alpha_tar_0_1[5]     -0.37      0.83     -0.36     -1.86      0.88   1555.87      1.00
 alpha_tar_0_1[6]     -0.23      0.66     -0.21     -1.34      0.81    804.01      1.00
 alpha_tar_0_1[7]     -0.15      0.61     -0.19     -1.24      0.64    753.41      1.00
 alpha_tar_0_1[8]     -0.11      0.52     -0.09     -0.98      0.73    959.71      1.00
 alpha_tar_0_1[9]      0.01      0.43      0.00     -0.67      0.70    808.15      1.00
alpha_tar_0_1[10]     -0.08      0.45     -0.06     -0.82      0.62    938.97      1.00
alpha_tar_0_1[11]      0.25      0.35      0.26     -0.22      0.88    768.97      1.00
            eta_0      0.10      0.00      0.10      0.10      0.10    755.64      1.00
       psi_ntar_0      0.04      0.02      0.04      0.02      0.06    234.90      1.00
        psi_tar_0      0.07      0.03      0.07      0.03      0.11    272.50      1.01
            rho_0      0.85      0.00      0.85      0.85      0.85    309.39      1.00
        sigma_0_0      1.06      0.01      1.06      1.05      1.08    348.17      1.00
        sigma_0_1      1.52      0.01      1.52      1.51      1.55    294.25      1.00

Number of divergences: 0
