
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
alpha_ntar_0_0[0]      1.40      2.36      1.32     -2.11      5.35    698.79      1.00
alpha_ntar_0_0[1]      0.75      1.83      0.82     -2.60      3.20    612.13      1.01
alpha_ntar_0_0[2]     -0.03      1.32     -0.05     -2.53      1.81   1044.86      1.00
alpha_ntar_0_0[3]      0.44      0.96      0.45     -0.92      2.13    936.09      1.00
alpha_ntar_0_0[4]     -0.00      0.75      0.01     -1.40      1.10    727.58      1.00
alpha_ntar_0_0[5]      0.22      0.63      0.22     -0.74      1.28   1232.63      1.00
alpha_ntar_0_0[6]      0.06      0.51      0.05     -0.76      0.85   1225.59      1.00
alpha_ntar_0_0[7]     -0.10      0.46     -0.14     -0.87      0.74    743.24      1.00
alpha_ntar_0_0[8]     -0.14      0.35     -0.14     -0.65      0.46   1045.49      1.00
alpha_ntar_0_1[0]      1.09      2.12      1.17     -2.24      4.54    797.34      1.00
alpha_ntar_0_1[1]      0.27      1.71      0.23     -2.47      2.85   1017.30      1.00
alpha_ntar_0_1[2]      1.13      1.20      1.08     -0.71      3.20    912.88      1.00
alpha_ntar_0_1[3]     -0.45      0.94     -0.50     -1.97      1.06    886.96      1.00
alpha_ntar_0_1[4]     -0.68      0.76     -0.71     -2.06      0.36   1094.87      1.00
alpha_ntar_0_1[5]      0.37      0.60      0.37     -0.43      1.51    991.11      1.00
alpha_ntar_0_1[6]     -0.67      0.49     -0.68     -1.42      0.21    789.68      1.00
alpha_ntar_0_1[7]      0.05      0.41      0.04     -0.59      0.71   1057.08      1.00
alpha_ntar_0_1[8]     -0.04      0.36     -0.03     -0.61      0.56   4832.87      1.00
 alpha_tar_0_0[0]      0.14      0.88      0.10     -1.09      1.84   1326.99      1.00
 alpha_tar_0_0[1]      1.63      0.65      1.64      0.52      2.51    641.28      1.00
 alpha_tar_0_0[2]     -1.00      0.55     -0.97     -1.83      0.04    796.55      1.00
 alpha_tar_0_0[3]     -1.78      0.45     -1.76     -2.42     -1.00    349.79      1.01
 alpha_tar_0_0[4]     -1.42      0.35     -1.41     -1.99     -0.84    251.44      1.00
 alpha_tar_0_0[5]      0.93      0.29      0.92      0.49      1.43    416.60      1.00
 alpha_tar_0_0[6]      1.82      0.32      1.81      1.35      2.33    197.08      1.00
 alpha_tar_0_0[7]      1.32      0.26      1.32      0.93      1.75    368.42      1.00
 alpha_tar_0_0[8]      0.52      0.20      0.51      0.23      0.87    329.02      1.01
 alpha_tar_0_0[9]     -0.19      0.16     -0.20     -0.47      0.04    842.61      1.00
alpha_tar_0_0[10]      0.43      0.17      0.42      0.17      0.71    428.56      1.00
alpha_tar_0_0[11]      0.01      0.14      0.00     -0.23      0.22    715.27      1.00
 alpha_tar_0_1[0]     -0.24      0.84     -0.27     -1.72      1.06    692.55      1.00
 alpha_tar_0_1[1]      0.81      0.58      0.81     -0.17      1.69    466.24      1.00
 alpha_tar_0_1[2]     -0.77      0.42     -0.74     -1.39     -0.04    560.48      1.00
 alpha_tar_0_1[3]      0.85      0.32      0.83      0.32      1.32    715.96      1.00
 alpha_tar_0_1[4]     -0.43      0.29     -0.42     -0.84      0.09    653.09      1.00
 alpha_tar_0_1[5]     -1.41      0.26     -1.40     -1.85     -1.05    201.44      1.01
 alpha_tar_0_1[6]     -0.91      0.22     -0.91     -1.24     -0.54    328.88      1.00
 alpha_tar_0_1[7]      0.27      0.16      0.27      0.05      0.59    595.67      1.00
 alpha_tar_0_1[8]     -0.11      0.16     -0.10     -0.39      0.12    832.34      1.00
 alpha_tar_0_1[9]      0.17      0.12      0.16     -0.05      0.36    551.61      1.00
alpha_tar_0_1[10]     -0.03      0.13     -0.02     -0.22      0.20   1286.19      1.00
alpha_tar_0_1[11]      0.05      0.11      0.04     -0.10      0.25    816.85      1.00
            eta_0      0.10      0.00      0.10      0.10      0.10    712.71      1.00
       psi_ntar_0      0.04      0.01      0.04      0.02      0.06    317.24      1.00
        psi_tar_0      0.34      0.05      0.33      0.27      0.42     95.96      1.01
            rho_0      0.85      0.00      0.85      0.84      0.85    303.86      1.00
        sigma_0_0      1.34      0.01      1.33      1.32      1.35    301.64      1.00
        sigma_0_1      1.13      0.01      1.13      1.11      1.14    348.89      1.00

Number of divergences: 0
