
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
alpha_ntar_0_0[0]      1.51      2.26      1.42     -2.19      4.96   1021.48      1.00
alpha_ntar_0_0[1]      1.57      1.72      1.56     -1.03      4.53    695.96      1.00
alpha_ntar_0_0[2]     -0.65      1.27     -0.60     -2.47      1.59   1194.05      1.00
alpha_ntar_0_0[3]     -0.10      0.89     -0.12     -1.52      1.29    792.80      1.00
alpha_ntar_0_0[4]      0.30      0.70      0.28     -0.82      1.40   1104.57      1.00
alpha_ntar_0_0[5]     -0.04      0.59     -0.04     -1.05      0.89    774.77      1.00
alpha_ntar_0_0[6]     -0.32      0.49     -0.28     -1.15      0.44    624.78      1.00
alpha_ntar_0_0[7]      0.35      0.40      0.34     -0.31      0.98    958.17      1.00
alpha_ntar_0_0[8]      0.23      0.38      0.22     -0.34      0.89    890.94      1.00
alpha_ntar_0_1[0]     -0.76      2.15     -0.74     -4.12      2.86    856.80      1.00
alpha_ntar_0_1[1]      1.98      1.59      1.97     -0.77      4.29    777.09      1.00
alpha_ntar_0_1[2]     -0.56      1.11     -0.63     -2.19      1.42    712.31      1.00
alpha_ntar_0_1[3]     -0.75      0.94     -0.76     -2.14      0.90    827.47      1.00
alpha_ntar_0_1[4]      1.09      0.69      1.10     -0.13      2.07    912.70      1.00
alpha_ntar_0_1[5]     -0.02      0.54     -0.05     -0.95      0.90    831.87      1.00
alpha_ntar_0_1[6]     -0.13      0.49     -0.15     -0.97      0.64    641.53      1.00
alpha_ntar_0_1[7]     -0.39      0.41     -0.39     -1.07      0.17    866.23      1.00
alpha_ntar_0_1[8]      0.21      0.34      0.18     -0.32      0.80    679.84      1.00
 alpha_tar_0_0[0]     -0.11      1.81     -0.14     -3.03      2.80    687.70      1.00
 alpha_tar_0_0[1]      0.33      1.40      0.34     -1.69      2.56    897.83      1.00
 alpha_tar_0_0[2]     -0.84      1.03     -0.81     -2.44      0.68    697.97      1.00
 alpha_tar_0_0[3]     -1.17      0.85     -1.14     -2.45      0.22   1284.62      1.00
 alpha_tar_0_0[4]     -1.63      0.65     -1.56     -2.60     -0.62    638.32      1.00
 alpha_tar_0_0[5]     -0.04      0.48     -0.04     -0.79      0.71   1027.87      1.00
 alpha_tar_0_0[6]      1.41      0.44      1.40      0.76      2.19    633.90      1.00
 alpha_tar_0_0[7]      0.92      0.38      0.93      0.35      1.65    673.77      1.00
 alpha_tar_0_0[8]      0.13      0.33      0.13     -0.37      0.69    688.09      1.00
 alpha_tar_0_0[9]     -0.78      0.31     -0.78     -1.21     -0.25    569.39      1.00
alpha_tar_0_0[10]     -0.02      0.25     -0.02     -0.44      0.36    646.99      1.00
alpha_tar_0_0[11]     -0.07      0.25     -0.07     -0.49      0.29    607.25      1.00
 alpha_tar_0_1[0]     -1.27      1.61     -1.21     -3.42      1.88    673.39      1.00
 alpha_tar_0_1[1]      0.31      1.29      0.30     -1.67      2.34   1717.14      1.00
 alpha_tar_0_1[2]      0.20      1.00      0.23     -1.42      1.84    734.57      1.00
 alpha_tar_0_1[3]      0.54      0.72      0.56     -0.61      1.75    628.70      1.00
 alpha_tar_0_1[4]     -0.29      0.61     -0.27     -1.29      0.67    998.43      1.00
 alpha_tar_0_1[5]      0.80      0.49      0.79      0.04      1.61    456.01      1.00
 alpha_tar_0_1[6]      1.21      0.40      1.21      0.46      1.78    496.92      1.00
 alpha_tar_0_1[7]      0.60      0.34      0.60     -0.01      1.12    412.83      1.00
 alpha_tar_0_1[8]      0.00      0.32     -0.01     -0.56      0.47   1477.58      1.00
 alpha_tar_0_1[9]      0.07      0.27      0.06     -0.35      0.54    860.18      1.00
alpha_tar_0_1[10]      0.33      0.25      0.32     -0.09      0.70    918.54      1.00
alpha_tar_0_1[11]      0.10      0.23      0.09     -0.27      0.48    712.20      1.00
            eta_0      0.10      0.00      0.10      0.10      0.10    553.96      1.00
       psi_ntar_0      0.05      0.02      0.05      0.02      0.08    180.21      1.00
        psi_tar_0      0.19      0.04      0.18      0.12      0.25    156.75      1.00
            rho_0      0.85      0.00      0.85      0.85      0.86    437.54      1.00
        sigma_0_0      1.58      0.01      1.58      1.56      1.60    425.42      1.00
        sigma_0_1      1.39      0.01      1.39      1.38      1.41    397.94      1.00

Number of divergences: 0
