
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
alpha_ntar_0_0[0]      1.46      2.28      1.46     -2.94      4.42   1339.12      1.00
alpha_ntar_0_0[1]     -1.45      1.62     -1.36     -4.22      1.01   1116.92      1.00
alpha_ntar_0_0[2]      1.33      1.41      1.29     -0.72      3.82   1316.70      1.00
alpha_ntar_0_0[3]      0.65      0.98      0.68     -0.95      2.12    770.70      1.00
alpha_ntar_0_0[4]     -0.60      0.72     -0.63     -1.67      0.41    863.46      1.00
alpha_ntar_0_0[5]     -0.06      0.59     -0.07     -0.92      0.96   1012.22      1.00
alpha_ntar_0_0[6]     -0.12      0.49     -0.13     -0.91      0.61   1086.25      1.00
alpha_ntar_0_0[7]      0.22      0.46      0.21     -0.56      0.93   1721.75      1.00
alpha_ntar_0_0[8]     -0.11      0.37     -0.11     -0.72      0.46   1011.61      1.00
alpha_ntar_0_1[0]     -1.21      2.16     -1.28     -4.45      2.43    963.28      1.00
alpha_ntar_0_1[1]     -2.83      1.61     -2.91     -5.35     -0.36   1410.94      1.00
alpha_ntar_0_1[2]      0.41      1.11      0.44     -1.39      2.13    601.27      1.00
alpha_ntar_0_1[3]      0.54      0.83      0.51     -0.82      1.86   1715.49      1.00
alpha_ntar_0_1[4]     -0.21      0.69     -0.18     -1.32      0.88    979.56      1.00
alpha_ntar_0_1[5]      0.57      0.54      0.55     -0.27      1.46    591.76      1.00
alpha_ntar_0_1[6]     -0.15      0.50     -0.16     -0.84      0.80   1090.44      1.00
alpha_ntar_0_1[7]     -0.05      0.39     -0.04     -0.63      0.67   1351.45      1.00
alpha_ntar_0_1[8]     -0.38      0.34     -0.38     -0.86      0.20    833.55      1.00
 alpha_tar_0_0[0]     -1.63      0.94     -1.63     -3.17     -0.13    495.91      1.00
 alpha_tar_0_0[1]      0.68      0.68      0.65     -0.32      1.88    554.67      1.00
 alpha_tar_0_0[2]     -1.21      0.52     -1.22     -2.03     -0.38    577.24      1.00
 alpha_tar_0_0[3]     -2.49      0.53     -2.49     -3.25     -1.60    152.54      1.00
 alpha_tar_0_0[4]     -1.20      0.35     -1.16     -1.73     -0.64    243.59      1.00
 alpha_tar_0_0[5]      1.49      0.33      1.44      0.97      2.00    214.21      1.00
 alpha_tar_0_0[6]      2.05      0.38      1.99      1.48      2.62    149.53      1.00
 alpha_tar_0_0[7]      0.95      0.24      0.92      0.59      1.36    238.48      1.00
 alpha_tar_0_0[8]     -0.17      0.18     -0.18     -0.46      0.10    876.82      1.00
 alpha_tar_0_0[9]     -0.48      0.17     -0.46     -0.75     -0.20    316.60      1.00
alpha_tar_0_0[10]      0.15      0.13      0.15     -0.07      0.36    686.85      1.00
alpha_tar_0_0[11]      0.07      0.13      0.07     -0.17      0.25    725.43      1.00
 alpha_tar_0_1[0]     -0.05      0.77     -0.00     -1.28      1.25    915.36      1.00
 alpha_tar_0_1[1]      0.03      0.58      0.03     -0.96      1.02   1107.90      1.00
 alpha_tar_0_1[2]      1.44      0.48      1.41      0.66      2.15    284.60      1.00
 alpha_tar_0_1[3]     -0.36      0.32     -0.34     -0.87      0.10    410.67      1.00
 alpha_tar_0_1[4]     -1.03      0.32     -1.01     -1.47     -0.49    336.46      1.00
 alpha_tar_0_1[5]      0.05      0.21      0.04     -0.29      0.37    930.16      1.00
 alpha_tar_0_1[6]      0.35      0.21      0.34     -0.01      0.67   1009.05      1.00
 alpha_tar_0_1[7]      0.99      0.22      0.98      0.64      1.34    201.65      1.00
 alpha_tar_0_1[8]     -0.02      0.15     -0.01     -0.27      0.20   1494.68      1.00
 alpha_tar_0_1[9]     -0.28      0.14     -0.28     -0.50     -0.05    476.69      1.00
alpha_tar_0_1[10]      0.07      0.14      0.07     -0.15      0.30    713.58      1.00
alpha_tar_0_1[11]      0.02      0.11      0.02     -0.16      0.20   2258.75      1.00
            eta_0      0.10      0.00      0.10      0.10      0.10    543.29      1.00
       psi_ntar_0      0.06      0.02      0.05      0.02      0.08    284.22      1.01
        psi_tar_0      0.43      0.08      0.42      0.32      0.56     98.14      1.00
            rho_0      0.85      0.00      0.85      0.84      0.85    382.48      1.00
        sigma_0_0      1.62      0.01      1.62      1.60      1.65    307.16      1.00
        sigma_0_1      1.37      0.01      1.37      1.35      1.38    375.49      1.00

Number of divergences: 0
