
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
alpha_ntar_0_0[0]      1.21      2.64      1.07     -3.41      5.49    711.25      1.00
alpha_ntar_0_0[1]     -0.18      1.91     -0.15     -3.39      3.00   1072.71      1.00
alpha_ntar_0_0[2]     -0.04      1.24     -0.02     -2.04      1.90    844.92      1.00
alpha_ntar_0_0[3]     -0.68      0.97     -0.69     -2.11      1.04    704.40      1.00
alpha_ntar_0_0[4]      0.01      0.79      0.05     -1.31      1.21   1496.90      1.00
alpha_ntar_0_0[5]      0.24      0.61      0.24     -0.85      1.14    896.66      1.00
alpha_ntar_0_0[6]     -0.18      0.51     -0.17     -1.02      0.63   1080.55      1.00
alpha_ntar_0_0[7]      0.04      0.44      0.03     -0.81      0.65   1082.25      1.00
alpha_ntar_0_0[8]     -0.25      0.41     -0.27     -0.86      0.50    600.70      1.00
alpha_ntar_0_1[0]     -0.06      2.28     -0.07     -3.59      3.92    601.34      1.00
alpha_ntar_0_1[1]      3.23      2.00      3.18      0.40      6.66    602.21      1.00
alpha_ntar_0_1[2]      0.43      1.25      0.40     -1.66      2.40    725.48      1.00
alpha_ntar_0_1[3]      0.03      1.09      0.05     -1.56      1.90    779.46      1.00
alpha_ntar_0_1[4]     -0.04      0.69     -0.04     -1.19      1.06    700.39      1.00
alpha_ntar_0_1[5]      0.18      0.58      0.18     -0.83      1.06    731.31      1.00
alpha_ntar_0_1[6]     -0.36      0.46     -0.37     -1.10      0.36    656.13      1.00
alpha_ntar_0_1[7]      0.24      0.40      0.25     -0.38      0.93    940.78      1.01
alpha_ntar_0_1[8]      0.12      0.37      0.10     -0.51      0.72    734.24      1.00
 alpha_tar_0_0[0]     -0.12      1.40     -0.10     -2.31      2.11    676.45      1.00
 alpha_tar_0_0[1]      0.37      1.25      0.33     -1.67      2.47    814.47      1.00
 alpha_tar_0_0[2]     -0.94      0.82     -0.91     -2.16      0.33    643.68      1.00
 alpha_tar_0_0[3]     -1.73      0.71     -1.71     -2.83     -0.63    482.44      1.00
 alpha_tar_0_0[4]     -0.78      0.50     -0.78     -1.60      0.04    438.65      1.00
 alpha_tar_0_0[5]      0.76      0.45      0.77      0.06      1.60    926.55      1.00
 alpha_tar_0_0[6]      1.01      0.37      0.99      0.50      1.57    618.62      1.00
 alpha_tar_0_0[7]      1.27      0.34      1.26      0.74      1.83    655.15      1.00
 alpha_tar_0_0[8]      0.74      0.28      0.71      0.30      1.17    442.00      1.00
 alpha_tar_0_0[9]     -0.21      0.24     -0.20     -0.58      0.18    889.00      1.00
alpha_tar_0_0[10]     -0.04      0.23     -0.04     -0.42      0.37    690.28      1.00
alpha_tar_0_0[11]     -0.19      0.20     -0.19     -0.48      0.15    650.94      1.00
 alpha_tar_0_1[0]     -0.79      1.19     -0.81     -2.51      1.39   1073.29      1.00
 alpha_tar_0_1[1]      0.95      1.05      0.92     -0.70      2.61    885.29      1.00
 alpha_tar_0_1[2]      0.72      0.79      0.74     -0.50      2.03   1000.79      1.00
 alpha_tar_0_1[3]      0.44      0.61      0.47     -0.42      1.56    584.10      1.00
 alpha_tar_0_1[4]     -1.33      0.49     -1.29     -2.09     -0.53    444.84      1.00
 alpha_tar_0_1[5]     -0.71      0.38     -0.70     -1.33     -0.09    628.39      1.00
 alpha_tar_0_1[6]      0.16      0.33      0.16     -0.41      0.62    893.12      1.00
 alpha_tar_0_1[7]      1.37      0.34      1.35      0.87      1.96    465.80      1.00
 alpha_tar_0_1[8]      0.47      0.27      0.48      0.03      0.90    521.02      1.00
 alpha_tar_0_1[9]      0.04      0.25      0.04     -0.36      0.43    767.38      1.00
alpha_tar_0_1[10]      0.36      0.22      0.35     -0.00      0.70    631.83      1.00
alpha_tar_0_1[11]      0.19      0.19      0.18     -0.07      0.52    672.85      1.00
            eta_0      0.10      0.00      0.10      0.10      0.10    952.28      1.00
       psi_ntar_0      0.05      0.02      0.05      0.02      0.07    243.55      1.00
        psi_tar_0      0.25      0.05      0.25      0.18      0.32    181.85      1.00
            rho_0      0.85      0.00      0.85      0.84      0.85    435.11      1.00
        sigma_0_0      1.67      0.01      1.67      1.65      1.70    456.22      1.00
        sigma_0_1      1.47      0.01      1.47      1.45      1.49    408.70      1.00

Number of divergences: 0
