
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
alpha_ntar_0_0[0]     -1.03      2.58     -1.06     -5.15      3.66    918.07      1.00
alpha_ntar_0_0[1]     -0.78      2.02     -0.65     -4.03      2.32    633.54      1.00
alpha_ntar_0_0[2]     -0.24      1.46     -0.17     -2.76      2.08    769.04      1.00
alpha_ntar_0_0[3]      0.80      1.10      0.86     -0.77      2.79    723.68      1.00
alpha_ntar_0_0[4]     -0.21      0.83     -0.21     -1.54      1.26    816.78      1.00
alpha_ntar_0_0[5]     -0.02      0.63     -0.01     -0.92      1.14    515.73      1.00
alpha_ntar_0_0[6]     -0.08      0.51     -0.08     -0.97      0.73   1257.22      1.00
alpha_ntar_0_0[7]      0.18      0.48      0.19     -0.60      0.94    993.13      1.00
alpha_ntar_0_0[8]     -0.16      0.41     -0.17     -0.80      0.57   1084.51      1.00
alpha_ntar_0_1[0]     -0.14      2.65     -0.13     -3.94      4.71    653.11      1.00
alpha_ntar_0_1[1]     -1.21      2.07     -1.26     -4.57      2.17   1050.38      1.00
alpha_ntar_0_1[2]      0.82      1.69      0.90     -1.96      3.54    793.86      1.00
alpha_ntar_0_1[3]     -0.60      1.09     -0.61     -2.57      1.09    703.42      1.00
alpha_ntar_0_1[4]      0.15      0.78      0.14     -1.20      1.30    817.81      1.00
alpha_ntar_0_1[5]      0.24      0.69      0.22     -0.79      1.28    933.96      1.00
alpha_ntar_0_1[6]     -0.08      0.51     -0.08     -0.91      0.71    714.38      1.00
alpha_ntar_0_1[7]      0.03      0.45      0.03     -0.63      0.70    518.63      1.00
alpha_ntar_0_1[8]     -0.13      0.42     -0.10     -0.79      0.55    879.29      1.00
 alpha_tar_0_0[0]     -1.28      1.26     -1.18     -3.26      0.72    764.74      1.00
 alpha_tar_0_0[1]      2.69      1.04      2.64      1.10      4.24    650.47      1.00
 alpha_tar_0_0[2]      0.44      0.71      0.46     -0.70      1.64    832.16      1.00
 alpha_tar_0_0[3]     -1.00      0.61     -0.98     -1.89     -0.02    595.00      1.00
 alpha_tar_0_0[4]     -2.75      0.60     -2.69     -3.84     -1.91    220.68      1.00
 alpha_tar_0_0[5]      0.16      0.39      0.15     -0.45      0.77    895.47      1.00
 alpha_tar_0_0[6]      0.22      0.28      0.22     -0.25      0.71    490.75      1.00
 alpha_tar_0_0[7]      0.10      0.26      0.11     -0.35      0.53    952.29      1.00
 alpha_tar_0_0[8]      0.79      0.27      0.78      0.37      1.24    421.28      1.00
 alpha_tar_0_0[9]      0.83      0.23      0.83      0.43      1.22    280.79      1.00
alpha_tar_0_0[10]     -0.27      0.20     -0.27     -0.58      0.07    758.65      1.00
alpha_tar_0_0[11]     -0.01      0.20     -0.01     -0.35      0.32    639.53      1.00
 alpha_tar_0_1[0]      2.15      1.37      2.17     -0.07      4.28    509.62      1.00
 alpha_tar_0_1[1]     -0.94      1.00     -0.90     -2.50      0.82    730.93      1.00
 alpha_tar_0_1[2]      0.57      0.70      0.58     -0.54      1.69    961.38      1.00
 alpha_tar_0_1[3]      1.97      0.69      1.92      0.90      3.12    570.65      1.00
 alpha_tar_0_1[4]     -0.74      0.47     -0.76     -1.46      0.01    627.31      1.00
 alpha_tar_0_1[5]     -1.50      0.40     -1.51     -2.06     -0.77    465.33      1.00
 alpha_tar_0_1[6]      0.07      0.36      0.09     -0.43      0.70    876.21      1.00
 alpha_tar_0_1[7]      0.64      0.33      0.63      0.17      1.23    534.30      1.00
 alpha_tar_0_1[8]     -0.07      0.29     -0.06     -0.51      0.38   1048.30      1.00
 alpha_tar_0_1[9]     -0.44      0.23     -0.41     -0.78     -0.03    651.37      1.00
alpha_tar_0_1[10]      0.22      0.23      0.22     -0.14      0.57    893.47      1.00
alpha_tar_0_1[11]      0.02      0.19      0.01     -0.30      0.31    693.17      1.00
            eta_0      0.10      0.00      0.10      0.10      0.10    500.78      1.00
       psi_ntar_0      0.07      0.03      0.07      0.02      0.12    333.64      1.00
        psi_tar_0      0.56      0.10      0.55      0.40      0.73    150.41      1.00
            rho_0      0.85      0.00      0.85      0.85      0.85    354.41      1.00
        sigma_0_0      3.16      0.02      3.16      3.12      3.20    374.29      1.00
        sigma_0_1      3.38      0.03      3.38      3.33      3.41    487.85      1.00

Number of divergences: 0
