
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
alpha_ntar_0_0[0]      3.63      2.63      3.66     -0.60      7.95    532.76      1.00
alpha_ntar_0_0[1]     -0.09      1.98     -0.04     -3.50      3.10    756.18      1.00
alpha_ntar_0_0[2]     -0.69      1.35     -0.71     -2.62      1.64    688.79      1.00
alpha_ntar_0_0[3]      0.57      1.02      0.50     -1.19      2.14    442.86      1.02
alpha_ntar_0_0[4]      0.03      0.69      0.03     -1.04      1.24    936.76      1.00
alpha_ntar_0_0[5]     -0.34      0.60     -0.33     -1.46      0.51    903.62      1.00
alpha_ntar_0_0[6]      0.03      0.49      0.03     -0.84      0.72   1203.97      1.00
alpha_ntar_0_0[7]      0.08      0.43      0.07     -0.66      0.68    909.64      1.00
alpha_ntar_0_0[8]      0.28      0.41      0.28     -0.33      0.97    812.01      1.00
alpha_ntar_0_1[0]     -2.54      2.24     -2.56     -6.17      0.94   1958.07      1.00
alpha_ntar_0_1[1]     -0.58      1.62     -0.67     -3.33      1.80    798.19      1.00
alpha_ntar_0_1[2]     -0.56      1.22     -0.51     -2.67      1.18    648.77      1.00
alpha_ntar_0_1[3]      0.24      0.91      0.23     -1.21      1.72   1079.28      1.00
alpha_ntar_0_1[4]     -0.17      0.70     -0.21     -1.25      0.92   1273.93      1.00
alpha_ntar_0_1[5]     -0.79      0.56     -0.78     -1.76      0.11    628.24      1.00
alpha_ntar_0_1[6]      0.11      0.50      0.11     -0.61      0.94    932.76      1.00
alpha_ntar_0_1[7]     -0.47      0.36     -0.48     -0.98      0.17    774.33      1.00
alpha_ntar_0_1[8]      0.10      0.33      0.09     -0.38      0.70    677.53      1.00
 alpha_tar_0_0[0]      0.11      2.08      0.25     -3.21      3.49   1482.67      1.00
 alpha_tar_0_0[1]     -0.50      1.52     -0.49     -2.90      1.89   1154.88      1.00
 alpha_tar_0_0[2]      1.16      1.12      1.12     -0.92      2.77    552.34      1.00
 alpha_tar_0_0[3]     -1.95      0.88     -1.96     -3.47     -0.64    765.79      1.00
 alpha_tar_0_0[4]     -1.18      0.66     -1.20     -2.33     -0.22   1159.26      1.00
 alpha_tar_0_0[5]     -0.24      0.56     -0.24     -1.16      0.58   1337.82      1.00
 alpha_tar_0_0[6]     -0.03      0.49     -0.02     -0.83      0.76   1103.02      1.00
 alpha_tar_0_0[7]      0.42      0.40      0.42     -0.24      1.08   1373.89      1.00
 alpha_tar_0_0[8]      0.90      0.34      0.90      0.35      1.41    579.00      1.00
 alpha_tar_0_0[9]      0.04      0.33      0.03     -0.41      0.66    754.55      1.00
alpha_tar_0_0[10]     -0.12      0.26     -0.12     -0.53      0.34   1142.88      1.00
alpha_tar_0_0[11]     -0.01      0.24     -0.02     -0.39      0.37    892.57      1.00
 alpha_tar_0_1[0]      1.03      1.48      1.10     -1.42      3.46    833.03      1.00
 alpha_tar_0_1[1]     -0.21      1.15     -0.21     -1.91      1.82    666.98      1.00
 alpha_tar_0_1[2]     -0.52      0.84     -0.54     -1.75      0.88    481.23      1.01
 alpha_tar_0_1[3]      1.24      0.64      1.21      0.31      2.39    504.98      1.00
 alpha_tar_0_1[4]     -1.00      0.43     -0.98     -1.71     -0.31    643.90      1.00
 alpha_tar_0_1[5]     -1.64      0.49     -1.62     -2.46     -0.85    509.44      1.00
 alpha_tar_0_1[6]     -1.31      0.41     -1.31     -1.97     -0.68    420.36      1.00
 alpha_tar_0_1[7]     -0.46      0.33     -0.46     -1.04      0.02    759.63      1.01
 alpha_tar_0_1[8]     -0.24      0.28     -0.21     -0.72      0.20    801.16      1.00
 alpha_tar_0_1[9]      0.31      0.26      0.30     -0.09      0.69    626.46      1.00
alpha_tar_0_1[10]     -0.36      0.24     -0.35     -0.74      0.01   1261.83      1.00
alpha_tar_0_1[11]     -0.03      0.22     -0.04     -0.42      0.31   1356.71      1.00
            eta_0      0.10      0.00      0.10      0.10      0.10    539.94      1.00
       psi_ntar_0      0.06      0.02      0.06      0.03      0.10    322.74      1.00
        psi_tar_0      0.24      0.05      0.23      0.15      0.32    121.64      1.00
            rho_0      0.85      0.00      0.85      0.85      0.85    304.45      1.00
        sigma_0_0      2.25      0.02      2.25      2.22      2.28    313.69      1.00
        sigma_0_1      1.54      0.01      1.54      1.53      1.57    299.80      1.00

Number of divergences: 0
