
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
alpha_ntar_0_0[0]      0.09      2.54      0.18     -4.03      3.99    776.24      1.00
alpha_ntar_0_0[1]     -0.36      2.29     -0.37     -4.50      2.93    718.41      1.00
alpha_ntar_0_0[2]     -0.19      1.43     -0.26     -2.55      2.12   1040.05      1.00
alpha_ntar_0_0[3]      0.00      1.01     -0.01     -1.55      1.69    726.90      1.00
alpha_ntar_0_0[4]      0.39      0.78      0.38     -0.96      1.60    670.96      1.00
alpha_ntar_0_0[5]     -0.24      0.67     -0.21     -1.44      0.75    507.24      1.00
alpha_ntar_0_0[6]      0.10      0.53      0.08     -0.74      0.96    689.36      1.00
alpha_ntar_0_0[7]     -0.21      0.43     -0.21     -1.00      0.44    458.98      1.00
alpha_ntar_0_0[8]     -0.08      0.41     -0.09     -0.75      0.53    670.64      1.00
alpha_ntar_0_1[0]     -1.27      3.09     -1.34     -6.13      3.65   1284.77      1.00
alpha_ntar_0_1[1]     -0.09      2.28     -0.16     -3.92      3.38    952.20      1.00
alpha_ntar_0_1[2]     -0.61      1.74     -0.64     -3.58      2.14   1105.80      1.00
alpha_ntar_0_1[3]      0.28      1.07      0.29     -1.32      1.96   1190.17      1.00
alpha_ntar_0_1[4]     -0.22      0.78     -0.23     -1.44      1.16    728.69      1.00
alpha_ntar_0_1[5]      0.28      0.62      0.25     -0.85      1.21    978.44      1.00
alpha_ntar_0_1[6]     -0.03      0.55     -0.03     -1.01      0.74   1023.51      1.00
alpha_ntar_0_1[7]     -0.02      0.51     -0.02     -0.86      0.76    782.45      1.01
alpha_ntar_0_1[8]      0.02      0.38      0.04     -0.61      0.62    644.71      1.00
 alpha_tar_0_0[0]     -0.13      2.24     -0.24     -3.59      3.87    881.98      1.00
 alpha_tar_0_0[1]     -0.31      2.32     -0.20     -4.30      3.16    726.74      1.00
 alpha_tar_0_0[2]     -0.50      1.52     -0.48     -2.68      2.26    960.88      1.00
 alpha_tar_0_0[3]      0.22      1.21      0.21     -1.63      2.31    828.35      1.00
 alpha_tar_0_0[4]      0.20      0.98      0.20     -1.43      1.72    696.11      1.00
 alpha_tar_0_0[5]      0.41      0.84      0.43     -0.93      1.79    916.74      1.00
 alpha_tar_0_0[6]      0.51      0.66      0.51     -0.51      1.58   1073.85      1.00
 alpha_tar_0_0[7]      0.71      0.58      0.72     -0.25      1.65    621.16      1.00
 alpha_tar_0_0[8]      0.14      0.52      0.13     -0.68      0.94    839.08      1.00
 alpha_tar_0_0[9]      0.04      0.45      0.06     -0.63      0.81    817.86      1.00
alpha_tar_0_0[10]      0.01      0.39     -0.01     -0.62      0.65    858.62      1.00
alpha_tar_0_0[11]     -0.22      0.41     -0.23     -0.96      0.35    627.66      1.00
 alpha_tar_0_1[0]     -0.82      2.84     -0.87     -5.49      4.01    936.29      1.00
 alpha_tar_0_1[1]     -0.78      2.13     -0.78     -4.29      2.54   1484.01      1.00
 alpha_tar_0_1[2]     -0.58      1.62     -0.69     -3.09      2.06    638.03      1.00
 alpha_tar_0_1[3]     -0.59      1.20     -0.62     -2.63      1.19    800.72      1.00
 alpha_tar_0_1[4]      0.18      0.97      0.15     -1.34      1.82   1266.08      1.00
 alpha_tar_0_1[5]     -0.34      0.79     -0.34     -1.62      0.86   1007.34      1.00
 alpha_tar_0_1[6]     -0.23      0.68     -0.21     -1.34      0.88   1084.48      1.00
 alpha_tar_0_1[7]     -0.09      0.55     -0.11     -0.97      0.77   1335.89      1.00
 alpha_tar_0_1[8]     -0.55      0.56     -0.55     -1.62      0.22    808.39      1.00
 alpha_tar_0_1[9]     -0.12      0.40     -0.13     -0.75      0.56    899.67      1.00
alpha_tar_0_1[10]     -0.07      0.38     -0.06     -0.84      0.48    889.69      1.00
alpha_tar_0_1[11]      0.05      0.35      0.02     -0.49      0.64    949.36      1.00
            eta_0      0.10      0.00      0.10      0.10      0.10    754.47      1.00
       psi_ntar_0      0.07      0.03      0.06      0.02      0.11    510.40      1.00
        psi_tar_0      0.15      0.07      0.14      0.05      0.25    373.70      1.00
            rho_0      0.85      0.00      0.85      0.85      0.85    364.25      1.00
        sigma_0_0      3.01      0.02      3.02      2.97      3.05    379.08      1.00
        sigma_0_1      3.66      0.03      3.65      3.61      3.70    303.34      1.00

Number of divergences: 0
