
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
alpha_ntar_0_0[0]      2.15      2.43      1.97     -1.80      6.25    999.52      1.00
alpha_ntar_0_0[1]      1.60      1.88      1.62     -1.39      4.55    967.53      1.00
alpha_ntar_0_0[2]      0.47      1.24      0.48     -1.31      2.79   1307.97      1.00
alpha_ntar_0_0[3]     -0.92      0.96     -0.94     -2.45      0.59   1276.90      1.00
alpha_ntar_0_0[4]     -0.32      0.74     -0.31     -1.50      0.84   1344.00      1.00
alpha_ntar_0_0[5]      0.08      0.58      0.08     -0.84      1.01    603.10      1.01
alpha_ntar_0_0[6]     -0.19      0.51     -0.15     -1.05      0.56   1152.43      1.00
alpha_ntar_0_0[7]      0.06      0.47      0.08     -0.74      0.76    697.62      1.00
alpha_ntar_0_0[8]      0.25      0.36      0.27     -0.33      0.87    550.74      1.00
alpha_ntar_0_1[0]     -1.05      2.74     -1.09     -5.15      3.12   1346.00      1.00
alpha_ntar_0_1[1]      0.94      1.97      1.08     -2.68      3.81   1157.67      1.00
alpha_ntar_0_1[2]      0.32      1.32      0.34     -1.69      2.49    661.88      1.00
alpha_ntar_0_1[3]     -0.40      1.01     -0.46     -2.11      1.25    957.67      1.00
alpha_ntar_0_1[4]     -0.40      0.81     -0.40     -1.72      0.82    686.27      1.00
alpha_ntar_0_1[5]     -0.58      0.62     -0.62     -1.55      0.49    657.67      1.00
alpha_ntar_0_1[6]      0.25      0.54      0.25     -0.50      1.20   2162.55      1.00
alpha_ntar_0_1[7]     -0.11      0.44     -0.10     -0.84      0.58    955.48      1.00
alpha_ntar_0_1[8]     -0.06      0.38     -0.04     -0.67      0.52    636.27      1.00
 alpha_tar_0_0[0]     -0.24      1.78     -0.16     -3.37      2.38    738.07      1.00
 alpha_tar_0_0[1]     -0.14      1.52     -0.12     -3.08      2.03   1020.77      1.00
 alpha_tar_0_0[2]     -0.55      1.13     -0.53     -2.40      1.30   1359.81      1.00
 alpha_tar_0_0[3]     -1.44      0.79     -1.44     -2.65     -0.23    741.69      1.00
 alpha_tar_0_0[4]     -1.49      0.63     -1.48     -2.55     -0.46   1033.52      1.00
 alpha_tar_0_0[5]      0.03      0.47      0.05     -0.68      0.78    873.31      1.00
 alpha_tar_0_0[6]      1.33      0.40      1.31      0.71      2.02    853.07      1.00
 alpha_tar_0_0[7]      0.80      0.38      0.79      0.16      1.37    900.48      1.00
 alpha_tar_0_0[8]      0.55      0.33      0.56     -0.03      1.10    727.53      1.00
 alpha_tar_0_0[9]     -0.34      0.29     -0.33     -0.80      0.12    875.42      1.00
alpha_tar_0_0[10]      0.22      0.26      0.22     -0.21      0.60    631.48      1.00
alpha_tar_0_0[11]     -0.29      0.25     -0.28     -0.74      0.06    831.70      1.00
 alpha_tar_0_1[0]      0.84      1.76      0.74     -1.81      3.60    992.90      1.00
 alpha_tar_0_1[1]      0.34      1.42      0.38     -2.06      2.62    929.55      1.00
 alpha_tar_0_1[2]      3.02      1.13      2.99      1.18      4.77    576.03      1.00
 alpha_tar_0_1[3]      0.29      0.91      0.29     -1.21      1.72   1087.00      1.00
 alpha_tar_0_1[4]      1.05      0.68      1.07     -0.02      2.09    800.37      1.00
 alpha_tar_0_1[5]     -0.88      0.58     -0.90     -1.77      0.12   1433.29      1.00
 alpha_tar_0_1[6]     -0.35      0.43     -0.35     -1.14      0.26    736.45      1.00
 alpha_tar_0_1[7]     -0.55      0.38     -0.55     -1.09      0.10    647.11      1.00
 alpha_tar_0_1[8]     -0.25      0.32     -0.25     -0.76      0.28   1025.47      1.00
 alpha_tar_0_1[9]      0.22      0.32      0.22     -0.29      0.74    821.78      1.00
alpha_tar_0_1[10]     -0.15      0.29     -0.16     -0.65      0.28   1170.78      1.00
alpha_tar_0_1[11]     -0.06      0.26     -0.06     -0.46      0.36   1346.19      1.00
            eta_0      0.10      0.00      0.10      0.10      0.10    461.21      1.00
       psi_ntar_0      0.10      0.04      0.10      0.04      0.16    380.10      1.00
        psi_tar_0      0.41      0.09      0.39      0.30      0.57    213.70      1.00
            rho_0      0.85      0.00      0.85      0.85      0.86    427.97      1.01
        sigma_0_0      1.92      0.03      1.93      1.88      1.96    261.02      1.04
        sigma_0_1      2.16      0.03      2.16      2.11      2.21    433.27      1.00

Number of divergences: 0
