
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
alpha_ntar_0_0[0]      0.05      2.55     -0.15     -4.00      4.15   1052.08      1.00
alpha_ntar_0_0[1]     -1.27      1.95     -1.25     -4.49      1.98    917.27      1.00
alpha_ntar_0_0[2]     -0.72      1.39     -0.76     -2.61      1.63    765.64      1.00
alpha_ntar_0_0[3]      0.12      1.02      0.15     -1.36      1.93    910.94      1.00
alpha_ntar_0_0[4]     -0.08      0.81     -0.06     -1.34      1.17   1133.71      1.00
alpha_ntar_0_0[5]     -0.76      0.63     -0.77     -1.90      0.16    681.12      1.00
alpha_ntar_0_0[6]      0.13      0.54      0.13     -0.72      1.01   1027.59      1.00
alpha_ntar_0_0[7]     -0.12      0.46     -0.14     -0.90      0.58    684.91      1.00
alpha_ntar_0_0[8]      0.30      0.40      0.31     -0.38      0.94    664.78      1.00
alpha_ntar_0_1[0]      1.85      2.49      1.78     -2.42      5.68    668.97      1.00
alpha_ntar_0_1[1]      2.45      1.76      2.40     -0.33      5.24    640.35      1.00
alpha_ntar_0_1[2]      1.07      1.26      1.03     -1.06      3.01    527.39      1.00
alpha_ntar_0_1[3]     -0.09      0.86     -0.04     -1.72      1.06    616.00      1.00
alpha_ntar_0_1[4]      0.08      0.66      0.06     -0.90      1.22    725.79      1.00
alpha_ntar_0_1[5]      0.53      0.55      0.55     -0.39      1.46    658.85      1.00
alpha_ntar_0_1[6]      0.12      0.51      0.13     -0.86      0.85   1033.85      1.00
alpha_ntar_0_1[7]     -0.01      0.45     -0.02     -0.72      0.75    757.92      1.00
alpha_ntar_0_1[8]      0.13      0.35      0.15     -0.45      0.71    926.39      1.00
 alpha_tar_0_0[0]     -0.40      2.32     -0.34     -4.37      3.09    830.12      1.00
 alpha_tar_0_0[1]     -0.68      1.86     -0.63     -3.97      2.33   1035.75      1.00
 alpha_tar_0_0[2]     -0.78      1.31     -0.76     -2.74      1.49    595.60      1.00
 alpha_tar_0_0[3]     -2.28      0.98     -2.26     -3.70     -0.59    988.47      1.00
 alpha_tar_0_0[4]     -0.39      0.83     -0.41     -1.57      1.07   1464.19      1.00
 alpha_tar_0_0[5]      0.65      0.63      0.69     -0.38      1.65    683.42      1.00
 alpha_tar_0_0[6]      1.28      0.56      1.26      0.45      2.33    850.82      1.00
 alpha_tar_0_0[7]      0.53      0.48      0.51     -0.34      1.29    619.21      1.00
 alpha_tar_0_0[8]     -0.22      0.44     -0.21     -0.92      0.49   1195.71      1.00
 alpha_tar_0_0[9]     -0.21      0.36     -0.21     -0.85      0.31    588.26      1.01
alpha_tar_0_0[10]     -0.18      0.39     -0.17     -0.84      0.39   1426.86      1.00
alpha_tar_0_0[11]      0.25      0.29      0.25     -0.34      0.63    891.36      1.00
 alpha_tar_0_1[0]     -0.59      1.89     -0.69     -3.22      2.21    903.15      1.00
 alpha_tar_0_1[1]      0.25      1.30      0.22     -1.90      2.26    793.65      1.00
 alpha_tar_0_1[2]      2.17      1.15      2.13      0.27      4.10    651.21      1.00
 alpha_tar_0_1[3]     -0.40      0.79     -0.37     -1.78      0.84    731.34      1.00
 alpha_tar_0_1[4]     -0.72      0.70     -0.70     -1.74      0.40    597.78      1.00
 alpha_tar_0_1[5]     -0.39      0.52     -0.40     -1.25      0.39   1023.60      1.00
 alpha_tar_0_1[6]     -0.16      0.48     -0.15     -0.90      0.61    731.01      1.00
 alpha_tar_0_1[7]     -0.33      0.38     -0.30     -0.92      0.27    742.42      1.00
 alpha_tar_0_1[8]      0.18      0.36      0.18     -0.33      0.81    694.61      1.00
 alpha_tar_0_1[9]      0.20      0.31      0.20     -0.34      0.65   1288.58      1.00
alpha_tar_0_1[10]      0.31      0.31      0.29     -0.21      0.79    469.92      1.00
alpha_tar_0_1[11]      0.35      0.25      0.34     -0.05      0.76    890.34      1.00
            eta_0      0.10      0.00      0.10      0.10      0.10    387.75      1.00
       psi_ntar_0      0.08      0.03      0.08      0.04      0.14    149.32      1.01
        psi_tar_0      0.23      0.06      0.23      0.14      0.32    181.41      1.00
            rho_0      0.85      0.00      0.85      0.85      0.86    512.98      1.00
        sigma_0_0      3.09      0.02      3.09      3.05      3.13    474.82      1.00
        sigma_0_1      2.17      0.02      2.16      2.14      2.20    401.89      1.00

Number of divergences: 0
