
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
alpha_ntar_0_0[0]      0.59      2.56      0.60     -3.27      5.06    930.98      1.00
alpha_ntar_0_0[1]      0.23      2.01      0.23     -3.43      3.36    956.13      1.00
alpha_ntar_0_0[2]     -1.17      1.58     -1.22     -4.00      1.25   1084.35      1.00
alpha_ntar_0_0[3]     -0.36      1.09     -0.34     -2.32      1.25   1123.94      1.00
alpha_ntar_0_0[4]      0.18      0.85      0.15     -1.12      1.49   1154.65      1.00
alpha_ntar_0_0[5]      0.34      0.69      0.33     -0.72      1.50    749.85      1.00
alpha_ntar_0_0[6]      0.00      0.53      0.01     -0.79      0.93   1177.53      1.00
alpha_ntar_0_0[7]      0.01      0.47      0.02     -0.69      0.88    967.33      1.00
alpha_ntar_0_0[8]     -0.26      0.40     -0.28     -0.92      0.38   1045.33      1.00
alpha_ntar_0_1[0]      0.37      2.43      0.43     -3.12      4.65    580.60      1.00
alpha_ntar_0_1[1]      0.18      1.77      0.22     -2.88      2.73    910.83      1.00
alpha_ntar_0_1[2]      0.76      1.41      0.75     -1.48      2.87    998.96      1.00
alpha_ntar_0_1[3]      0.86      1.03      0.85     -0.70      2.85   1569.16      1.00
alpha_ntar_0_1[4]      0.35      0.70      0.31     -0.74      1.47    987.33      1.00
alpha_ntar_0_1[5]      0.61      0.60      0.60     -0.41      1.52    854.09      1.01
alpha_ntar_0_1[6]     -0.03      0.54     -0.03     -0.89      0.91    890.05      1.00
alpha_ntar_0_1[7]      0.15      0.46      0.11     -0.59      0.91   1038.82      1.00
alpha_ntar_0_1[8]      0.00      0.40     -0.02     -0.61      0.63   1314.26      1.00
 alpha_tar_0_0[0]      0.36      1.40      0.30     -1.79      2.72    875.09      1.00
 alpha_tar_0_0[1]      2.20      1.30      2.18      0.23      4.64   1285.11      1.00
 alpha_tar_0_0[2]     -0.88      0.83     -0.86     -2.46      0.27    703.24      1.00
 alpha_tar_0_0[3]     -0.85      0.64     -0.84     -1.86      0.16    861.09      1.00
 alpha_tar_0_0[4]     -2.63      0.59     -2.61     -3.64     -1.76    402.41      1.01
 alpha_tar_0_0[5]     -1.72      0.45     -1.70     -2.41     -0.93    458.66      1.00
 alpha_tar_0_0[6]     -0.59      0.34     -0.59     -1.16     -0.03    558.63      1.00
 alpha_tar_0_0[7]      0.62      0.31      0.62      0.11      1.12    764.36      1.00
 alpha_tar_0_0[8]      0.78      0.29      0.77      0.32      1.30    637.73      1.00
 alpha_tar_0_0[9]      0.60      0.25      0.58      0.15      0.95    641.36      1.00
alpha_tar_0_0[10]      0.15      0.21      0.15     -0.18      0.49    919.02      1.00
alpha_tar_0_0[11]     -0.10      0.21     -0.10     -0.48      0.21    845.58      1.00
 alpha_tar_0_1[0]     -1.19      1.25     -1.19     -3.29      0.72   1252.69      1.00
 alpha_tar_0_1[1]     -0.66      0.90     -0.65     -2.29      0.68    807.89      1.00
 alpha_tar_0_1[2]      0.64      0.70      0.62     -0.36      1.85    653.95      1.00
 alpha_tar_0_1[3]     -0.42      0.58     -0.42     -1.46      0.45    664.72      1.00
 alpha_tar_0_1[4]      0.61      0.48      0.59     -0.27      1.31    683.91      1.01
 alpha_tar_0_1[5]     -0.75      0.39     -0.75     -1.30     -0.06    717.05      1.01
 alpha_tar_0_1[6]     -0.81      0.32     -0.82     -1.32     -0.31    545.11      1.00
 alpha_tar_0_1[7]     -0.10      0.29     -0.10     -0.57      0.35    656.85      1.00
 alpha_tar_0_1[8]      0.34      0.23      0.33     -0.01      0.74    951.71      1.00
 alpha_tar_0_1[9]      0.30      0.21      0.28      0.00      0.67    942.43      1.00
alpha_tar_0_1[10]     -0.15      0.19     -0.15     -0.50      0.16   1074.35      1.00
alpha_tar_0_1[11]     -0.11      0.18     -0.11     -0.41      0.15    707.67      1.00
            eta_0      0.10      0.00      0.10      0.10      0.10    971.16      1.00
       psi_ntar_0      0.05      0.02      0.05      0.02      0.08    321.94      1.00
        psi_tar_0      0.35      0.07      0.34      0.25      0.45    144.13      1.02
            rho_0      0.85      0.00      0.85      0.85      0.86    548.02      1.00
        sigma_0_0      2.31      0.02      2.31      2.28      2.34    425.25      1.00
        sigma_0_1      1.94      0.02      1.94      1.91      1.97    571.29      1.00

Number of divergences: 0
