
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
alpha_ntar_0_0[0]      1.99      2.87      1.96     -2.54      6.62    661.22      1.00
alpha_ntar_0_0[1]      0.38      2.09      0.46     -2.92      3.52   1018.24      1.00
alpha_ntar_0_0[2]      0.49      1.63      0.55     -2.16      2.84   1844.88      1.00
alpha_ntar_0_0[3]     -0.10      1.14     -0.11     -1.87      1.95    555.29      1.00
alpha_ntar_0_0[4]     -0.06      0.78     -0.02     -1.22      1.26   1036.39      1.00
alpha_ntar_0_0[5]      0.11      0.68      0.13     -1.08      1.19    985.45      1.00
alpha_ntar_0_0[6]      0.15      0.54      0.17     -0.80      1.01    722.03      1.00
alpha_ntar_0_0[7]      0.05      0.48      0.06     -0.71      0.79   1207.61      1.00
alpha_ntar_0_0[8]      0.02      0.39      0.00     -0.55      0.73    972.33      1.00
alpha_ntar_0_1[0]     -1.89      2.55     -2.01     -5.86      2.36    719.93      1.00
alpha_ntar_0_1[1]     -1.14      1.83     -1.14     -4.15      1.85    756.58      1.00
alpha_ntar_0_1[2]      0.58      1.41      0.60     -1.93      2.65   1561.60      1.00
alpha_ntar_0_1[3]      0.36      1.13      0.39     -1.62      2.13    746.76      1.00
alpha_ntar_0_1[4]     -0.25      0.74     -0.29     -1.37      0.98   1113.08      1.00
alpha_ntar_0_1[5]     -0.09      0.62     -0.10     -1.13      0.83    888.76      1.00
alpha_ntar_0_1[6]      0.35      0.56      0.37     -0.58      1.19    896.47      1.00
alpha_ntar_0_1[7]      0.04      0.43      0.03     -0.71      0.68    820.79      1.00
alpha_ntar_0_1[8]      0.21      0.39      0.22     -0.37      0.83    861.95      1.00
 alpha_tar_0_0[0]     -0.64      2.18     -0.62     -4.02      2.95   1090.57      1.00
 alpha_tar_0_0[1]     -0.02      1.62      0.03     -2.60      2.43    777.31      1.00
 alpha_tar_0_0[2]     -1.04      1.10     -1.09     -2.49      1.04   1040.76      1.00
 alpha_tar_0_0[3]     -0.51      0.96     -0.50     -1.92      1.11    824.87      1.00
 alpha_tar_0_0[4]     -0.78      0.75     -0.79     -2.06      0.38   1017.36      1.00
 alpha_tar_0_0[5]     -0.26      0.58     -0.25     -1.28      0.59    844.08      1.00
 alpha_tar_0_0[6]      1.41      0.60      1.43      0.48      2.45   2049.86      1.00
 alpha_tar_0_0[7]      1.59      0.44      1.58      0.80      2.24    664.94      1.00
 alpha_tar_0_0[8]      0.72      0.41      0.70      0.09      1.44    899.60      1.00
 alpha_tar_0_0[9]     -0.25      0.34     -0.26     -0.81      0.25    847.07      1.00
alpha_tar_0_0[10]     -0.13      0.32     -0.13     -0.69      0.39    763.68      1.00
alpha_tar_0_0[11]     -0.08      0.30     -0.09     -0.56      0.44    912.87      1.00
 alpha_tar_0_1[0]      0.62      1.65      0.57     -2.34      2.98    835.26      1.00
 alpha_tar_0_1[1]     -1.99      1.24     -1.95     -3.94     -0.11    979.42      1.00
 alpha_tar_0_1[2]     -0.93      0.95     -0.98     -2.45      0.60    844.78      1.00
 alpha_tar_0_1[3]      0.28      0.72      0.27     -0.71      1.55    955.15      1.00
 alpha_tar_0_1[4]     -0.09      0.62     -0.11     -1.09      0.88   1521.29      1.00
 alpha_tar_0_1[5]      0.57      0.48      0.58     -0.17      1.36    937.98      1.00
 alpha_tar_0_1[6]      0.51      0.40      0.50     -0.06      1.20   1082.75      1.00
 alpha_tar_0_1[7]      0.29      0.39      0.29     -0.41      0.85    676.18      1.00
 alpha_tar_0_1[8]     -0.12      0.31     -0.10     -0.64      0.37   1300.42      1.00
 alpha_tar_0_1[9]      0.06      0.27      0.05     -0.39      0.49    782.36      1.00
alpha_tar_0_1[10]      0.27      0.27      0.26     -0.16      0.74    664.19      1.00
alpha_tar_0_1[11]      0.01      0.24      0.00     -0.36      0.35    719.81      1.00
            eta_0      0.10      0.00      0.10      0.10      0.10    499.03      1.00
       psi_ntar_0      0.07      0.03      0.07      0.02      0.12    293.28      1.00
        psi_tar_0      0.35      0.09      0.34      0.21      0.47    258.22      1.00
            rho_0      0.85      0.00      0.85      0.84      0.85    324.11      1.00
        sigma_0_0      4.14      0.03      4.14      4.10      4.21    364.09      1.00
        sigma_0_1      2.70      0.02      2.70      2.66      2.73    315.55      1.00

Number of divergences: 0
