
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
alpha_ntar_0_0[0]     -0.34      0.73     -0.28     -1.55      0.74    196.91      1.00
alpha_ntar_0_0[1]     -1.47      0.64     -1.41     -2.41     -0.47    286.46      1.00
alpha_ntar_0_0[2]      0.22      0.38      0.18     -0.39      0.82    197.81      1.00
alpha_ntar_0_0[3]     -1.58      0.35     -1.51     -2.05     -0.99    132.65      1.00
alpha_ntar_0_0[4]     -1.32      0.30     -1.29     -1.82     -0.87    107.22      1.01
alpha_ntar_0_0[5]      0.16      0.23      0.16     -0.15      0.58    242.09      1.00
alpha_ntar_0_0[6]      0.97      0.21      0.98      0.60      1.26    108.00      1.00
alpha_ntar_0_0[7]     -0.57      0.16     -0.57     -0.83     -0.32    118.54      1.02
alpha_ntar_0_1[0]     -0.11      0.89     -0.05     -1.87      0.95    309.85      1.00
alpha_ntar_0_1[1]      0.64      0.71      0.58     -0.35      1.90    218.93      1.00
alpha_ntar_0_1[2]     -1.39      0.58     -1.40     -2.23     -0.40    217.15      1.00
alpha_ntar_0_1[3]     -0.43      0.39     -0.44     -1.03      0.21    159.06      1.01
alpha_ntar_0_1[4]     -0.70      0.36     -0.70     -1.19     -0.06    224.26      1.00
alpha_ntar_0_1[5]     -0.68      0.27     -0.64     -1.09     -0.23    174.68      1.00
alpha_ntar_0_1[6]     -0.14      0.22     -0.17     -0.56      0.14    188.26      1.00
alpha_ntar_0_1[7]      0.36      0.22      0.37      0.05      0.70    224.27      1.00
 alpha_tar_0_0[0]      0.69      0.43      0.71      0.01      1.44    146.64      1.00
 alpha_tar_0_0[1]     -2.10      0.44     -2.04     -2.86     -1.40     79.14      1.04
 alpha_tar_0_0[2]     -0.24      0.26     -0.25     -0.57      0.25    209.02      1.00
 alpha_tar_0_0[3]     -2.26      0.35     -2.26     -2.82     -1.63     51.73      1.02
 alpha_tar_0_0[4]     -2.06      0.31     -2.08     -2.60     -1.56     49.68      1.03
 alpha_tar_0_0[5]      0.28      0.14      0.25      0.05      0.50     94.08      1.00
 alpha_tar_0_0[6]     -1.48      0.23     -1.48     -1.82     -1.07     66.59      1.01
 alpha_tar_0_0[7]      1.03      0.17      1.02      0.78      1.32     66.07      1.02
 alpha_tar_0_0[8]      0.06      0.10      0.06     -0.11      0.22    142.06      1.00
 alpha_tar_0_0[9]     -0.10      0.09     -0.11     -0.28      0.01    106.49      1.00
alpha_tar_0_0[10]      0.10      0.07      0.10     -0.01      0.20    166.31      1.00
 alpha_tar_0_1[0]      0.01      0.60      0.02     -1.09      0.89    209.35      1.00
 alpha_tar_0_1[1]      1.32      0.50      1.36      0.52      2.09    199.79      1.00
 alpha_tar_0_1[2]      2.31      0.48      2.34      1.51      3.07     83.95      1.01
 alpha_tar_0_1[3]     -0.63      0.29     -0.60     -1.06     -0.18    202.93      1.00
 alpha_tar_0_1[4]     -1.07      0.27     -1.08     -1.51     -0.66    130.64      1.00
 alpha_tar_0_1[5]     -1.01      0.21     -1.02     -1.40     -0.70     86.71      1.01
 alpha_tar_0_1[6]      0.11      0.15      0.10     -0.12      0.36    161.63      1.00
 alpha_tar_0_1[7]     -0.65      0.17     -0.63     -0.96     -0.41    109.58      1.00
 alpha_tar_0_1[8]      0.15      0.12      0.14     -0.02      0.39    182.60      1.01
 alpha_tar_0_1[9]      0.29      0.12      0.28      0.12      0.50    163.81      1.02
alpha_tar_0_1[10]      0.11      0.09      0.11     -0.04      0.24    362.80      1.00
            eta_0      0.10      0.00      0.10      0.10      0.10    195.83      1.00
       psi_ntar_0      0.17      0.03      0.17      0.12      0.22     75.81      1.01
        psi_tar_0      0.59      0.09      0.58      0.45      0.70     50.23      1.02
            rho_0      0.85      0.00      0.85      0.85      0.85    113.59      1.00
        sigma_0_0      0.89      0.01      0.89      0.88      0.91    132.82      0.99
        sigma_0_1      1.25      0.01      1.25      1.23      1.27    140.15      1.00

Number of divergences: 0
