
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
alpha_ntar_0_0[0]      0.01      1.16      0.07     -1.93      1.62    425.14      1.00
alpha_ntar_0_0[1]     -1.13      0.93     -1.13     -2.55      0.53    231.79      1.00
alpha_ntar_0_0[2]      0.17      0.67      0.18     -0.99      1.17    333.37      1.00
alpha_ntar_0_0[3]     -1.42      0.44     -1.44     -2.12     -0.70    351.52      1.00
alpha_ntar_0_0[4]     -1.39      0.39     -1.36     -2.02     -0.77    242.25      1.00
alpha_ntar_0_0[5]      0.32      0.33      0.30     -0.13      0.95    272.88      1.00
alpha_ntar_0_0[6]      0.73      0.27      0.73      0.26      1.15    254.95      1.00
alpha_ntar_0_0[7]     -0.66      0.27     -0.64     -1.13     -0.25    282.23      1.01
alpha_ntar_0_1[0]      0.55      1.14      0.52     -1.18      2.29    374.71      1.00
alpha_ntar_0_1[1]     -0.57      0.93     -0.52     -2.18      0.85    447.03      1.00
alpha_ntar_0_1[2]     -1.71      0.66     -1.65     -2.63     -0.47    335.82      1.00
alpha_ntar_0_1[3]     -0.06      0.51     -0.07     -0.93      0.68    426.51      1.00
alpha_ntar_0_1[4]     -0.03      0.35     -0.02     -0.65      0.44    325.77      0.99
alpha_ntar_0_1[5]      0.12      0.29      0.13     -0.32      0.68    406.84      1.00
alpha_ntar_0_1[6]     -0.61      0.28     -0.59     -1.04     -0.20    200.11      1.00
alpha_ntar_0_1[7]      0.40      0.26      0.40      0.01      0.81    232.61      1.00
 alpha_tar_0_0[0]      0.75      0.74      0.74     -0.36      1.82    377.70      1.00
 alpha_tar_0_0[1]     -1.56      0.58     -1.46     -2.56     -0.75    139.37      1.00
 alpha_tar_0_0[2]     -0.35      0.39     -0.36     -0.94      0.20    342.89      1.00
 alpha_tar_0_0[3]     -2.02      0.44     -2.00     -2.75     -1.34     72.57      1.00
 alpha_tar_0_0[4]     -2.11      0.42     -2.10     -2.76     -1.42     67.60      1.00
 alpha_tar_0_0[5]      0.50      0.21      0.50      0.16      0.79    136.15      0.99
 alpha_tar_0_0[6]     -1.33      0.27     -1.31     -1.76     -0.91     79.45      1.00
 alpha_tar_0_0[7]      1.09      0.22      1.08      0.74      1.46     69.78      0.99
 alpha_tar_0_0[8]      0.14      0.14      0.14     -0.10      0.38    301.25      1.00
 alpha_tar_0_0[9]     -0.09      0.12     -0.09     -0.28      0.08    364.07      1.00
alpha_tar_0_0[10]      0.20      0.11      0.19      0.04      0.37    209.57      1.00
 alpha_tar_0_1[0]     -0.69      0.74     -0.63     -1.89      0.54    585.14      1.00
 alpha_tar_0_1[1]     -0.73      0.53     -0.69     -1.69     -0.03    165.96      1.00
 alpha_tar_0_1[2]      2.32      0.56      2.30      1.43      3.12    103.66      1.00
 alpha_tar_0_1[3]     -0.04      0.30     -0.01     -0.60      0.34    369.19      1.00
 alpha_tar_0_1[4]      0.09      0.23      0.10     -0.27      0.47    711.97      1.00
 alpha_tar_0_1[5]      0.24      0.20      0.24     -0.11      0.53    191.49      1.00
 alpha_tar_0_1[6]      0.86      0.22      0.85      0.51      1.16     80.17      1.00
 alpha_tar_0_1[7]     -0.67      0.18     -0.64     -0.94     -0.39    124.43      1.00
 alpha_tar_0_1[8]     -0.05      0.15     -0.05     -0.28      0.20    631.51      1.00
 alpha_tar_0_1[9]      0.28      0.12      0.26      0.05      0.43    257.24      1.00
alpha_tar_0_1[10]      0.15      0.11      0.15     -0.04      0.32    309.91      1.00
            eta_0      0.10      0.00      0.10      0.10      0.10    510.75      1.00
       psi_ntar_0      0.16      0.04      0.16      0.10      0.21     78.89      1.00
        psi_tar_0      0.59      0.11      0.57      0.44      0.76     46.71      1.00
            rho_0      0.86      0.00      0.86      0.85      0.87    127.27      1.01
        sigma_0_0      0.95      0.01      0.95      0.92      0.97    160.32      1.00
        sigma_0_1      1.03      0.01      1.03      1.01      1.05    140.01      1.01

Number of divergences: 0
