
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
alpha_ntar_0_0[0]     -0.51      0.95     -0.52     -2.42      0.83    160.12      1.00
alpha_ntar_0_0[1]      1.88      0.80      1.80      0.74      3.29    122.83      1.00
alpha_ntar_0_0[2]      0.17      0.56      0.18     -0.77      1.05    161.26      1.00
alpha_ntar_0_0[3]     -1.87      0.51     -1.81     -2.68     -1.08     63.58      1.00
alpha_ntar_0_0[4]     -1.63      0.42     -1.62     -2.30     -0.99     81.17      1.00
alpha_ntar_0_0[5]      0.19      0.25      0.21     -0.14      0.64    140.41      1.00
alpha_ntar_0_0[6]     -1.21      0.32     -1.18     -1.82     -0.76     63.16      1.01
alpha_ntar_0_0[7]     -0.71      0.21     -0.69     -1.04     -0.41    134.17      1.00
alpha_ntar_0_0[8]     -0.05      0.18     -0.06     -0.34      0.19    250.22      0.99
alpha_ntar_0_1[0]      0.13      1.20      0.05     -1.45      2.30    274.36      1.00
alpha_ntar_0_1[1]     -0.85      0.90     -0.77     -2.22      0.55    163.59      1.00
alpha_ntar_0_1[2]     -1.83      0.79     -1.74     -2.99     -0.41    201.67      1.00
alpha_ntar_0_1[3]     -0.67      0.51     -0.65     -1.55      0.12    211.52      1.00
alpha_ntar_0_1[4]     -0.73      0.43     -0.73     -1.43     -0.05    328.54      1.00
alpha_ntar_0_1[5]     -0.76      0.31     -0.75     -1.34     -0.31    170.42      1.01
alpha_ntar_0_1[6]      0.15      0.26      0.14     -0.19      0.66    178.69      1.00
alpha_ntar_0_1[7]      0.43      0.23      0.41      0.08      0.80    119.32      1.00
alpha_ntar_0_1[8]     -0.07      0.23     -0.06     -0.43      0.32    113.93      1.00
 alpha_tar_0_0[0]     -0.93      0.62     -0.89     -1.99      0.02    166.82      1.00
 alpha_tar_0_0[1]     -3.03      0.66     -2.96     -3.91     -1.90     43.92      1.01
 alpha_tar_0_0[2]     -0.09      0.39     -0.09     -0.79      0.44    130.13      1.00
 alpha_tar_0_0[3]      2.77      0.45      2.75      2.03      3.46     45.20      1.00
 alpha_tar_0_0[4]      2.85      0.48      2.78      2.06      3.56     41.13      1.00
 alpha_tar_0_0[5]     -0.59      0.18     -0.57     -0.88     -0.29     82.59      1.00
 alpha_tar_0_0[6]     -1.85      0.30     -1.82     -2.25     -1.35     41.94      1.00
 alpha_tar_0_0[7]      1.32      0.23      1.29      0.90      1.65     37.28      1.00
 alpha_tar_0_0[8]     -0.05      0.12     -0.06     -0.24      0.12    156.88      1.01
 alpha_tar_0_0[9]     -0.12      0.11     -0.11     -0.31      0.06    210.30      1.00
alpha_tar_0_0[10]      0.15      0.10      0.14     -0.01      0.33    120.99      0.99
alpha_tar_0_0[11]     -0.02      0.10     -0.01     -0.19      0.13    145.84      1.00
alpha_tar_0_0[12]     -0.04      0.09     -0.03     -0.19      0.08    164.38      1.00
 alpha_tar_0_1[0]      0.30      0.88      0.28     -0.90      1.83    182.45      1.00
 alpha_tar_0_1[1]      1.59      0.73      1.56      0.71      3.08    107.59      1.00
 alpha_tar_0_1[2]      3.18      0.68      3.09      2.21      4.30     60.56      1.00
 alpha_tar_0_1[3]      1.09      0.35      1.06      0.55      1.65    150.09      1.00
 alpha_tar_0_1[4]      1.09      0.34      1.06      0.63      1.70     96.03      1.00
 alpha_tar_0_1[5]      1.29      0.31      1.26      0.77      1.73     51.07      1.00
 alpha_tar_0_1[6]      0.09      0.21      0.07     -0.23      0.45    233.39      1.01
 alpha_tar_0_1[7]     -0.89      0.21     -0.87     -1.25     -0.58    117.20      1.00
 alpha_tar_0_1[8]     -0.16      0.18     -0.16     -0.46      0.12    290.18      1.00
 alpha_tar_0_1[9]      0.33      0.14      0.33      0.14      0.59     83.24      1.00
alpha_tar_0_1[10]      0.15      0.14      0.14     -0.07      0.37    153.70      1.00
alpha_tar_0_1[11]     -0.04      0.13     -0.04     -0.21      0.20    227.45      1.00
alpha_tar_0_1[12]     -0.08      0.11     -0.07     -0.25      0.16    296.15      1.00
            eta_0      0.10      0.00      0.10      0.10      0.10    304.48      1.00
       psi_ntar_0      0.14      0.03      0.14      0.09      0.19     44.65      1.00
        psi_tar_0      0.44      0.07      0.43      0.36      0.58     35.55      1.00
            rho_0      0.85      0.00      0.85      0.85      0.85     86.33      1.00
        sigma_0_0      0.89      0.01      0.89      0.88      0.91    102.79      1.01
        sigma_0_1      1.25      0.01      1.25      1.23      1.27     92.71      1.01

Number of divergences: 0
