
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
alpha_ntar_0_0[0]     -0.06      1.47     -0.16     -2.09      2.76    268.43      1.00
alpha_ntar_0_0[1]      1.37      1.22      1.27     -0.56      3.35    297.30      1.00
alpha_ntar_0_0[2]      0.11      0.83      0.13     -1.06      1.58    382.95      1.00
alpha_ntar_0_0[3]     -1.67      0.59     -1.68     -2.49     -0.53    147.82      1.00
alpha_ntar_0_0[4]     -1.72      0.55     -1.69     -2.75     -0.87    185.33      1.00
alpha_ntar_0_0[5]      0.36      0.34      0.38     -0.14      0.93    163.03      1.00
alpha_ntar_0_0[6]     -0.88      0.39     -0.87     -1.58     -0.39    218.09      1.00
alpha_ntar_0_0[7]     -0.81      0.29     -0.78     -1.34     -0.42    194.92      1.00
alpha_ntar_0_0[8]     -0.10      0.26     -0.09     -0.46      0.40    356.99      1.00
alpha_ntar_0_1[0]      0.83      1.53      0.85     -1.42      3.26    416.57      0.99
alpha_ntar_0_1[1]      0.70      1.08      0.68     -1.00      2.39    238.43      1.00
alpha_ntar_0_1[2]     -2.05      0.95     -2.01     -3.55     -0.54    260.54      1.00
alpha_ntar_0_1[3]     -0.12      0.59     -0.14     -1.08      0.76    308.77      1.00
alpha_ntar_0_1[4]      0.06      0.50      0.06     -0.78      0.81    400.95      1.00
alpha_ntar_0_1[5]      0.12      0.37      0.09     -0.43      0.71    252.74      1.00
alpha_ntar_0_1[6]      0.70      0.29      0.70      0.26      1.20    261.25      1.00
alpha_ntar_0_1[7]      0.46      0.27      0.45      0.05      0.91    232.51      1.00
alpha_ntar_0_1[8]      0.12      0.26      0.13     -0.28      0.57    193.33      1.00
 alpha_tar_0_0[0]     -0.99      1.00     -0.93     -2.56      0.59    220.63      1.00
 alpha_tar_0_0[1]     -2.32      0.76     -2.26     -3.53     -1.19    137.44      1.01
 alpha_tar_0_0[2]     -0.16      0.58     -0.16     -1.05      0.81    175.39      1.00
 alpha_tar_0_0[3]      2.60      0.51      2.57      1.67      3.26     66.70      1.00
 alpha_tar_0_0[4]      3.00      0.52      2.95      2.06      3.68     58.56      1.01
 alpha_tar_0_0[5]     -0.92      0.25     -0.89     -1.32     -0.47    114.33      1.00
 alpha_tar_0_0[6]     -1.70      0.32     -1.69     -2.19     -1.16     66.92      1.03
 alpha_tar_0_0[7]      1.45      0.27      1.44      1.05      1.93     83.78      1.00
 alpha_tar_0_0[8]     -0.16      0.17     -0.16     -0.43      0.11    155.32      1.01
 alpha_tar_0_0[9]     -0.10      0.18     -0.10     -0.37      0.24    257.03      1.00
alpha_tar_0_0[10]      0.28      0.15      0.26      0.04      0.53    179.36      1.00
alpha_tar_0_0[11]     -0.05      0.14     -0.04     -0.27      0.22    197.96      1.00
alpha_tar_0_0[12]     -0.09      0.12     -0.08     -0.31      0.07    171.48      1.00
 alpha_tar_0_1[0]      1.17      1.09      1.12     -0.48      3.11    251.68      1.01
 alpha_tar_0_1[1]     -1.07      0.89     -0.97     -2.35      0.31    136.19      1.00
 alpha_tar_0_1[2]      3.10      0.77      2.96      1.98      4.37     91.69      1.00
 alpha_tar_0_1[3]     -0.07      0.40     -0.07     -0.74      0.50    230.95      1.00
 alpha_tar_0_1[4]     -0.50      0.34     -0.49     -1.03      0.02    268.29      1.00
 alpha_tar_0_1[5]     -0.25      0.29     -0.27     -0.67      0.23    193.28      0.99
 alpha_tar_0_1[6]      1.06      0.28      1.03      0.61      1.47     91.61      1.02
 alpha_tar_0_1[7]     -0.98      0.25     -0.96     -1.42     -0.65    147.32      1.01
 alpha_tar_0_1[8]      0.10      0.23      0.10     -0.23      0.51    156.94      1.01
 alpha_tar_0_1[9]      0.34      0.16      0.33      0.10      0.58    102.03      1.00
alpha_tar_0_1[10]      0.20      0.16      0.19     -0.10      0.43    203.11      1.00
alpha_tar_0_1[11]     -0.12      0.15     -0.13     -0.35      0.11    203.28      1.00
alpha_tar_0_1[12]     -0.08      0.15     -0.09     -0.33      0.18    401.95      1.00
            eta_0      0.10      0.00      0.10      0.10      0.10    308.18      1.00
       psi_ntar_0      0.13      0.03      0.13      0.08      0.17     65.08      1.01
        psi_tar_0      0.42      0.06      0.42      0.34      0.52     49.54      1.03
            rho_0      0.86      0.00      0.86      0.85      0.87     97.50      1.00
        sigma_0_0      0.95      0.01      0.95      0.93      0.97    103.22      1.00
        sigma_0_1      1.03      0.02      1.03      1.01      1.06    112.44      1.00

Number of divergences: 0
