
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
alpha_ntar_0_0[0]     -0.35      0.83     -0.33     -1.84      0.74    125.71      1.00
alpha_ntar_0_0[1]     -1.58      0.70     -1.52     -2.74     -0.48    127.76      1.00
alpha_ntar_0_0[2]      0.22      0.47      0.19     -0.44      1.00    209.39      1.00
alpha_ntar_0_0[3]      1.54      0.41      1.49      0.88      2.16    115.22      1.00
alpha_ntar_0_0[4]      1.30      0.34      1.27      0.83      1.90     79.41      1.00
alpha_ntar_0_0[5]      0.11      0.23      0.11     -0.20      0.51    211.39      1.00
alpha_ntar_0_0[6]     -1.00      0.25     -0.99     -1.36     -0.56     80.51      1.00
alpha_ntar_0_1[0]      0.08      0.98      0.10     -2.02      1.27    272.50      1.02
alpha_ntar_0_1[1]      0.76      0.72      0.72     -0.20      2.04    317.49      1.00
alpha_ntar_0_1[2]     -1.47      0.58     -1.43     -2.40     -0.50    135.22      0.99
alpha_ntar_0_1[3]      0.46      0.43      0.44     -0.15      1.28    176.33      1.00
alpha_ntar_0_1[4]      0.67      0.34      0.67      0.10      1.23    200.76      1.00
alpha_ntar_0_1[5]     -0.60      0.28     -0.59     -1.00     -0.14    213.71      1.00
alpha_ntar_0_1[6]      0.13      0.22      0.11     -0.19      0.53    245.07      1.00
 alpha_tar_0_0[0]      0.59      0.39      0.56     -0.01      1.27    186.03      1.00
 alpha_tar_0_0[1]     -1.81      0.43     -1.79     -2.56     -1.19     64.14      1.00
 alpha_tar_0_0[2]     -0.22      0.25     -0.20     -0.61      0.19    195.01      1.00
 alpha_tar_0_0[3]      1.91      0.38      1.92      1.27      2.49     38.40      1.01
 alpha_tar_0_0[4]      1.75      0.32      1.75      1.10      2.19     36.07      1.02
 alpha_tar_0_0[5]     -0.20      0.11     -0.21     -0.35      0.02    103.28      1.01
 alpha_tar_0_0[6]      1.28      0.24      1.28      0.86      1.62     37.78      1.02
 alpha_tar_0_0[7]      0.89      0.16      0.89      0.63      1.16     36.00      1.02
 alpha_tar_0_0[8]      0.06      0.07      0.06     -0.06      0.17    191.31      1.00
 alpha_tar_0_1[0]     -0.09      0.52     -0.08     -0.95      0.71    228.62      1.00
 alpha_tar_0_1[1]      1.09      0.47      1.04      0.35      1.73    126.95      1.00
 alpha_tar_0_1[2]      2.06      0.47      2.04      1.24      2.70     56.72      1.01
 alpha_tar_0_1[3]      0.57      0.25      0.56      0.18      1.00    118.77      1.00
 alpha_tar_0_1[4]      0.92      0.23      0.90      0.57      1.33     77.27      1.01
 alpha_tar_0_1[5]      0.87      0.22      0.86      0.55      1.27     61.62      1.00
 alpha_tar_0_1[6]     -0.07      0.12     -0.07     -0.25      0.12    208.44      1.00
 alpha_tar_0_1[7]     -0.56      0.14     -0.54     -0.83     -0.37     68.43      1.01
 alpha_tar_0_1[8]      0.11      0.11      0.11     -0.06      0.28    204.60      1.00
            eta_0      0.10      0.00      0.10      0.10      0.10    187.78      1.00
       psi_ntar_0      0.17      0.04      0.16      0.11      0.22     55.21      1.00
        psi_tar_0      0.70      0.14      0.68      0.51      0.90     27.93      1.02
            rho_0      0.85      0.00      0.85      0.85      0.85     92.40      1.01
        sigma_0_0      0.89      0.01      0.89      0.88      0.91    104.03      1.01
        sigma_0_1      1.25      0.01      1.25      1.23      1.27    101.61      1.02

Number of divergences: 0
