
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
alpha_ntar_0_0[0]      0.01      1.34      0.03     -1.99      2.06    303.39      1.00
alpha_ntar_0_0[1]     -1.37      1.05     -1.30     -3.18      0.32    268.96      1.00
alpha_ntar_0_0[2]      0.17      0.76      0.17     -1.04      1.44    235.44      1.00
alpha_ntar_0_0[3]      1.47      0.62      1.41      0.64      2.51    243.51      1.00
alpha_ntar_0_0[4]      1.44      0.44      1.42      0.79      2.21    286.44      1.00
alpha_ntar_0_0[5]      0.27      0.32      0.26     -0.29      0.75    273.62      1.00
alpha_ntar_0_0[6]     -0.77      0.26     -0.73     -1.25     -0.38    180.05      1.00
alpha_ntar_0_1[0]      0.80      1.43      0.73     -1.48      3.00    486.39      1.00
alpha_ntar_0_1[1]     -0.66      1.01     -0.58     -2.27      0.84    286.59      1.00
alpha_ntar_0_1[2]     -1.87      0.89     -1.80     -3.09     -0.50    217.31      1.00
alpha_ntar_0_1[3]      0.09      0.58      0.06     -0.82      1.13    216.95      1.00
alpha_ntar_0_1[4]      0.06      0.40      0.07     -0.54      0.79    355.52      1.00
alpha_ntar_0_1[5]      0.13      0.33      0.11     -0.51      0.58    440.87      1.00
alpha_ntar_0_1[6]      0.61      0.30      0.58      0.09      1.03    259.71      1.00
 alpha_tar_0_0[0]      0.68      0.63      0.62     -0.37      1.70    279.53      1.00
 alpha_tar_0_0[1]     -1.45      0.50     -1.44     -2.37     -0.73    241.64      1.01
 alpha_tar_0_0[2]     -0.28      0.35     -0.25     -0.87      0.24    364.80      1.00
 alpha_tar_0_0[3]      1.80      0.38      1.80      1.22      2.38     66.56      1.00
 alpha_tar_0_0[4]      1.83      0.35      1.82      1.28      2.44     62.99      1.00
 alpha_tar_0_0[5]     -0.40      0.16     -0.39     -0.70     -0.17    185.39      0.99
 alpha_tar_0_0[6]      1.19      0.25      1.17      0.81      1.54     81.34      1.00
 alpha_tar_0_0[7]      0.98      0.20      0.95      0.63      1.26     78.34      1.00
 alpha_tar_0_0[8]      0.13      0.11      0.13     -0.04      0.29     99.73      1.01
 alpha_tar_0_1[0]     -0.62      0.82     -0.62     -1.88      0.57    426.38      1.00
 alpha_tar_0_1[1]     -0.70      0.51     -0.66     -1.56      0.10    238.55      1.00
 alpha_tar_0_1[2]      2.09      0.48      2.08      1.21      2.75    109.64      1.00
 alpha_tar_0_1[3]      0.05      0.27      0.04     -0.28      0.61    150.47      1.01
 alpha_tar_0_1[4]     -0.07      0.22     -0.06     -0.42      0.31    315.23      1.00
 alpha_tar_0_1[5]     -0.19      0.18     -0.18     -0.47      0.10    310.20      1.00
 alpha_tar_0_1[6]     -0.76      0.19     -0.76     -1.03     -0.43    114.15      1.00
 alpha_tar_0_1[7]     -0.59      0.16     -0.59     -0.86     -0.34     87.81      1.00
 alpha_tar_0_1[8]     -0.05      0.12     -0.06     -0.27      0.13    302.41      1.00
            eta_0      0.10      0.00      0.10      0.10      0.10    256.59      1.00
       psi_ntar_0      0.14      0.04      0.14      0.09      0.20    114.55      1.00
        psi_tar_0      0.67      0.12      0.66      0.47      0.86     48.80      1.00
            rho_0      0.86      0.00      0.86      0.85      0.87    132.65      1.00
        sigma_0_0      0.95      0.01      0.95      0.92      0.97    140.20      1.00
        sigma_0_1      1.04      0.02      1.04      1.01      1.06    137.38      1.00

Number of divergences: 0
