
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
alpha_ntar_0_0[0]     -0.41      0.80     -0.40     -1.68      0.91    255.40      1.00
alpha_ntar_0_0[1]     -1.35      0.55     -1.32     -2.23     -0.50     99.80      1.00
alpha_ntar_0_0[2]      0.16      0.40      0.20     -0.53      0.71    176.47      1.00
alpha_ntar_0_0[3]     -1.51      0.40     -1.54     -2.10     -0.82     78.40      1.00
alpha_ntar_0_0[4]      1.23      0.32      1.20      0.79      1.82     80.10      1.00
alpha_ntar_0_0[5]      0.13      0.20      0.15     -0.14      0.51    160.07      1.00
alpha_ntar_0_0[6]     -0.94      0.23     -0.93     -1.35     -0.61     75.18      1.00
alpha_ntar_0_0[7]     -0.55      0.17     -0.53     -0.80     -0.28     60.10      1.00
alpha_ntar_0_1[0]     -0.08      1.07     -0.20     -1.75      1.56    244.80      0.99
alpha_ntar_0_1[1]      0.70      0.68      0.67     -0.32      1.83    242.92      1.00
alpha_ntar_0_1[2]     -1.38      0.59     -1.27     -2.42     -0.51     62.80      1.00
alpha_ntar_0_1[3]     -0.43      0.46     -0.39     -1.27      0.21    202.38      1.00
alpha_ntar_0_1[4]      0.64      0.36      0.59      0.14      1.21     90.39      1.01
alpha_ntar_0_1[5]     -0.63      0.30     -0.62     -1.04     -0.07    163.64      1.00
alpha_ntar_0_1[6]      0.14      0.19      0.13     -0.13      0.53    194.31      1.00
alpha_ntar_0_1[7]      0.31      0.19      0.30      0.01      0.58    171.79      1.00
 alpha_tar_0_0[0]      0.67      0.47      0.64     -0.08      1.40    175.27      1.00
 alpha_tar_0_0[1]     -2.00      0.45     -1.96     -2.98     -1.42     27.28      1.00
 alpha_tar_0_0[2]     -0.21      0.25     -0.20     -0.65      0.17    137.58      1.02
 alpha_tar_0_0[3]     -2.10      0.36     -2.08     -2.61     -1.52     17.12      1.00
 alpha_tar_0_0[4]      1.91      0.32      1.93      1.50      2.51     18.06      1.00
 alpha_tar_0_0[5]     -0.25      0.13     -0.23     -0.45     -0.05    163.29      1.00
 alpha_tar_0_0[6]     -1.40      0.22     -1.40     -1.79     -1.07     18.34      1.00
 alpha_tar_0_0[7]      0.97      0.16      0.96      0.72      1.23     19.21      1.00
 alpha_tar_0_0[8]      0.06      0.08      0.05     -0.06      0.17     82.23      1.00
 alpha_tar_0_0[9]     -0.09      0.08     -0.09     -0.21      0.02    138.63      1.00
 alpha_tar_0_1[0]     -0.06      0.53     -0.02     -1.07      0.72    184.69      1.00
 alpha_tar_0_1[1]      1.19      0.51      1.12      0.40      2.00     79.00      1.00
 alpha_tar_0_1[2]      2.20      0.48      2.19      1.44      2.98     37.11      1.00
 alpha_tar_0_1[3]     -0.61      0.28     -0.61     -1.08     -0.17     77.24      1.00
 alpha_tar_0_1[4]      1.01      0.26      1.01      0.59      1.39     52.04      1.00
 alpha_tar_0_1[5]      0.98      0.21      0.97      0.66      1.30     41.79      1.00
 alpha_tar_0_1[6]      0.11      0.15      0.10     -0.15      0.32    121.31      1.01
 alpha_tar_0_1[7]     -0.62      0.17     -0.61     -0.83     -0.29     38.38      1.00
 alpha_tar_0_1[8]      0.13      0.11      0.12     -0.04      0.30    202.35      1.00
 alpha_tar_0_1[9]      0.26      0.12      0.25      0.08      0.47    223.90      1.00
            eta_0      0.10      0.00      0.10      0.10      0.10    245.65      1.00
       psi_ntar_0      0.18      0.04      0.18      0.12      0.26     48.19      1.00
        psi_tar_0      0.64      0.10      0.62      0.48      0.77     15.19      1.00
            rho_0      0.85      0.00      0.85      0.85      0.85     63.28      1.00
        sigma_0_0      0.89      0.01      0.89      0.88      0.90     68.36      1.00
        sigma_0_1      1.25      0.01      1.25      1.23      1.27     66.08      1.00

Number of divergences: 0
