
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
alpha_ntar_0_0[0]     -0.03      1.24     -0.09     -2.04      1.63    246.52      1.00
alpha_ntar_0_0[1]     -1.03      0.79     -0.99     -2.09      0.25    240.68      1.00
alpha_ntar_0_0[2]      0.07      0.65      0.16     -1.12      0.94    240.23      1.00
alpha_ntar_0_0[3]     -1.40      0.49     -1.35     -2.18     -0.64    164.35      1.00
alpha_ntar_0_0[4]      1.34      0.43      1.29      0.69      2.02    229.38      1.00
alpha_ntar_0_0[5]      0.26      0.31      0.26     -0.29      0.70    170.00      1.00
alpha_ntar_0_0[6]     -0.70      0.27     -0.69     -1.13     -0.29    164.38      1.00
alpha_ntar_0_0[7]     -0.66      0.24     -0.64     -1.04     -0.27    104.05      1.00
alpha_ntar_0_1[0]      0.60      1.44      0.45     -1.66      2.65    311.86      1.00
alpha_ntar_0_1[1]     -0.52      0.92     -0.47     -1.95      0.97    262.40      1.00
alpha_ntar_0_1[2]     -1.65      0.67     -1.59     -2.62     -0.61    117.48      1.00
alpha_ntar_0_1[3]     -0.09      0.56     -0.07     -0.93      0.79    340.68      1.00
alpha_ntar_0_1[4]      0.01      0.42     -0.01     -0.61      0.76    133.65      1.01
alpha_ntar_0_1[5]      0.11      0.35      0.13     -0.49      0.63    301.90      1.00
alpha_ntar_0_1[6]      0.57      0.25      0.55      0.15      0.92    181.68      1.00
alpha_ntar_0_1[7]      0.35      0.22      0.35      0.01      0.74    196.11      1.00
 alpha_tar_0_0[0]      0.67      0.70      0.60     -0.48      1.71    244.32      1.00
 alpha_tar_0_0[1]     -1.58      0.59     -1.54     -2.38     -0.50     97.76      1.00
 alpha_tar_0_0[2]     -0.33      0.39     -0.32     -0.96      0.26    186.10      1.00
 alpha_tar_0_0[3]     -1.97      0.43     -1.96     -2.62     -1.26     24.43      1.00
 alpha_tar_0_0[4]      2.02      0.38      2.02      1.35      2.59     29.14      1.00
 alpha_tar_0_0[5]     -0.47      0.19     -0.45     -0.81     -0.17    125.08      1.00
 alpha_tar_0_0[6]     -1.30      0.27     -1.29     -1.73     -0.89     26.52      1.00
 alpha_tar_0_0[7]      1.08      0.21      1.07      0.72      1.37     28.78      1.00
 alpha_tar_0_0[8]      0.13      0.12      0.12     -0.06      0.29    138.97      1.00
 alpha_tar_0_0[9]     -0.09      0.11     -0.08     -0.31      0.06    205.38      1.00
 alpha_tar_0_1[0]     -0.71      0.64     -0.70     -1.82      0.32    164.83      1.00
 alpha_tar_0_1[1]     -0.79      0.57     -0.75     -1.61      0.22    163.98      1.00
 alpha_tar_0_1[2]      2.27      0.56      2.27      1.40      3.09     72.44      1.00
 alpha_tar_0_1[3]     -0.05      0.31     -0.05     -0.64      0.35    164.73      1.00
 alpha_tar_0_1[4]     -0.09      0.25     -0.09     -0.40      0.44    193.39      1.00
 alpha_tar_0_1[5]     -0.21      0.20     -0.20     -0.46      0.17    159.55      1.02
 alpha_tar_0_1[6]      0.84      0.21      0.85      0.52      1.14     71.21      1.00
 alpha_tar_0_1[7]     -0.66      0.19     -0.65     -0.97     -0.36     36.98      1.00
 alpha_tar_0_1[8]     -0.05      0.13     -0.06     -0.25      0.18    203.97      1.01
 alpha_tar_0_1[9]      0.27      0.14      0.25      0.05      0.47    184.02      1.00
            eta_0      0.10      0.00      0.10      0.10      0.10    305.45      1.00
       psi_ntar_0      0.17      0.05      0.16      0.09      0.24     70.06      1.00
        psi_tar_0      0.61      0.11      0.59      0.43      0.76     17.92      1.00
            rho_0      0.86      0.00      0.86      0.85      0.87     77.60      1.00
        sigma_0_0      0.95      0.01      0.95      0.93      0.97     82.77      1.00
        sigma_0_1      1.03      0.01      1.03      1.01      1.06     84.98      1.00

Number of divergences: 0
