
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
alpha_ntar_0_0[0]     -0.18      1.38     -0.26     -2.34      1.97    226.96      1.00
alpha_ntar_0_0[1]      1.44      1.07      1.44     -0.25      3.17    332.93      1.00
alpha_ntar_0_0[2]      0.11      0.93      0.12     -1.46      1.52    404.16      1.00
alpha_ntar_0_0[3]      1.76      0.65      1.76      0.66      2.73    352.26      1.00
alpha_ntar_0_0[4]     -1.77      0.52     -1.75     -2.56     -0.93    304.83      1.00
alpha_ntar_0_0[5]      0.41      0.40      0.40     -0.16      1.09    424.28      1.01
alpha_ntar_0_0[6]      0.90      0.35      0.90      0.22      1.35    334.27      1.00
alpha_ntar_0_0[7]     -0.81      0.30     -0.83     -1.20     -0.30    284.85      1.00
alpha_ntar_0_0[8]     -0.08      0.26     -0.08     -0.53      0.25    363.63      1.00
alpha_ntar_0_0[9]     -0.07      0.23     -0.09     -0.43      0.31    548.54      1.00
alpha_ntar_0_1[0]      0.86      1.51      0.90     -1.52      3.21    323.42      1.00
alpha_ntar_0_1[1]      0.57      1.09      0.52     -1.07      2.37    527.86      1.01
alpha_ntar_0_1[2]     -2.17      0.82     -2.14     -3.51     -0.95    357.10      1.00
alpha_ntar_0_1[3]      0.07      0.68      0.07     -1.03      1.07    311.48      1.00
alpha_ntar_0_1[4]      0.03      0.55      0.07     -0.86      0.86    447.46      1.00
alpha_ntar_0_1[5]      0.12      0.37      0.12     -0.53      0.68    211.68      1.00
alpha_ntar_0_1[6]     -0.71      0.35     -0.68     -1.15     -0.02    323.96      1.00
alpha_ntar_0_1[7]      0.48      0.30      0.45      0.07      1.02    536.41      1.00
alpha_ntar_0_1[8]      0.13      0.26      0.13     -0.29      0.57    506.65      1.00
alpha_ntar_0_1[9]     -0.22      0.23     -0.24     -0.63      0.13    431.76      1.00
 alpha_tar_0_0[0]     -1.04      1.04     -1.04     -2.66      0.70    275.25      1.01
 alpha_tar_0_0[1]     -2.29      0.88     -2.26     -3.75     -0.92    391.37      1.00
 alpha_tar_0_0[2]     -0.20      0.57     -0.19     -1.15      0.71    427.14      1.00
 alpha_tar_0_0[3]      2.67      0.53      2.60      1.74      3.45     96.84      1.00
 alpha_tar_0_0[4]      3.06      0.46      3.05      2.21      3.71    114.39      1.00
 alpha_tar_0_0[5]     -0.87      0.27     -0.85     -1.29     -0.46    247.57      1.00
 alpha_tar_0_0[6]     -1.73      0.30     -1.72     -2.23     -1.31     94.58      1.00
 alpha_tar_0_0[7]      1.46      0.28      1.44      1.01      1.95     99.47      1.00
 alpha_tar_0_0[8]     -0.16      0.17     -0.16     -0.43      0.13    344.16      1.00
 alpha_tar_0_0[9]     -0.10      0.15     -0.10     -0.30      0.16    390.88      1.00
alpha_tar_0_0[10]      0.29      0.14      0.28      0.05      0.48    230.77      1.00
alpha_tar_0_0[11]     -0.04      0.14     -0.04     -0.27      0.17    452.37      1.00
alpha_tar_0_0[12]     -0.08      0.15     -0.08     -0.31      0.17    641.34      1.00
alpha_tar_0_0[13]     -0.04      0.13     -0.03     -0.22      0.16    411.96      1.00
 alpha_tar_0_1[0]      1.20      0.99      1.18     -0.32      2.66    318.89      1.00
 alpha_tar_0_1[1]     -1.05      0.82     -1.09     -2.47      0.12    300.64      1.00
 alpha_tar_0_1[2]      3.15      0.69      3.04      2.18      4.27    189.60      1.00
 alpha_tar_0_1[3]     -0.04      0.54     -0.05     -1.05      0.72    472.29      0.99
 alpha_tar_0_1[4]     -0.41      0.38     -0.36     -0.98      0.16    505.62      1.00
 alpha_tar_0_1[5]     -0.24      0.31     -0.24     -0.84      0.19    382.10      1.00
 alpha_tar_0_1[6]      1.09      0.29      1.04      0.74      1.64    230.90      1.01
 alpha_tar_0_1[7]     -0.99      0.23     -0.98     -1.41     -0.64    208.00      1.01
 alpha_tar_0_1[8]      0.08      0.21      0.06     -0.28      0.39    284.51      1.00
 alpha_tar_0_1[9]      0.36      0.17      0.36      0.08      0.63    375.00      1.01
alpha_tar_0_1[10]      0.21      0.20      0.21     -0.15      0.49    340.93      1.00
alpha_tar_0_1[11]     -0.12      0.15     -0.12     -0.32      0.14    405.66      1.00
alpha_tar_0_1[12]     -0.09      0.15     -0.10     -0.34      0.13    470.01      1.00
alpha_tar_0_1[13]     -0.05      0.13     -0.05     -0.26      0.15    323.38      1.00
            eta_0      0.10      0.00      0.10      0.10      0.10    276.21      1.00
       psi_ntar_0      0.12      0.02      0.12      0.08      0.15    141.80      1.00
        psi_tar_0      0.41      0.05      0.40      0.32      0.49     65.96      1.00
            rho_0      0.86      0.00      0.86      0.85      0.87    177.91      1.00
        sigma_0_0      0.95      0.01      0.95      0.92      0.97    204.22      1.00
        sigma_0_1      1.03      0.01      1.03      1.01      1.05    197.84      0.99

Number of divergences: 0
